# in Mpc/h Units 
# D1 = 0.704985 
# k P N P(z=0)
0.020944 14708.4 6 29594.2
0.0296192 12308.9 12 24766.2
0.036276 9805.84 8 19729.9
0.0418879 8475.18 6 17052.5
0.0468321 7276.78 24 14641.3
0.051302 7168.25 24 14422.9
0.0592384 6745 12 13571.3
0.0628319 7193.65 30 14474
0.0662306 6780.43 24 13642.6
0.0694632 5971.26 24 12014.5
0.072552 5345.5 8 10755.4
0.0755145 5743.34 24 11555.9
0.0783651 4345.81 48 8744.01
0.0837758 3878.69 6 7804.15
0.0863541 4227.88 48 8506.74
0.0888577 3407.3 36 6855.68
0.0912926 4188.5 24 8427.49
0.0936642 3589 24 7221.28
0.0959772 3774.31 48 7594.13
0.0982358 2914.04 24 5863.22
0.102604 2168 24 4362.13
0.10472 2824.99 30 5684.03
0.106794 2797.09 72 5627.9
0.108828 2935.39 32 5906.16
0.112787 2548.99 72 5128.72
0.114715 2791.54 48 5616.73
0.118477 1205.4 12 2425.32
0.120314 2727.87 48 5488.62
0.122123 2420.09 48 4869.35
0.123906 3196.49 48 6431.51
0.125664 2733.67 30 5500.29
0.127397 2335.47 24 4699.1
0.129107 2112.16 72 4249.79
0.132461 2697.82 24 5428.16
0.134107 2060.68 96 4146.21
0.135732 2138.87 48 4303.52
0.137339 1865.82 24 3754.14
0.138926 2401.13 24 4831.2
0.140496 1622.7 72 3264.97
0.142049 1778.16 48 3577.75
0.145104 2882.58 8 5799.91
0.146608 2173.01 54 4372.22
0.148096 1860.5 84 3743.43
0.14957 2136.96 48 4299.69
0.151029 1533.26 24 3085
0.152474 1285.37 72 2586.23
0.153906 2091.1 96 4207.41
0.15673 1768.16 48 3557.63
0.158123 1434.4 48 2886.09
0.159504 1746.51 24 3514.08
0.160874 1432.94 72 2883.15
0.163577 1577.51 72 3174.04
0.164913 1685.56 96 3391.43
0.167552 673.103 6 1354.32
0.168856 1697.25 96 3414.96
0.170149 1583.02 96 3185.13
0.171434 1316.42 24 2648.7
0.172708 1521.92 48 3062.19
0.173974 1476.05 96 2969.89
0.17523 1546.15 48 3110.95
0.177715 1812.98 36 3647.81
0.178945 1669.31 48 3358.75
0.180167 1463.23 120 2944.1
0.18138 1514.4 56 3047.07
0.182585 1243.8 24 2502.59
0.183782 1571.61 96 3162.17
0.184972 999.811 48 2011.68
0.187328 1252.74 24 2520.58
0.188496 1052.27 102 2117.22
0.190347 1426.38 120 2869.96
0.191954 1426.46 48 2870.11
0.193094 1333.25 48 2682.57
0.194226 1370.22 120 2756.95
0.196472 1173.34 24 2360.83
0.197585 1329.61 144 2675.26
0.199006 1304.17 168 2624.07
0.201976 1286.85 48 2589.21
0.203059 1398 96 2812.85
0.205208 798.41 24 1606.45
0.206274 924.568 48 1860.28
0.207335 945.543 108 1902.49
0.20839 1624.64 72 3268.87
0.210326 1119.85 198 2253.2
0.211524 1094.52 48 2202.24
0.213587 1054.12 72 2120.94
0.214612 768.423 96 1546.11
0.215631 894.588 72 1799.96
0.216957 1183.2 104 2380.66
0.218661 934.696 72 1880.66
0.219662 948.642 144 1908.72
0.223129 988.923 192 1989.77
0.224599 1055.79 48 2124.31
0.22618 995.511 192 2003.02
0.22751 971.888 72 1955.49
0.229429 769.46 48 1548.2
0.230383 1271.3 78 2557.94
0.231604 1062.61 168 2138.02
0.23416 1056.33 144 2125.4
0.235095 913.142 144 1837.29
0.236954 744.945 12 1498.87
0.238108 963.519 192 1938.65
0.239975 1024.08 168 2060.5
0.241537 844.477 48 1699.14
0.242444 841.835 168 1693.82
0.244844 865.149 144 1740.73
0.246417 699.998 168 1408.44
0.248401 879.32 144 1769.24
0.249576 771.583 48 1552.47
0.251327 1205.61 30 2425.76
0.252777 816.228 288 1642.3
0.254191 611.059 80 1229.49
0.25601 828.963 288 1667.92
0.258214 681.524 72 1371.26
0.2594 826.166 240 1662.29
0.26075 735.617 96 1480.1
0.262904 730.078 168 1468.96
0.265657 777.893 216 1565.16
0.266722 840.52 132 1691.17
0.268622 852.909 192 1716.1
0.269844 737.096 120 1483.08
0.271964 746.337 126 1501.67
0.273543 737.503 288 1483.9
0.275842 757.363 312 1523.86
0.277853 537.349 24 1081.18
0.279641 774.533 264 1558.4
0.28148 861.012 192 1732.4
0.282936 631.183 192 1269.98
0.285198 742.642 336 1494.24
0.286404 879.758 48 1770.12
0.288084 684.775 240 1377.8
0.291553 654.502 296 1316.89
0.292736 597.204 150 1201.61
0.294335 753.598 240 1516.28
0.296659 540.444 228 1087.4
0.298323 638.085 216 1283.86
0.300394 621.663 336 1250.82
0.302928 744.081 360 1497.13
0.304588 605.021 144 1217.34
0.305974 686.966 168 1382.21
0.308578 666.466 312 1340.97
0.310884 599.562 288 1206.35
0.312408 587.114 192 1181.31
0.314799 565.587 366 1137.99
0.317265 660.555 408 1329.07
0.319597 574.241 168 1155.41
0.320771 650.734 336 1309.31
0.3227 534.438 240 1075.32
