# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 29484.7 6 29484.7
0.0296192 24838.5 12 24838.5
0.036276 19399.5 8 19399.5
0.0418879 16747.8 6 16747.8
0.0468321 14143.8 24 14143.8
0.051302 14340.5 24 14340.5
0.0592384 13531.5 12 13531.5
0.0628319 15016.4 30 15016.4
0.0662306 14217.6 24 14217.6
0.0694632 12177.3 24 12177.3
0.072552 10350.3 8 10350.3
0.0755145 11899.2 24 11899.2
0.0783651 8110.75 48 8110.75
0.0837758 7414.15 6 7414.15
0.0863541 8498.74 48 8498.74
0.0888577 6450.46 36 6450.46
0.0912926 8406.53 24 8406.53
0.0936642 7087.55 24 7087.55
0.0959772 7903.77 48 7903.77
0.0982358 5937.67 24 5937.67
0.102604 4063.01 24 4063.01
0.10472 5666.31 30 5666.31
0.106794 5846.68 72 5846.68
0.108828 5946.53 32 5946.53
0.112787 5074.6 72 5074.6
0.114715 5937.9 48 5937.9
0.118477 2064.64 12 2064.64
0.120314 5747.87 48 5747.87
0.122123 4817.97 48 4817.97
0.123906 6828.8 48 6828.8
0.125664 5452.96 30 5452.96
0.127397 4209.18 24 4209.18
0.129107 4185.48 72 4185.48
0.132461 5743.33 24 5743.33
0.134107 3965.8 96 3965.8
0.135732 3869.75 48 3869.75
0.137339 3051.69 24 3051.69
0.138926 4676.8 24 4676.8
0.140496 2881.68 72 2881.68
0.142049 3215.22 48 3215.22
0.145104 6947.55 8 6947.55
0.146608 4612.22 54 4612.22
0.148096 3783.13 84 3783.13
0.14957 4675.87 48 4675.87
0.151029 2727.76 24 2727.76
0.152474 2528.78 72 2528.78
0.153906 4596.01 96 4596.01
0.15673 3709.1 48 3709.1
0.158123 3068.25 48 3068.25
0.159504 4115.73 24 4115.73
0.160874 2761.85 72 2761.85
0.163577 3381.42 72 3381.42
0.164913 3472.62 96 3472.62
0.167552 1130.13 6 1130.13
0.168856 3653.71 96 3653.71
0.170149 3144.07 96 3144.07
0.171434 3063.98 24 3063.98
0.172708 3103.79 48 3103.79
0.173974 3601.96 96 3601.96
0.17523 3288.75 48 3288.75
0.177715 3812.74 36 3812.74
0.178945 3751.99 48 3751.99
0.180167 3007.14 120 3007.14
0.18138 3177.66 56 3177.66
0.182585 2510.37 24 2510.37
0.183782 3448.04 96 3448.04
0.184972 1936.95 48 1936.95
0.187328 2426.49 24 2426.49
0.188496 2046.81 102 2046.81
0.190347 2892.99 120 2892.99
0.191954 2897.6 48 2897.6
0.193094 3004.14 48 3004.14
0.194226 2822.09 120 2822.09
0.196472 2332.39 24 2332.39
0.197585 2750.47 144 2750.47
0.199006 2729.85 168 2729.85
0.201976 2143.82 48 2143.82
0.203059 2746.71 96 2746.71
0.205208 1998.8 24 1998.8
0.206274 2026.02 48 2026.02
0.207335 2045.25 108 2045.25
0.20839 3472.4 72 3472.4
0.210326 2463.6 198 2463.6
0.211524 2693.17 48 2693.17
0.213587 2314.88 72 2314.88
0.214612 1823.66 96 1823.66
0.215631 2114.37 72 2114.37
0.216957 2620.27 104 2620.27
0.218661 2131.5 72 2131.5
0.219662 2079.63 144 2079.63
0.223129 2209.58 192 2209.58
0.224599 2335.24 48 2335.24
0.22618 2059.57 192 2059.57
