# in Mpc/h Units 
# D1 = 0.956073 
# k P N P(z=0)
0.020944 26293.5 6 28765.1
0.0296192 22042.1 12 24114
0.036276 17260.1 8 18882.6
0.0418879 14843.1 6 16238.4
0.0468321 12594.6 24 13778.5
0.051302 12736.3 24 13933.5
0.0592384 12024.1 12 13154.4
0.0628319 13259.1 30 14505.5
0.0662306 12515 24 13691.4
0.0694632 10784.1 24 11797.8
0.072552 9278.42 8 10150.6
0.0755145 10501.7 24 11488.9
0.0783651 7302.99 48 7989.48
0.0837758 6605.82 6 7226.77
0.0863541 7518.31 48 8225.04
0.0888577 5766.33 36 6308.37
0.0912926 7450.06 24 8150.38
0.0936642 6280.15 24 6870.49
0.0959772 6931.18 48 7582.71
0.0982358 5227.94 24 5719.38
0.102604 3624.66 24 3965.39
0.10472 4997.6 30 5467.38
0.106794 5125.61 72 5607.42
0.108828 5258.23 32 5752.51
0.112787 4491.87 72 4914.11
0.114715 5193.97 48 5682.21
0.118477 1857.91 12 2032.56
0.120314 5039.4 48 5513.11
0.122123 4268.83 48 4670.11
0.123906 5982.65 48 6545.02
0.125664 4850.58 30 5306.54
0.127397 3819.24 24 4178.25
0.129107 3713.18 72 4062.22
0.132461 5040.1 24 5513.88
0.134107 3537.9 96 3870.46
0.135732 3514.33 48 3844.68
0.137339 2825.15 24 3090.72
0.138926 4189.56 24 4583.38
0.140496 2604.37 72 2849.18
0.142049 2894.1 48 3166.14
0.145104 5947.03 8 6506.06
0.146608 4036.87 54 4416.34
0.148096 3340.18 84 3654.16
0.14957 4062.91 48 4444.83
0.151029 2462.74 24 2694.24
0.152474 2228.01 72 2437.45
0.153906 4004.23 96 4380.64
0.15673 3260.87 48 3567.39
0.158123 2667.23 48 2917.95
0.159504 3520.09 24 3850.98
0.160874 2455.3 72 2686.1
0.163577 2958.91 72 3237.05
0.164913 3053.85 96 3340.92
0.167552 1007.43 6 1102.12
0.168856 3186.46 96 3485.99
0.170149 2795.23 96 3057.99
0.171434 2626.06 24 2872.92
0.172708 2735.82 48 2992.99
0.173974 3070.06 96 3358.65
0.17523 2882.96 48 3153.97
0.177715 3348.76 36 3663.55
0.178945 3253.36 48 3559.18
0.180167 2651.24 120 2900.46
0.18138 2799.97 56 3063.17
0.182585 2223.02 24 2431.98
0.183782 3011.98 96 3295.11
0.184972 1719.97 48 1881.65
0.187328 2174.22 24 2378.6
0.188496 1815.8 102 1986.49
0.190347 2555.36 120 2795.56
0.191954 2562.97 48 2803.9
0.193094 2599.32 48 2843.66
0.194226 2488.89 120 2722.85
0.196472 2058.12 24 2251.59
0.197585 2415.47 144 2642.53
0.199006 2410.7 168 2637.3
0.201976 1977.04 48 2162.89
0.203059 2446.73 96 2676.73
0.205208 1682.65 24 1840.82
0.206274 1753.63 48 1918.47
0.207335 1767.32 108 1933.45
0.20839 3059.7 72 3347.31
0.210326 2139.15 198 2340.23
0.211524 2303.35 48 2519.87
0.213587 2011.12 72 2200.16
0.214612 1552.93 96 1698.91
0.215631 1819.99 72 1991.08
0.216957 2282.72 104 2497.29
0.218661 1850.63 72 2024.59
0.219662 1816.54 144 1987.3
0.223129 1917.58 192 2097.84
0.224599 2033.94 48 2225.13
0.22618 1812.7 192 1983.09
0.22751 2044.76 72 2236.97
