# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 28752.8 6 28752.8
0.0296192 24126.4 12 24126.4
0.036276 18836.7 8 18836.7
0.0418879 16195 6 16195
0.0468321 13710.7 24 13710.7
0.051302 13926.1 24 13926.1
0.0592384 13145.9 12 13145.9
0.0628319 14579.9 30 14579.9
0.0662306 13773.9 24 13773.9
0.0694632 11824.8 24 11824.8
0.072552 10092.2 8 10092.2
0.0755145 11538.6 24 11538.6
0.0783651 7901.38 48 7901.38
0.0837758 7180.92 6 7180.92
0.0863541 8225.75 48 8225.75
0.0888577 6258.68 36 6258.68
0.0912926 8138.11 24 8138.11
0.0936642 6850.97 24 6850.97
0.0959772 7628.55 48 7628.55
0.0982358 5749.15 24 5749.15
0.102604 3942.27 24 3942.27
0.10472 5468.99 30 5468.99
0.106794 5651.27 72 5651.27
0.108828 5763.26 32 5763.26
0.112787 4915.05 72 4915.05
0.114715 5732.12 48 5732.12
0.118477 1999.89 12 1999.89
0.120314 5555.55 48 5555.55
0.122123 4672.09 48 4672.09
0.123906 6597.52 48 6597.52
0.125664 5291.59 30 5291.59
0.127397 4102.07 24 4102.07
0.129107 4066.21 72 4066.21
0.132461 5556.56 24 5556.56
0.134107 3850.89 96 3850.89
0.135732 3776.33 48 3776.33
0.137339 2985.89 24 2985.89
0.138926 4549.76 24 4549.76
0.140496 2804.46 72 2804.46
0.142049 3119.57 48 3119.57
0.145104 6656.76 8 6656.76
0.146608 4453.47 54 4453.47
0.148096 3660.4 84 3660.4
0.14957 4502.53 48 4502.53
0.151029 2648.12 24 2648.12
0.152474 2445.79 72 2445.79
0.153906 4430.92 96 4430.92
0.15673 3589.78 48 3589.78
0.158123 2952.18 48 2952.18
0.159504 3947.91 24 3947.91
0.160874 2670.26 72 2670.26
0.163577 3263.93 72 3263.93
0.164913 3355.18 96 3355.18
0.167552 1098.56 6 1098.56
0.168856 3521.9 96 3521.9
0.170149 3048.48 96 3048.48
0.171434 2948.76 24 2948.76
0.172708 3005.58 48 3005.58
0.173974 3455.97 96 3455.97
0.17523 3178.2 48 3178.2
0.177715 3680.96 36 3680.96
0.178945 3612.35 48 3612.35
0.180167 2911.54 120 2911.54
0.18138 3074.11 56 3074.11
0.182585 2434.85 24 2434.85
0.183782 3329.81 96 3329.81
0.184972 1877.17 48 1877.17
0.187328 2352.61 24 2352.61
0.188496 1983.35 102 1983.35
0.190347 2796.68 120 2796.68
0.191954 2807.63 48 2807.63
0.193094 2891.73 48 2891.73
0.194226 2728.03 120 2728.03
0.196472 2256.32 24 2256.32
0.197585 2658.66 144 2658.66
0.199006 2643.12 168 2643.12
0.201976 2096.63 48 2096.63
0.203059 2659.77 96 2659.77
0.205208 1915.92 24 1915.92
0.206274 1953.46 48 1953.46
0.207335 1967.68 108 1967.68
0.20839 3355.9 72 3355.9
0.210326 2371.54 198 2371.54
0.211524 2588.15 48 2588.15
0.213587 2232.65 72 2232.65
0.214612 1749.65 96 1749.65
0.215631 2034.32 72 2034.32
0.216957 2525.99 104 2525.99
0.218661 2056.76 72 2056.76
0.219662 2006.7 144 2006.7
0.223129 2129.54 192 2129.54
0.224599 2252.32 48 2252.32
0.22618 1989.61 192 1989.61
0.22751 2302.5 72 2302.5
0.229429 1626.89 48 1626.89
0.230383 3054.19 78 3054.19
0.231604 2337.09 168 2337.09
0.23416 2456.94 144 2456.94
0.235095 2012.41 144 2012.41
0.236954 1945.15 12 1945.15
0.238108 2198.82 192 2198.82
0.239975 2225.85 168 2225.85
0.241537 1536.52 48 1536.52
0.242444 1854.89 168 1854.89
0.244844 1782.13 144 1782.13
0.246417 1652.68 168 1652.68
0.248401 1953.54 144 1953.54
0.249576 1768.33 48 1768.33
0.251327 2402.81 30 2402.81
0.252777 1739.41 288 1739.41
0.254191 1282.73 80 1282.73
0.25601 1789 288 1789
0.258214 1368.74 72 1368.74
0.2594 1910.52 240 1910.52
0.26075 1558.51 96 1558.51
0.262904 1829.25 168 1829.25
0.265657 1695.75 216 1695.75
0.266722 1879.42 132 1879.42
0.268622 1807.33 192 1807.33
0.269844 1794.04 120 1794.04
0.271964 1697.67 126 1697.67
0.273543 1583.57 288 1583.57
0.275842 1517.6 312 1517.6
0.277853 1183.22 24 1183.22
0.279641 1644.22 264 1644.22
0.28148 1885.85 192 1885.85
0.282936 1341.32 192 1341.32
0.285198 1708.72 336 1708.72
0.286404 1872.12 48 1872.12
0.288084 1255.18 240 1255.18
0.291553 1373.12 296 1373.12
0.292736 1600.46 150 1600.46
0.294335 1767.19 240 1767.19
0.296659 1130.53 228 1130.53
0.298323 1493.74 216 1493.74
0.300394 1318.38 336 1318.38
0.302928 1520.12 360 1520.12
0.304588 1465.89 144 1465.89
0.305974 1531.07 168 1531.07
0.308578 1398.66 312 1398.66
0.310884 1479.53 288 1479.53
0.312408 1281.93 192 1281.93
0.314799 1294.69 366 1294.69
0.317265 1409.22 408 1409.22
0.319597 1273.39 168 1273.39
0.320771 1529.4 336 1529.4
0.3227 997.336 240 997.336
0.32574 1325.06 380 1325.06
0.32795 1275.11 384 1275.11
0.330224 1227.51 240 1227.51
0.331726 1389.83 360 1389.83
0.333831 1140.57 198 1140.57
0.336246 1365.64 384 1365.64
0.338319 1355.16 384 1355.16
0.341157 1393.26 432 1393.26
0.343593 1339.13 528 1339.13
0.346262 1357.32 288 1357.32
0.347842 1366.27 288 1366.27
0.350326 1139 456 1139
0.352828 1127.88 360 1127.88
