# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.867238
# nk = 757
0.020944 2379.85 6
0.0296192 1067.2 12
0.036276 570.957 8
0.0418879 362.216 6
0.0468321 243.875 24
0.051302 192.549 24
0.0592384 127.778 12
0.0628319 116.496 30
0.0662306 96.2232 24
0.0694632 75.5396 24
0.072552 60.8102 8
0.0755145 58.0873 24
0.0783651 40.4066 48
0.0837758 29.975 6
0.0863541 29.8135 48
0.0888577 22.3359 36
0.0912926 25.2287 24
0.0936642 20.179 24
0.0959772 19.7632 48
0.0982358 14.3805 24
0.102604 9.4864 24
0.10472 11.5795 30
0.106794 10.8635 72
0.108828 10.7717 32
0.112787 8.4416 72
0.114715 8.81123 48
0.118477 3.4634 12
0.120314 7.48889 48
0.122123 6.34371 48
0.123906 8.03553 48
0.125664 6.57102 30
0.127397 5.34598 24
0.129107 4.68748 72
0.132461 5.56293 24
0.134107 4.05848 96
0.135732 4.03391 48
0.137339 3.36033 24
0.138926 4.24545 24
0.140496 2.74329 72
0.142049 2.91037 48
0.145104 4.57303 8
0.146608 3.28535 54
0.148096 2.71244 84
0.14957 3.04954 48
0.151029 2.06435 24
0.152474 1.70265 72
0.153906 2.73739 96
0.15673 2.17235 48
0.158123 1.71806 48
0.159504 2.06828 24
0.160874 1.59958 72
0.163577 1.7033 72
0.164913 1.76024 96
0.167552 0.641774 6
0.168856 1.65955 96
0.170149 1.49103 96
0.171434 1.24406 24
0.172708 1.3722 48
0.173974 1.3476 96
0.17523 1.3445 48
0.177715 1.50332 36
0.178945 1.37317 48
0.180167 1.15656 120
0.18138 1.17881 56
0.182585 0.939465 24
0.183782 1.184 96
0.184972 0.716755 48
0.187328 0.866877 24
0.188496 0.710133 102
0.190347 0.942825 120
0.191954 0.917898 48
0.193094 0.86132 48
0.194226 0.852079 120
0.196472 0.695072 24
0.197585 0.78128 144
0.199006 0.754213 168
0.201976 0.672621 48
0.203059 0.745365 96
0.205208 0.432405 24
0.206274 0.477421 48
0.207335 0.477431 108
0.20839 0.814875 72
0.210326 0.545514 198
0.211524 0.540784 48
0.213587 0.487849 72
0.214612 0.355818 96
0.215631 0.410729 72
0.216957 0.523353 104
0.218661 0.406601 72
0.219662 0.402264 144
0.223129 0.399441 192
0.224599 0.417032 48
0.22618 0.376772 192
0.22751 0.379022 72
0.229429 0.281108 48
0.230383 0.478243 78
0.231604 0.382971 168
0.23416 0.374284 144
0.235095 0.313343 144
0.236954 0.254709 12
0.238108 0.321061 192
0.239975 0.327546 168
0.241537 0.249215 48
0.242444 0.259539 168
0.244844 0.254637 144
0.246417 0.208822 168
0.248401 0.25273 144
0.249576 0.222449 48
0.251327 0.320612 30
0.252777 0.215939 288
0.254191 0.156627 80
0.25601 0.211723 288
0.258214 0.163359 72
0.2594 0.207004 240
0.26075 0.176369 96
0.262904 0.179418 168
0.265657 0.175965 216
0.266722 0.189208 132
0.268622 0.184068 192
0.269844 0.164675 120
0.271964 0.159132 126
0.273543 0.15093 288
0.275842 0.147215 312
0.277853 0.102797 24
0.279641 0.146967 264
0.28148 0.162326 192
0.282936 0.114132 192
0.285198 0.13631 336
0.286404 0.153771 48
0.288084 0.109938 240
0.291553 0.106643 296
0.292736 0.105021 150
0.294335 0.125279 240
0.296659 0.0817504 228
0.298323 0.100477 216
0.300394 0.0917604 336
0.302928 0.106864 360
0.304588 0.0908566 144
0.305974 0.0994459 168
0.308578 0.0898946 312
0.310884 0.0837826 288
0.312408 0.0777557 192
0.314799 0.0734412 366
0.317265 0.081615 408
0.319597 0.069094 168
0.320771 0.0808137 336
0.3227 0.058511 240
0.32574 0.0664671 380
0.32795 0.0650984 384
0.330224 0.0626044 240
0.331726 0.0662477 360
0.333831 0.0549086 198
0.336246 0.0613959 384
0.338319 0.0612009 384
0.341157 0.0624575 432
0.343593 0.0569073 528
0.346262 0.0570649 288
0.347842 0.0549738 288
0.350326 0.045001 456
0.352828 0.0440476 360
0.354442 0.0459262 180
0.356776 0.0474256 486
0.359142 0.0474934 504
0.361681 0.0421274 512
0.363857 0.0380917 264
0.366441 0.0373682 600
0.368657 0.0395213 288
0.371486 0.0354479 672
0.374587 0.0429209 408
0.376839 0.0350742 462
0.379079 0.0343837 600
0.38178 0.0350317 504
0.384712 0.0314142 324
0.386663 0.03227 744
0.389313 0.0336609 456
0.39167 0.0293359 432
0.394428 0.02682 720
0.397811 0.0275618 534
0.400019 0.023959 536
0.402781 0.0268789 624
0.405015 0.0266556 600
0.40766 0.0256035 696
0.410865 0.0233675 456
0.413244 0.0231384 732
0.416084 0.0220725 600
0.418986 0.0202004 702
0.421544 0.0199269 672
0.424534 0.0211873 768
0.42751 0.0199808 768
0.430034 0.017119 408
0.432751 0.0178133 1080
0.436344 0.019565 632
0.438896 0.0177566 750
0.44171 0.016481 696
0.444585 0.0159139 876
0.447784 0.0160636 864
0.45034 0.0141493 768
0.453413 0.0149414 888
0.456575 0.0137347 816
0.459787 0.0135063 654
0.462622 0.0127133 1296
0.465862 0.0138315 816
0.468802 0.0124728 816
0.471915 0.0129033 1088
0.475472 0.0118848 1020
0.478779 0.0115721 1032
0.481919 0.0107892 942
0.484939 0.0112845 1032
0.488502 0.0106469 1128
0.491034 0.0102537 888
0.494348 0.0101722 1176
0.497688 0.00957355 960
0.500527 0.00953487 1110
0.504331 0.00855139 1116
0.507364 0.0088298 1352
0.510774 0.00852576 1200
0.514275 0.00804478 1224
0.517978 0.00789248 1320
0.521294 0.00742825 1128
0.524822 0.00744136 1518
0.527973 0.00729131 1080
0.531698 0.00704102 1524
0.535226 0.00699295 1416
0.539103 0.00636938 1704
0.543 0.00658002 1088
0.546011 0.00621291 1446
0.549827 0.005777 1800
0.55369 0.00590091 1512
0.557166 0.00573309 1392
0.560475 0.00528665 1392
0.564609 0.00532533 1962
0.56859 0.00517339 1776
