# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 1
# nk = 757
0.020944 2990.43 6
0.0296192 1362.9 12
0.036276 734.419 8
0.0418879 469.072 6
0.0468321 316.761 24
0.051302 252.248 24
0.0592384 168.826 12
0.0628319 155.369 30
0.0662306 128.718 24
0.0694632 100.83 24
0.072552 80.776 8
0.0755145 78.1272 24
0.0783651 53.5545 48
0.0837758 39.9675 6
0.0863541 40.1879 48
0.0888577 29.8352 36
0.0912926 34.1562 24
0.0936642 27.2491 24
0.0959772 26.9816 48
0.0982358 19.509 24
0.102604 12.7002 24
0.10472 15.7532 30
0.106794 14.884 72
0.108828 14.718 32
0.112787 11.5097 72
0.114715 12.1706 48
0.118477 4.58188 12
0.120314 10.3546 48
0.122123 8.68483 48
0.123906 11.1762 48
0.125664 9.03737 30
0.127397 7.23162 24
0.129107 6.4258 72
0.132461 7.75831 24
0.134107 5.55314 96
0.135732 5.47757 48
0.137339 4.48832 24
0.138926 5.85178 24
0.140496 3.70666 72
0.142049 3.9514 48
0.145104 6.57256 8
0.146608 4.60285 54
0.148096 3.77228 84
0.14957 4.301 48
0.151029 2.80387 24
0.152474 2.34729 72
0.153906 3.8753 96
0.15673 3.04877 48
0.158123 2.41616 48
0.159504 2.96563 24
0.160874 2.21191 72
0.163577 2.40681 72
0.164913 2.46807 96
0.167552 0.856403 6
0.168856 2.3495 96
0.170149 2.08144 96
0.171434 1.78406 24
0.172708 1.9239 48
0.173974 1.95652 96
0.17523 1.90359 48
0.177715 2.12691 36
0.178945 1.96748 48
0.180167 1.62802 120
0.18138 1.66916 56
0.182585 1.31848 24
0.183782 1.69191 96
0.184972 0.997544 48
0.187328 1.21193 24
0.188496 0.989936 102
0.190347 1.32859 120
0.191954 1.29408 48
0.193094 1.23902 48
0.194226 1.20576 120
0.196472 0.975431 24
0.197585 1.10619 144
0.199006 1.07305 168
0.201976 0.916147 48
0.203059 1.04831 96
0.205208 0.63519 24
0.206274 0.684201 48
0.207335 0.682326 108
0.20839 1.16817 72
0.210326 0.784788 198
0.211524 0.796724 48
0.213587 0.701879 72
0.214612 0.519322 96
0.215631 0.600624 72
0.216957 0.755909 104
0.218661 0.591004 72
0.219662 0.580207 144
0.223129 0.578419 192
0.224599 0.603088 48
0.22618 0.537648 192
0.22751 0.560693 72
0.229429 0.405745 48
0.230383 0.710347 78
0.231604 0.558249 168
0.23416 0.552778 144
0.235095 0.457414 144
0.236954 0.38417 12
0.238108 0.472577 192
0.239975 0.477234 168
0.241537 0.349632 48
0.242444 0.379116 168
0.244844 0.367303 144
0.246417 0.309743 168
0.248401 0.370529 144
0.249576 0.328622 48
0.251327 0.459588 30
0.252777 0.313752 288
0.254191 0.226699 80
0.25601 0.308762 288
0.258214 0.234339 72
0.2594 0.306811 240
0.26075 0.256611 96
0.262904 0.270794 168
0.265657 0.257747 216
0.266722 0.278789 132
0.268622 0.268057 192
0.269844 0.247319 120
0.271964 0.23571 126
0.273543 0.220714 288
0.275842 0.212125 312
0.277853 0.151282 24
0.279641 0.214579 264
0.28148 0.238877 192
0.282936 0.166728 192
0.285198 0.202781 336
0.286404 0.224769 48
0.288084 0.155637 240
0.291553 0.155618 296
0.292736 0.161999 150
0.294335 0.187515 240
0.296659 0.119393 228
0.298323 0.150517 216
0.300394 0.1345 336
0.302928 0.155277 360
0.304588 0.137014 144
0.305974 0.147317 168
0.308578 0.131498 312
0.310884 0.127115 288
0.312408 0.114811 192
0.314799 0.109727 366
0.317265 0.120037 408
0.319597 0.102669 168
0.320771 0.121503 336
0.3227 0.0835546 240
0.32574 0.100076 380
0.32795 0.0959621 384
0.330224 0.0921554 240
0.331726 0.0990986 360
0.333831 0.0813384 198
0.336246 0.0924221 384
0.338319 0.0914453 384
0.341157 0.0927546 432
0.343593 0.0855116 528
0.346262 0.0849949 288
0.347842 0.0831581 288
0.350326 0.0675604 456
0.352828 0.0659011 360
0.354442 0.0692959 180
0.356776 0.0723089 486
0.359142 0.0717959 504
0.361681 0.0646082 512
0.363857 0.0572721 264
0.366441 0.0559472 600
0.368657 0.060232 288
0.371486 0.0538078 672
0.374587 0.0635355 408
0.376839 0.0526223 462
0.379079 0.0528374 600
0.38178 0.0532474 504
0.384712 0.0476987 324
0.386663 0.0491283 744
0.389313 0.0507233 456
0.39167 0.0453211 432
0.394428 0.0408712 720
0.397811 0.0421346 534
0.400019 0.0362713 536
0.402781 0.042114 624
0.405015 0.0410141 600
0.40766 0.0392604 696
0.410865 0.0362103 456
0.413244 0.0356832 732
0.416084 0.0345165 600
0.418986 0.0311581 702
0.421544 0.030855 672
0.424534 0.0329134 768
0.42751 0.0311357 768
0.430034 0.0265594 408
0.432751 0.0277421 1080
0.436344 0.0303773 632
0.438896 0.027193 750
0.44171 0.0251272 696
0.444585 0.0243503 876
0.447784 0.0249539 864
0.45034 0.021803 768
0.453413 0.023265 888
0.456575 0.0214915 816
0.459787 0.0213859 654
0.462622 0.0199758 1296
0.465862 0.0217156 816
0.468802 0.0193767 816
0.471915 0.020113 1088
0.475472 0.0183221 1020
0.478779 0.0181286 1032
0.481919 0.0168281 942
0.484939 0.0176071 1032
0.488502 0.0165756 1128
0.491034 0.015959 888
0.494348 0.0157171 1176
0.497688 0.0149349 960
0.500527 0.0150921 1110
0.504331 0.0133576 1116
0.507364 0.0137768 1352
0.510774 0.0134205 1200
0.514275 0.0126436 1224
0.517978 0.0121876 1320
0.521294 0.0116989 1128
0.524822 0.0118302 1518
0.527973 0.0115797 1080
0.531698 0.0111763 1524
0.535226 0.0110737 1416
0.539103 0.0100584 1704
0.543 0.0104739 1088
0.546011 0.00996248 1446
0.549827 0.00895939 1800
0.55369 0.00920547 1512
0.557166 0.00920044 1392
0.560475 0.00832945 1392
0.564609 0.00845465 1962
0.56859 0.0082004 1776
0.572441 0.00767555 1680
0.5763 0.00812144 1776
0.580121 0.00769328 1544
0.583625 0.00678208 1896
0.587525 0.00733195 1662
0.591428 0.00695054 1908
0.595301 0.0066116 2184
0.599624 0.00645634 1848
0.603294 0.0065269 1848
0.60771 0.00621529 2238
0.611568 0.00553861 2088
0.615779 0.0059545 2192
0.619303 0.00562832 1536
0.623194 0.00515762 2412
0.627636 0.00492501 2262
0.631826 0.00508606 2448
0.635971 0.00461353 2040
0.64039 0.00471667 2976
0.644956 0.00475429 2184
0.649302 0.00464451 2550
0.653461 0.00436843 2396
0.657644 0.00429692 2760
0.662026 0.00407963 2424
0.666685 0.00379519 2832
0.670916 0.00382151 2574
0.675462 0.00367385 3024
0.679703 0.00356946 2484
0.684292 0.00343178 3168
0.688927 0.00338505 2894
0.693468 0.00323158 2856
0.698026 0.00324612 3384
0.702952 0.0031043 3240
0.707372 0.00290621 2856
0.712317 0.0029836 3474
0.716936 0.00281917 3432
0.721869 0.00290601 3552
0.726964 0.00274935 3560
0.73163 0.00252142 3270
0.736224 0.0024832 3552
0.74119 0.0024073 3780
0.746118 0.00244656 3960
0.751313 0.00232553 3696
0.756133 0.00224292 3726
0.761156 0.00222189 4376
0.766095 0.00211703 3648
0.771205 0.00202687 4332
0.776456 0.00201982 4254
0.781432 0.00189432 4296
0.786733 0.00184581 4320
0.791574 0.00182255 4368
0.797255 0.00179357 4826
0.802676 0.00170948 5016
0.808005 0.001631 4608
0.813482 0.00162094 4824
0.818759 0.00153545 4950
0.824173 0.00148838 5232
0.829708 0.00140093 4980
0.834919 0.00142946 4838
0.840568 0.00135246 6024
0.846479 0.00134207 5520
0.851948 0.00131494 5400
0.857592 0.00127941 5538
0.863369 0.00122183 6456
0.869182 0.00116508 5504
0.874831 0.00117106 6168
0.880682 0.001137 5910
0.886294 0.00108465 6372
0.892352 0.00107044 6768
0.898399 0.00103447 6294
0.904229 0.000987943 6656
0.910231 0.00094611 7224
0.916513 0.000942074 6708
0.922651 0.000918312 7566
0.92895 0.000881797 7416
0.935092 0.000836347 6984
0.940995 0.000807441 7310
0.947406 0.000790915 8148
0.953652 0.000774529 7632
0.960017 0.000742521 8088
0.966595 0.000710968 8478
0.972908 0.000710518 8112
0.979222 0.000686615 8108
0.985855 0.000659124 9510
0.992666 0.000630269 8472
0.998881 0.000618782 8832
1.00551 0.00060862 8898
1.01216 0.00058256 10008
1.01908 0.000560701 9392
1.02599 0.000534938 10206
1.03271 0.000526098 9528
1.03948 0.000517695 10236
1.04641 0.000484861 10398
1.05346 0.000482991 10784
1.06036 0.000473745 10584
1.0676 0.000450948 11346
1.07471 0.000434984 11400
1.08175 0.00043413 11016
1.08895 0.000415454 11870
1.09637 0.000406504 12516
1.10369 0.000382141 11880
1.11092 0.00037882 11886
1.1181 0.000368781 13104
1.12573 0.000347977 12764
1.1332 0.000345923 13446
1.14081 0.000328487 13464
1.14829 0.000316268 13398
1.15605 0.000312741 14628
1.16374 0.000306801 14024
1.1717 0.000288725 15054
1.17935 0.0002819 14496
1.18713 0.000272766 15012
1.195 0.000265955 15422
1.20281 0.000256095 15624
1.21088 0.00025067 16146
1.21904 0.000238432 17064
1.22715 0.000234876 16152
1.23533 0.000225929 17510
1.24354 0.000218096 17172
1.25174 0.000210542 17880
1.26013 0.000206006 18030
1.26845 0.000204481 18680
1.27706 0.000191622 19170
1.28545 0.000181293 18720
1.29387 0.000182131 19536
1.3027 0.000175351 20954
1.31143 0.000170452 20328
1.3202 0.000163849 20718
1.32891 0.000157136 21348
1.33775 0.000154898 21534
1.34663 0.000151637 22256
1.35548 0.000142157 22104
1.3645 0.000137116 23178
1.37362 0.000134608 23880
1.38289 0.000130312 24230
1.39214 0.000126734 24468
1.40146 0.000123597 25230
1.41076 0.000117738 25328
1.42016 0.000114043 25818
1.42955 0.000110116 26616
1.43897 0.000106923 26376
1.44856 0.000103059 28034
1.45815 0.000101315 27816
1.46783 9.71206e-05 28398
1.47755 9.23124e-05 29652
1.48753 9.06882e-05 30134
1.4975 8.77145e-05 30792
1.50759 8.54023e-05 31218
1.51744 8.16921e-05 30912
1.52762 8.01946e-05 33158
1.53782 7.81991e-05 32772
1.54798 7.54462e-05 33150
1.55817 7.21455e-05 34256
1.56867 7.0769e-05 35562
1.579 6.78718e-05 34992
1.58955 6.61971e-05 37158
1.60018 6.25447e-05 36956
1.61084 6.20894e-05 37950
1.62148 5.88209e-05 38496
1.63242 5.74059e-05 40274
1.64322 5.53474e-05 39264
1.65411 5.3585e-05 41466
1.66512 5.22965e-05 41960
1.67627 4.9769e-05 42702
1.68736 4.879e-05 43356
1.69863 4.65135e-05 44886
1.70994 4.52059e-05 45248
1.72135 4.38826e-05 46362
1.73279 4.2146e-05 46974
1.74428 4.04993e-05 48236
1.75588 3.94364e-05 48774
1.76756 3.81097e-05 50616
1.77941 3.69309e-05 51050
1.79124 3.55945e-05 52272
1.80325 3.39968e-05 53658
1.81507 3.32766e-05 52640
1.82722 3.18656e-05 57366
1.83948 3.09927e-05 55170
1.85166 3.00864e-05 58544
1.86408 2.88168e-05 58506
1.87633 2.81681e-05 58968
1.88886 2.69261e-05 62366
1.90144 2.60826e-05 61266
1.914 2.51499e-05 63960
1.92679 2.43086e-05 64730
1.93957 2.34242e-05 66360
1.95256 2.28473e-05 67778
1.96563 2.21012e-05 69558
1.97869 2.13228e-05 69660
1.99179 2.07819e-05 71390
2.00509 1.95872e-05 73974
2.01846 1.91001e-05 74196
2.03193 1.85282e-05 76622
2.04528 1.78288e-05 75516
2.05892 1.71764e-05 81510
2.07279 1.65035e-05 80138
2.0865 1.59585e-05 82368
2.10039 1.55301e-05 84098
2.11443 1.4769e-05 86286
2.12845 1.44331e-05 86700
2.14263 1.3791e-05 90014
2.15695 1.34787e-05 90930
2.17119 1.29386e-05 91694
2.18567 1.24717e-05 96228
2.20036 1.20861e-05 97014
2.21494 1.16828e-05 97370
2.22958 1.12397e-05 100656
2.24445 1.08783e-05 102530
2.25936 1.04313e-05 104454
2.27439 1.02332e-05 107196
2.28969 9.78289e-06 110414
2.30493 9.42054e-06 109578
2.32027 9.12255e-06 114974
2.33573 8.74016e-06 114396
2.35122 8.51996e-06 118190
2.3669 8.19666e-06 120498
2.38266 7.86315e-06 122718
2.39847 7.53278e-06 124604
2.41442 7.35067e-06 127950
2.43055 7.04792e-06 130826
2.44673 6.8275e-06 132510
