#           k/h    P           
    0.71429E-04    0.13434E+03
    0.79823E-04    0.14962E+03
    0.89203E-04    0.16664E+03
    0.99687E-04    0.18560E+03
    0.11140E-03    0.20671E+03
    0.12449E-03    0.23021E+03
    0.13912E-03    0.25639E+03
    0.15547E-03    0.28553E+03
    0.17374E-03    0.31798E+03
    0.19416E-03    0.35410E+03
    0.21698E-03    0.39431E+03
    0.24248E-03    0.43906E+03
    0.27098E-03    0.48886E+03
    0.30282E-03    0.54426E+03
    0.33841E-03    0.60587E+03
    0.37818E-03    0.67437E+03
    0.42262E-03    0.75050E+03
    0.47229E-03    0.83507E+03
    0.52779E-03    0.92897E+03
    0.58982E-03    0.10331E+04
    0.65913E-03    0.11486E+04
    0.73659E-03    0.12765E+04
    0.82315E-03    0.14180E+04
    0.91989E-03    0.15743E+04
    0.10280E-02    0.17468E+04
    0.11488E-02    0.19368E+04
    0.12838E-02    0.21457E+04
    0.14347E-02    0.23748E+04
    0.16033E-02    0.26256E+04
    0.17917E-02    0.28993E+04
    0.20023E-02    0.31970E+04
    0.22376E-02    0.35195E+04
    0.25005E-02    0.38677E+04
    0.27944E-02    0.42417E+04
    0.31228E-02    0.46413E+04
    0.34898E-02    0.50659E+04
    0.38999E-02    0.55138E+04
    0.43582E-02    0.59828E+04
    0.44069E-02    0.60308E+04
    0.44561E-02    0.60789E+04
    0.45059E-02    0.61272E+04
    0.45562E-02    0.61756E+04
    0.46071E-02    0.62242E+04
    0.46586E-02    0.62730E+04
    0.47107E-02    0.63219E+04
    0.47633E-02    0.63709E+04
    0.48165E-02    0.64201E+04
    0.48703E-02    0.64695E+04
    0.49248E-02    0.65189E+04
    0.49798E-02    0.65685E+04
    0.50354E-02    0.66182E+04
    0.50917E-02    0.66681E+04
    0.51486E-02    0.67180E+04
    0.52061E-02    0.67681E+04
    0.52643E-02    0.68182E+04
    0.53231E-02    0.68684E+04
    0.53826E-02    0.69187E+04
    0.54427E-02    0.69691E+04
    0.55035E-02    0.70196E+04
    0.55650E-02    0.70701E+04
    0.56272E-02    0.71207E+04
    0.56901E-02    0.71714E+04
    0.57536E-02    0.72220E+04
    0.58179E-02    0.72728E+04
    0.58829E-02    0.73235E+04
    0.59487E-02    0.73743E+04
    0.60151E-02    0.74251E+04
    0.60823E-02    0.74758E+04
    0.61503E-02    0.75266E+04
    0.62190E-02    0.75774E+04
    0.62885E-02    0.76281E+04
    0.63587E-02    0.76789E+04
    0.64298E-02    0.77295E+04
    0.65016E-02    0.77802E+04
    0.65743E-02    0.78308E+04
    0.66477E-02    0.78813E+04
    0.67220E-02    0.79317E+04
    0.67971E-02    0.79820E+04
    0.68731E-02    0.80323E+04
    0.69499E-02    0.80824E+04
    0.70275E-02    0.81325E+04
    0.71060E-02    0.81824E+04
    0.71854E-02    0.82321E+04
    0.72657E-02    0.82817E+04
    0.73469E-02    0.83312E+04
    0.74290E-02    0.83805E+04
    0.75120E-02    0.84296E+04
    0.75959E-02    0.84785E+04
    0.76808E-02    0.85272E+04
    0.77666E-02    0.85756E+04
    0.78534E-02    0.86239E+04
    0.79411E-02    0.86719E+04
    0.80298E-02    0.87196E+04
    0.81196E-02    0.87671E+04
    0.82103E-02    0.88142E+04
    0.83020E-02    0.88611E+04
    0.83948E-02    0.89077E+04
    0.84886E-02    0.89539E+04
    0.85834E-02    0.89998E+04
    0.86793E-02    0.90454E+04
    0.87763E-02    0.90905E+04
    0.88743E-02    0.91353E+04
    0.89735E-02    0.91797E+04
    0.90738E-02    0.92237E+04
    0.91751E-02    0.92673E+04
    0.92777E-02    0.93104E+04
    0.93813E-02    0.93530E+04
    0.94861E-02    0.93952E+04
    0.95921E-02    0.94368E+04
    0.96993E-02    0.94780E+04
    0.98077E-02    0.95187E+04
    0.99173E-02    0.95588E+04
    0.10028E-01    0.95983E+04
    0.10140E-01    0.96372E+04
    0.10253E-01    0.96756E+04
    0.10368E-01    0.97134E+04
    0.10484E-01    0.97505E+04
    0.10601E-01    0.97870E+04
    0.10719E-01    0.98228E+04
    0.10839E-01    0.98579E+04
    0.10960E-01    0.98923E+04
    0.11083E-01    0.99260E+04
    0.11207E-01    0.99590E+04
    0.11332E-01    0.99912E+04
    0.11458E-01    0.10023E+05
    0.11586E-01    0.10053E+05
    0.11716E-01    0.10083E+05
    0.11847E-01    0.10112E+05
    0.11979E-01    0.10140E+05
    0.12113E-01    0.10167E+05
    0.12248E-01    0.10194E+05
    0.12385E-01    0.10219E+05
    0.12524E-01    0.10244E+05
    0.12663E-01    0.10267E+05
    0.12805E-01    0.10290E+05
    0.12948E-01    0.10311E+05
    0.13093E-01    0.10332E+05
    0.13239E-01    0.10352E+05
    0.13387E-01    0.10370E+05
    0.13536E-01    0.10388E+05
    0.13688E-01    0.10404E+05
    0.13841E-01    0.10419E+05
    0.13995E-01    0.10433E+05
    0.14152E-01    0.10446E+05
    0.14310E-01    0.10458E+05
    0.14470E-01    0.10468E+05
    0.14631E-01    0.10478E+05
    0.14795E-01    0.10486E+05
    0.14960E-01    0.10493E+05
    0.15127E-01    0.10498E+05
    0.15296E-01    0.10503E+05
    0.15467E-01    0.10506E+05
    0.15640E-01    0.10507E+05
    0.15815E-01    0.10508E+05
    0.15991E-01    0.10507E+05
    0.16170E-01    0.10504E+05
    0.16351E-01    0.10501E+05
    0.16533E-01    0.10495E+05
    0.16718E-01    0.10489E+05
    0.16905E-01    0.10481E+05
    0.17094E-01    0.10471E+05
    0.17285E-01    0.10460E+05
    0.17478E-01    0.10448E+05
    0.17673E-01    0.10434E+05
    0.17871E-01    0.10419E+05
    0.18070E-01    0.10402E+05
    0.18272E-01    0.10383E+05
    0.18476E-01    0.10363E+05
    0.18683E-01    0.10342E+05
    0.18892E-01    0.10319E+05
    0.19103E-01    0.10294E+05
    0.19316E-01    0.10268E+05
    0.19532E-01    0.10240E+05
    0.19750E-01    0.10211E+05
    0.19971E-01    0.10180E+05
    0.20194E-01    0.10148E+05
    0.20420E-01    0.10114E+05
    0.20648E-01    0.10078E+05
    0.20879E-01    0.10041E+05
    0.21112E-01    0.10002E+05
    0.21348E-01    0.99622E+04
    0.21586E-01    0.99205E+04
    0.21827E-01    0.98772E+04
    0.22071E-01    0.98323E+04
    0.22318E-01    0.97860E+04
    0.22567E-01    0.97381E+04
    0.22819E-01    0.96887E+04
    0.23074E-01    0.96379E+04
    0.23332E-01    0.95856E+04
    0.23593E-01    0.95319E+04
    0.23856E-01    0.94768E+04
    0.24123E-01    0.94203E+04
    0.24393E-01    0.93624E+04
    0.24665E-01    0.93031E+04
    0.24941E-01    0.92426E+04
    0.25219E-01    0.91808E+04
    0.25501E-01    0.91177E+04
    0.25786E-01    0.90535E+04
    0.26074E-01    0.89880E+04
    0.26365E-01    0.89214E+04
    0.26660E-01    0.88537E+04
    0.26958E-01    0.87850E+04
    0.27259E-01    0.87152E+04
    0.27564E-01    0.86445E+04
