#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.152570E+08   0.152570E+08   0.199476E+08   0.199468E+08   0.152965E+08   0.152572E+08   0.152570E+08   0.152624E+08  -0.539495E+00   0.112797E+08   0.112797E+08   0.604584E-01
   0.798228E-04   0.152568E+08   0.152567E+08   0.198501E+08   0.198492E+08   0.152931E+08   0.152569E+08   0.152568E+08   0.152621E+08  -0.539485E+00   0.112795E+08   0.112795E+08   0.675463E-01
   0.892035E-04   0.152565E+08   0.152565E+08   0.197290E+08   0.197278E+08   0.152890E+08   0.152566E+08   0.152565E+08   0.152618E+08  -0.539472E+00   0.112793E+08   0.112793E+08   0.754605E-01
   0.996866E-04   0.152561E+08   0.152561E+08   0.195787E+08   0.195772E+08   0.152838E+08   0.152562E+08   0.152561E+08   0.152614E+08  -0.539457E+00   0.112790E+08   0.112790E+08   0.842953E-01
   0.111402E-03   0.152557E+08   0.152557E+08   0.193925E+08   0.193907E+08   0.152773E+08   0.152558E+08   0.152557E+08   0.152608E+08  -0.539437E+00   0.112787E+08   0.112787E+08   0.941555E-01
   0.124493E-03   0.152551E+08   0.152551E+08   0.191623E+08   0.191600E+08   0.152693E+08   0.152552E+08   0.152551E+08   0.152602E+08  -0.539412E+00   0.112782E+08   0.112782E+08   0.105156E+00
   0.139124E-03   0.152544E+08   0.152544E+08   0.188783E+08   0.188756E+08   0.152593E+08   0.152544E+08   0.152544E+08   0.152594E+08  -0.539382E+00   0.112777E+08   0.112777E+08   0.117425E+00
   0.155474E-03   0.152535E+08   0.152535E+08   0.185292E+08   0.185259E+08   0.152470E+08   0.152535E+08   0.152535E+08   0.152584E+08  -0.539344E+00   0.112770E+08   0.112770E+08   0.131101E+00
   0.173745E-03   0.152524E+08   0.152524E+08   0.181018E+08   0.180977E+08   0.152317E+08   0.152523E+08   0.152524E+08   0.152571E+08  -0.539297E+00   0.112762E+08   0.112762E+08   0.146336E+00
   0.194163E-03   0.152511E+08   0.152511E+08   0.175808E+08   0.175760E+08   0.152128E+08   0.152509E+08   0.152511E+08   0.152555E+08  -0.539238E+00   0.112752E+08   0.112752E+08   0.163296E+00
   0.216981E-03   0.152494E+08   0.152494E+08   0.169500E+08   0.169442E+08   0.151895E+08   0.152491E+08   0.152494E+08   0.152536E+08  -0.539165E+00   0.112739E+08   0.112739E+08   0.182159E+00
   0.242480E-03   0.152473E+08   0.152473E+08   0.161920E+08   0.161853E+08   0.151610E+08   0.152469E+08   0.152473E+08   0.152512E+08  -0.539075E+00   0.112723E+08   0.112723E+08   0.203116E+00
