#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.120985E+08   0.120985E+08   0.158885E+08   0.158879E+08   0.121523E+08   0.120988E+08   0.120985E+08   0.121043E+08  -0.570538E+00   0.104392E+08   0.104392E+08   0.792832E-01
   0.798228E-04   0.120983E+08   0.120983E+08   0.158284E+08   0.158277E+08   0.121496E+08   0.120986E+08   0.120983E+08   0.121041E+08  -0.570527E+00   0.104391E+08   0.104391E+08   0.885822E-01
   0.892035E-04   0.120981E+08   0.120981E+08   0.157537E+08   0.157527E+08   0.121461E+08   0.120983E+08   0.120981E+08   0.121039E+08  -0.570514E+00   0.104389E+08   0.104389E+08   0.989668E-01
   0.996866E-04   0.120978E+08   0.120978E+08   0.156607E+08   0.156596E+08   0.121418E+08   0.120980E+08   0.120978E+08   0.121035E+08  -0.570498E+00   0.104386E+08   0.104386E+08   0.110562E+00
   0.111402E-03   0.120975E+08   0.120975E+08   0.155454E+08   0.155440E+08   0.121365E+08   0.120977E+08   0.120975E+08   0.121031E+08  -0.570478E+00   0.104383E+08   0.104383E+08   0.123505E+00
   0.124493E-03   0.120971E+08   0.120971E+08   0.154025E+08   0.154008E+08   0.121298E+08   0.120972E+08   0.120971E+08   0.121026E+08  -0.570454E+00   0.104380E+08   0.104380E+08   0.137951E+00
   0.139124E-03   0.120965E+08   0.120965E+08   0.152258E+08   0.152236E+08   0.121215E+08   0.120967E+08   0.120965E+08   0.121020E+08  -0.570423E+00   0.104375E+08   0.104375E+08   0.154067E+00
   0.155474E-03   0.120959E+08   0.120959E+08   0.150078E+08   0.150051E+08   0.121113E+08   0.120960E+08   0.120959E+08   0.121012E+08  -0.570384E+00   0.104369E+08   0.104369E+08   0.172039E+00
   0.173745E-03   0.120951E+08   0.120951E+08   0.147396E+08   0.147364E+08   0.120986E+08   0.120951E+08   0.120951E+08   0.121002E+08  -0.570336E+00   0.104362E+08   0.104362E+08   0.192073E+00
   0.194163E-03   0.120940E+08   0.120940E+08   0.144111E+08   0.144071E+08   0.120828E+08   0.120940E+08   0.120940E+08   0.120990E+08  -0.570276E+00   0.104353E+08   0.104353E+08   0.214389E+00
   0.216981E-03   0.120928E+08   0.120928E+08   0.140105E+08   0.140057E+08   0.120634E+08   0.120926E+08   0.120928E+08   0.120975E+08  -0.570202E+00   0.104342E+08   0.104342E+08   0.239230E+00
   0.242480E-03   0.120912E+08   0.120912E+08   0.135249E+08   0.135192E+08   0.120395E+08   0.120909E+08   0.120912E+08   0.120957E+08  -0.570110E+00   0.104328E+08   0.104328E+08   0.266855E+00
   0.270976E-03   0.120892E+08   0.120892E+08   0.129409E+08   0.129342E+08   0.120102E+08   0.120888E+08   0.120892E+08   0.120934E+08  -0.569996E+00   0.104310E+08   0.104310E+08   0.297543E+00
   0.302821E-03   0.120868E+08   0.120867E+08   0.122452E+08   0.122375E+08   0.119744E+08   0.120862E+08   0.120868E+08   0.120905E+08  -0.569855E+00   0.104289E+08   0.104289E+08   0.331587E+00
   0.338408E-03   0.120837E+08   0.120837E+08   0.114263E+08   0.114177E+08   0.119310E+08   0.120830E+08   0.120837E+08   0.120870E+08  -0.569682E+00   0.104262E+08   0.104262E+08   0.369294E+00
   0.378178E-03   0.120800E+08   0.120799E+08   0.104774E+08   0.104679E+08   0.118787E+08   0.120790E+08   0.120800E+08   0.120827E+08  -0.569468E+00   0.104228E+08   0.104228E+08   0.410980E+00
   0.422621E-03   0.120753E+08   0.120753E+08   0.939917E+07   0.938909E+07   0.118160E+08   0.120741E+08   0.120753E+08   0.120774E+08  -0.569207E+00   0.104187E+08   0.104187E+08   0.456963E+00
   0.472287E-03   0.120696E+08   0.120696E+08   0.820438E+07   0.819426E+07   0.117418E+08   0.120681E+08   0.120696E+08   0.120709E+08  -0.568888E+00   0.104137E+08   0.104137E+08   0.507561E+00
   0.527790E-03   0.120626E+08   0.120625E+08   0.692285E+07   0.691345E+07   0.116549E+08   0.120607E+08   0.120625E+08   0.120631E+08  -0.568500E+00   0.104074E+08   0.104074E+08   0.563089E+00
   0.589815E-03   0.120539E+08   0.120539E+08   0.560537E+07   0.559763E+07   0.115545E+08   0.120516E+08   0.120539E+08   0.120536E+08  -0.568032E+00   0.103998E+08   0.103998E+08   0.623853E+00
   0.659130E-03   0.120434E+08   0.120434E+08   0.432475E+07   0.431965E+07   0.114401E+08   0.120406E+08   0.120434E+08   0.120421E+08  -0.567470E+00   0.103904E+08   0.103904E+08   0.690159E+00
   0.736590E-03   0.120306E+08   0.120306E+08   0.317029E+07   0.316858E+07   0.113119E+08   0.120273E+08   0.120306E+08   0.120284E+08  -0.566798E+00   0.103791E+08   0.103791E+08   0.762331E+00
   0.823153E-03   0.120152E+08   0.120151E+08   0.223201E+07   0.223375E+07   0.111707E+08   0.120113E+08   0.120152E+08   0.120121E+08  -0.566001E+00   0.103654E+08   0.103654E+08   0.840730E+00
   0.919889E-03   0.119967E+08   0.119966E+08   0.157318E+07   0.157730E+07   0.110175E+08   0.119921E+08   0.119966E+08   0.119927E+08  -0.565060E+00   0.103489E+08   0.103489E+08   0.925798E+00
   0.102799E-02   0.119745E+08   0.119744E+08   0.119709E+07   0.120142E+07   0.108523E+08   0.119693E+08   0.119745E+08   0.119697E+08  -0.563953E+00   0.103293E+08   0.103293E+08   0.101809E+01
   0.114880E-02   0.119481E+08   0.119480E+08   0.102662E+07   0.102863E+07   0.106750E+08   0.119422E+08   0.119481E+08   0.119426E+08  -0.562656E+00   0.103059E+08   0.103059E+08   0.111827E+01
   0.128381E-02   0.119170E+08   0.119168E+08   0.924708E+06   0.923260E+06   0.104840E+08   0.119103E+08   0.119169E+08   0.119107E+08  -0.561136E+00   0.102784E+08   0.102784E+08   0.122715E+01
   0.143468E-02   0.118803E+08   0.118800E+08   0.771312E+06   0.768216E+06   0.102772E+08   0.118729E+08   0.118803E+08   0.118731E+08  -0.559360E+00   0.102461E+08   0.102461E+08   0.134556E+01
