# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 26808.1 6 26808.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 22418.3 12 22418.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 18478.1 8 18478.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 14972.4 6 14972.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 13234.7 24 13234.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 12519.7 24 12519.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 11533.1 12 11533.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 11745.6 30 11745.6
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 10014.2 24 10014.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 10422 24 10422
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 10439.7 8 10439.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 7905.16 24 7905.16
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 7848.18 48 7848.18
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 10139.2 6 10139.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 6756.05 48 6756.05
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 5745.66 36 5745.66
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 6808.26 24 6808.26
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 8652.41 24 8652.41
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 5683 48 5683
0 0 0 0
0 0 0 0
0.0982358 5815.78 24 5815.78
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 6199.79 24 6199.79
0 0 0 0
0 0 0 0
0.10472 5293.71 30 5293.71
0 0 0 0
0 0 0 0
0.106794 4839.71 72 4839.71
0 0 0 0
0 0 0 0
0.108828 4424.67 32 4424.67
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 4821.01 72 4821.01
0 0 0 0
0 0 0 0
0.114715 5259.77 48 5259.77
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 5266.18 12 5266.18
0 0 0 0
0.120314 5083.84 48 5083.84
0 0 0 0
0.122123 4498.23 48 4498.23
0 0 0 0
0.123906 4417.11 48 4417.11
0 0 0 0
0 0 0 0
0.125664 3549.5 30 3549.5
0 0 0 0
0.127397 3954.15 24 3954.15
0 0 0 0
0.129107 3685.59 72 3685.59
0 0 0 0
0 0 0 0
0.132461 2708.53 24 2708.53
0 0 0 0
0.134107 4279.05 96 4279.05
0 0 0 0
0.135732 4001.56 48 4001.56
0 0 0 0
0.137339 3575.16 24 3575.16
0 0 0 0
0.138926 3918.39 24 3918.39
0.140496 3256.99 72 3256.99
0 0 0 0
0.142049 3254.31 48 3254.31
0 0 0 0
0 0 0 0
0.145104 670.153 8 670.153
0 0 0 0
0.146608 3209.79 54 3209.79
0.148096 3065.38 84 3065.38
0 0 0 0
0.14957 3480.08 48 3480.08
0.151029 4204.96 24 4204.96
0 0 0 0
0.152474 3536.27 72 3536.27
0.153906 3335.58 96 3335.58
0 0 0 0
0 0 0 0
0.15673 2598.63 48 2598.63
0.158123 3260.6 48 3260.6
0.159504 3651.03 24 3651.03
0 0 0 0
0.160874 2427.38 72 2427.38
0 0 0 0
0.163577 3605.37 72 3605.37
0 0 0 0
0.164913 2438.97 96 2438.97
0 0 0 0
0.167552 2361.94 6 2361.94
0.168856 2314.85 96 2314.85
0.170149 3149.83 96 3149.83
0.171434 2782.26 24 2782.26
0.172708 2636.5 48 2636.5
0 0 0 0
0.173974 2693.63 96 2693.63
0.17523 3225.32 48 3225.32
0 0 0 0
0.177715 3449.89 36 3449.89
0.178945 2055.9 48 2055.9
0.180167 2438.68 120 2438.68
0.18138 2809.06 56 2809.06
0.182585 1426.01 24 1426.01
0.183782 1990.9 96 1990.9
0.184972 2789.62 48 2789.62
0 0 0 0
0.187328 2249.45 24 2249.45
0.188496 2483.52 102 2483.52
0.190347 1927.81 120 1927.81
0.191954 2398.74 48 2398.74
0.193094 1974.55 48 1974.55
0.194226 2477.76 120 2477.76
0 0 0 0
0.196472 2184.38 24 2184.38
0.197585 2286.75 144 2286.75
0.199006 2519.25 168 2519.25
0 0 0 0
0.201976 2343.37 48 2343.37
0.203059 1789.92 96 1789.92
0.205208 1733.36 24 1733.36
0.206274 2603.7 48 2603.7
0.207335 2025.53 108 2025.53
0.20839 2105.46 72 2105.46
0.210326 2272.53 198 2272.53
0.211524 3000.59 48 3000.59
0.213587 1957.5 72 1957.5
0.214612 1753.8 96 1753.8
0.215631 1988.71 72 1988.71
0.216957 2016.11 104 2016.11
0.218661 1554.71 72 1554.71
0.219662 2380.02 144 2380.02
0 0 0 0
0.223129 1689.52 192 1689.52
0.224599 1710.1 48 1710.1
0.22618 1887.43 192 1887.43
0.22751 2334.9 72 2334.9
0.229429 1963.41 48 1963.41
0.230383 2065 78 2065
0.231604 1873.65 168 1873.65
0.23416 1518.12 144 1518.12
0.235095 1739.67 144 1739.67
0.236954 2069.5 12 2069.5
0.238108 1973.58 192 1973.58
0.239975 1747.39 168 1747.39
0.241537 1508.73 48 1508.73
0.242444 1969.22 168 1969.22
0.244844 1596.27 144 1596.27
0.246417 1609.79 168 1609.79
0.248401 1642.06 144 1642.06
0.249576 1893.78 48 1893.78
0.251327 1435 30 1435
0.252777 1905.03 288 1905.03
0.254191 1633.3 80 1633.3
0.25601 1604.7 288 1604.7
0.258214 1974.62 72 1974.62
0.2594 1570.41 240 1570.41
0.26075 1042.93 96 1042.93
0.262904 1599.16 168 1599.16
0.265657 1723.61 216 1723.61
0.266722 1174.81 132 1174.81
0.268622 1389.47 192 1389.47
0.269844 1876.63 120 1876.63
0.271964 1586.02 126 1586.02
0.273543 1458.43 288 1458.43
0.275842 1483.53 312 1483.53
0.277853 1354.07 24 1354.07
0.279641 1624.76 264 1624.76
0.28148 1561.75 192 1561.75
0.282936 1619.16 192 1619.16
0.285198 1536.82 336 1536.82
0.286404 1269.43 48 1269.43
0.288084 1465.67 240 1465.67
0.291553 1402.21 296 1402.21
0.292736 1318.6 150 1318.6
0.294335 1336.77 240 1336.77
0.296659 1508.15 228 1508.15
0.298323 1323.51 216 1323.51
0.300394 1521.12 336 1521.12
0.302928 1232.31 360 1232.31
0.304588 1085.86 144 1085.86
0.305974 1118.4 168 1118.4
0.308578 1323.44 312 1323.44
0.310884 1314.52 288 1314.52
0.312408 1381.72 192 1381.72
0.314799 1387.72 366 1387.72
0.317265 1399.82 408 1399.82
0.319597 1294.54 168 1294.54
0.320771 1145.1 336 1145.1
0.3227 1202.12 240 1202.12
0.32574 1204.2 380 1204.2
0.32795 1366.43 384 1366.43
0.330224 1235.14 240 1235.14
0.331726 1117.19 360 1117.19
0.333831 1101.5 198 1101.5
0.336246 1283.94 384 1283.94
0.338319 1235.28 384 1235.28
0.341157 1303.61 432 1303.61
0.343593 1142.3 528 1142.3
0.346262 1189.45 288 1189.45
0.347842 1100.51 288 1100.51
0.350326 1169.42 456 1169.42
0.352828 1088.01 360 1088.01
0.354442 1219.23 180 1219.23
0.356776 1046.49 486 1046.49
0.359142 1145.05 504 1145.05
0.361681 1012.75 512 1012.75
0.363857 1017.37 264 1017.37
0.366441 1083.68 600 1083.68
0.368657 1048.87 288 1048.87
0.371486 1002.98 672 1002.98
0.374587 993.398 408 993.398
0.376839 1028.88 462 1028.88
0.379079 959.806 600 959.806
0.38178 870.098 504 870.098
0.384712 1033.89 324 1033.89
0.386663 1012.51 744 1012.51
0.389313 1061.8 456 1061.8
0.39167 1008.36 432 1008.36
0.394428 1029.79 720 1029.79
0.397811 1025.11 534 1025.11
0.400019 1012.11 536 1012.11
0.402781 973.043 624 973.043
0.405015 981.075 600 981.075
0.40766 948.938 696 948.938
0.410865 914.675 456 914.675
0.413244 909.544 732 909.544
0.416084 953.631 600 953.631
0.418986 964.494 702 964.494
0.421544 964.41 672 964.41
0.424534 928.324 768 928.324
0.42751 920.019 768 920.019
0.430034 904.526 408 904.526
0.432751 907.353 1080 907.353
0.436344 848.122 632 848.122
0.438896 885.172 750 885.172
0.44171 822.755 696 822.755
0.444585 847.722 876 847.722
0.447784 864.07 864 864.07
0.45034 809.005 768 809.005
0.453413 824.856 888 824.856
0.456575 853.207 816 853.207
0.459787 823.314 654 823.314
0.462622 812.902 1296 812.902
0.465862 841.183 816 841.183
0.468802 825.963 816 825.963
0.471915 875.873 1088 875.873
0.475472 755.177 1020 755.177
0.478779 817.967 1032 817.967
0.481919 871.367 942 871.367
0.484939 794.811 1032 794.811
0.488502 747.224 1128 747.224
0.491034 764.074 888 764.074
0.494348 763.673 1176 763.673
0.497688 748.843 960 748.843
0.500527 755.688 1110 755.688
0.504331 737.185 1116 737.185
0.507364 770.376 1352 770.376
0.510774 825.038 1200 825.038
0.514275 677.969 1224 677.969
0.517978 744.571 1320 744.571
0.521294 739.263 1128 739.263
0.524822 809.447 1518 809.447
0.527973 743.629 1080 743.629
0.531698 746.97 1524 746.97
0.535226 722.029 1416 722.029
0.539103 676.26 1704 676.26
0.543 668.394 1088 668.394
0.546011 672.977 1446 672.977
0.549827 701.371 1800 701.371
0.55369 701.202 1512 701.202
0.557166 720.748 1392 720.748
0.560475 671.915 1392 671.915
0.564609 623.381 1962 623.381
0.56859 645.38 1776 645.38
0.572441 619.334 1680 619.334
0.5763 661.856 1776 661.856
0.580121 650.173 1544 650.173
0.583625 685.34 1896 685.34
0.587525 635.363 1662 635.363
0.591428 654.448 1908 654.448
0.595301 638.84 2184 638.84
0.599624 628.965 1848 628.965
0.603294 657.247 1848 657.247
0.60771 621.241 2238 621.241
0.611568 650.386 2088 650.386
0.615779 622.614 2192 622.614
0.619303 617.989 1536 617.989
0.623194 646.195 2412 646.195
0.627636 643.176 2262 643.176
0.631826 597.054 2448 597.054
0.635971 599.177 2040 599.177
0.64039 622.293 2976 622.293
0.644956 582.163 2184 582.163
0.649302 596.244 2550 596.244
0.653461 608.788 2396 608.788
0.657644 591.467 2760 591.467
0.662026 590.055 2424 590.055
0.666685 586.747 2832 586.747
0.670916 553.693 2574 553.693
0.675462 589.141 3024 589.141
0.679703 573.845 2484 573.845
0.684292 571.094 3168 571.094
0.688927 561.235 2894 561.235
0.693468 538.95 2856 538.95
0.698026 566.931 3384 566.931
0.702952 560.533 3240 560.533
0.707372 565.72 2856 565.72
0.712317 532.749 3474 532.749
0.716936 540.623 3432 540.623
0.721869 529.962 3552 529.962
0.726964 543.369 3560 543.369
0.73163 563.096 3270 563.096
0.736224 548.06 3552 548.06
0.74119 550.059 3780 550.059
0.746118 528.693 3960 528.693
0.751313 530.189 3696 530.189
0.756133 507.483 3726 507.483
0.761156 509.659 4376 509.659
0.766095 516.815 3648 516.815
0.771205 515.608 4332 515.608
0.776456 504.871 4254 504.871
0.781432 510.46 4296 510.46
0.786733 521.974 4320 521.974
0.791574 507.331 4368 507.331
0.797255 501.916 4826 501.916
0.802676 477.167 5016 477.167
0.808005 492.311 4608 492.311
0.813482 477.321 4824 477.321
0.818759 490.905 4950 490.905
0.824173 474.872 5232 474.872
0.829708 473.778 4980 473.778
0.834919 469.195 4838 469.195
0.840568 468.508 6024 468.508
0.846479 456.157 5520 456.157
