# in Mpc/h Units 
# (k P_nu(k))
# a= 0.324434
# nk = 757
0.020944 196.735
0.0296192 76.6964
0.036276 39.1365
0.0418879 23.044
0.0468321 15.4277
0.051302 11.2883
0.0592384 6.94317
0.0628319 5.66341
0.0662306 4.50312
0.0694632 3.8296
0.072552 3.33113
0.0755145 2.51993
0.0783651 2.16488
0.0837758 1.86747
0.0863541 1.37922
0.0888577 1.16383
0.0912926 1.08794
0.0936642 1.05914
0.0959772 0.824775
0.0982358 0.736104
0.102604 0.657363
0.10472 0.545528
0.106794 0.489526
0.108828 0.429915
0.112787 0.411448
0.114715 0.373762
0.118477 0.343647
0.120314 0.328647
0.122123 0.296319
0.123906 0.266473
0.125664 0.232248
0.127397 0.232592
0.129107 0.206464
0.132461 0.155327
0.134107 0.186512
0.135732 0.174206
0.137339 0.162624
0.138926 0.16765
0.140496 0.135527
0.142049 0.127293
0.145104 0.0670082
0.146608 0.111307
0.148096 0.107754
0.14957 0.103085
0.151029 0.101734
0.152474 0.0989049
0.153906 0.0897247
0.15673 0.0786592
0.158123 0.0764254
0.159504 0.0728333
0.160874 0.0665535
0.163577 0.0721542
0.164913 0.0588002
0.167552 0.0547156
0.168856 0.0510806
0.170149 0.0552396
0.171434 0.0515234
0.172708 0.0486719
0.173974 0.0429007
0.17523 0.0455703
0.177715 0.0512787
0.178945 0.0348306
0.180167 0.040478
0.18138 0.0423153
0.182585 0.0330774
0.183782 0.0351472
0.184972 0.0359959
0.187328 0.0303164
0.188496 0.0358929
0.190347 0.0284729
0.191954 0.032183
0.193094 0.0260102
0.194226 0.0274463
0.196472 0.0265878
0.197585 0.0270772
0.199006 0.0275109
0.201976 0.025458
0.203059 0.0202111
0.205208 0.0198935
0.206274 0.0216219
0.207335 0.0188014
0.20839 0.0208839
0.210326 0.0190716
0.211524 0.0207787
0.213587 0.0147486
0.214612 0.0151833
0.215631 0.0159472
0.216957 0.0151527
0.218661 0.0136791
0.219662 0.0158838
0.223129 0.0122894
0.224599 0.0115781
0.22618 0.0130511
0.22751 0.0139017
0.229429 0.010505
0.230383 0.0118319
0.231604 0.0113336
0.23416 0.00982302
0.235095 0.00936565
0.236954 0.010789
0.238108 0.0099691
0.239975 0.00951819
0.241537 0.00823701
0.242444 0.00823391
0.244844 0.00767803
0.246417 0.00725616
0.248401 0.00776215
0.249576 0.00657903
0.251327 0.00602971
0.252777 0.00698338
0.254191 0.00707306
0.25601 0.00687068
0.258214 0.00570405
0.2594 0.00571053
0.26075 0.00438283
0.262904 0.0053617
0.265657 0.00533999
0.266722 0.00445145
0.268622 0.00457115
0.269844 0.00532304
0.271964 0.00471699
0.273543 0.00455517
0.275842 0.00397263
0.277853 0.00525628
0.279641 0.0041553
0.28148 0.00443351
0.282936 0.00360421
0.285198 0.00401131
0.286404 0.0034545
0.288084 0.00347823
0.291553 0.00311249
0.292736 0.00347375
0.294335 0.00313476
0.296659 0.00277904
0.298323 0.00257599
0.300394 0.00277714
0.302928 0.00251491
0.304588 0.00255085
0.305974 0.0027311
0.308578 0.00239042
0.310884 0.00218349
0.312408 0.00201606
0.314799 0.00206855
0.317265 0.00222581
0.319597 0.00186554
0.320771 0.00179283
0.3227 0.00186579
0.32574 0.00182682
0.32795 0.00172112
0.330224 0.0017423
0.331726 0.00158739
0.333831 0.00156895
0.336246 0.00147244
0.338319 0.00150914
0.341157 0.00144204
0.343593 0.00119595
0.346262 0.0011728
0.347842 0.00110408
0.350326 0.0012594
0.352828 0.00100244
0.354442 0.00103554
0.356776 0.00106856
0.359142 0.00102483
0.361681 0.000980129
0.363857 0.000961527
0.366441 0.000857061
0.368657 0.000906192
0.371486 0.000949056
0.374587 0.000756908
0.376839 0.000810596
0.379079 0.000809421
0.38178 0.000683573
0.384712 0.00066469
0.386663 0.000615617
0.389313 0.00064683
0.39167 0.000655975
0.394428 0.000634846
0.397811 0.000567371
0.400019 0.000668743
0.402781 0.000589438
0.405015 0.000570982
0.40766 0.000582533
0.410865 0.000491816
0.413244 0.000510026
0.416084 0.000459587
0.418986 0.000462124
0.421544 0.00043307
0.424534 0.000427367
0.42751 0.00036083
0.430034 0.000439538
0.432751 0.000398638
0.436344 0.000351862
0.438896 0.000382733
0.44171 0.000338214
0.444585 0.000317286
0.447784 0.000295719
0.45034 0.000288708
0.453413 0.000277021
0.456575 0.000251564
0.459787 0.000263006
0.462622 0.000251846
0.465862 0.00025277
0.468802 0.00023568
0.471915 0.000226658
0.475472 0.000216754
0.478779 0.000225995
0.481919 0.000214969
0.484939 0.000197006
0.488502 0.000193428
0.491034 0.000186667
0.494348 0.000167545
0.497688 0.000165381
0.500527 0.000177043
0.504331 0.000165263
0.507364 0.000159436
0.510774 0.000147124
0.514275 0.000142379
0.517978 0.00013607
0.521294 0.000130849
0.524822 0.000121244
0.527973 0.000120793
0.531698 0.000118552
0.535226 0.000113204
0.539103 0.000110739
0.543 0.000107702
0.546011 0.00010087
0.549827 9.56147e-05
0.55369 9.72049e-05
0.557166 9.11252e-05
0.560475 9.35627e-05
0.564609 8.75873e-05
0.56859 8.50477e-05
0.572441 8.09836e-05
0.5763 7.57178e-05
0.580121 7.52074e-05
0.583625 7.34916e-05
0.587525 6.72016e-05
0.591428 6.55806e-05
0.595301 6.31823e-05
0.599624 6.39452e-05
0.603294 6.18234e-05
0.60771 5.55144e-05
0.611568 5.75111e-05
0.615779 5.52243e-05
0.619303 5.26718e-05
0.623194 4.87592e-05
0.627636 4.85268e-05
0.631826 4.60044e-05
0.635971 4.30393e-05
0.64039 4.57808e-05
0.644956 4.3003e-05
0.649302 4.16816e-05
0.653461 4.00688e-05
0.657644 3.74859e-05
0.662026 3.63242e-05
0.666685 3.43519e-05
0.670916 3.31276e-05
0.675462 3.17993e-05
0.679703 3.26079e-05
0.684292 3.07641e-05
0.688927 2.98312e-05
0.693468 2.82366e-05
0.698026 2.62008e-05
0.702952 2.63404e-05
0.707372 2.45482e-05
0.712317 2.44823e-05
0.716936 2.26778e-05
0.721869 2.32122e-05
0.726964 2.14762e-05
0.73163 1.99653e-05
0.736224 1.96517e-05
0.74119 1.97963e-05
0.746118 1.86347e-05
0.751313 1.76458e-05
0.756133 1.79449e-05
0.761156 1.70627e-05
0.766095 1.64971e-05
0.771205 1.54604e-05
0.776456 1.56159e-05
0.781432 1.4137e-05
0.786733 1.35956e-05
0.791574 1.38421e-05
0.797255 1.3026e-05
0.802676 1.24469e-05
0.808005 1.23541e-05
0.813482 1.17573e-05
0.818759 1.17121e-05
0.824173 1.08337e-05
0.829708 1.06336e-05
0.834919 1.02001e-05
0.840568 9.58612e-06
0.846479 9.94442e-06
0.851948 9.19895e-06
0.857592 8.65188e-06
0.863369 8.56753e-06
0.869182 8.22671e-06
0.874831 7.94474e-06
0.880682 7.85462e-06
0.886294 7.28818e-06
0.892352 7.19775e-06
0.898399 6.87032e-06
0.904229 6.59672e-06
0.910231 6.43084e-06
0.916513 6.0674e-06
0.922651 5.85011e-06
0.92895 5.70336e-06
0.935092 5.58045e-06
0.940995 5.3643e-06
0.947406 5.18535e-06
0.953652 4.95461e-06
0.960017 4.71457e-06
0.966595 4.66366e-06
0.972908 4.52691e-06
0.979222 4.19919e-06
0.985855 4.17923e-06
0.992666 4.18439e-06
0.998881 3.9583e-06
1.00551 3.72019e-06
1.01216 3.60876e-06
1.01908 3.50141e-06
1.02599 3.35807e-06
1.03271 3.1951e-06
1.03948 3.12421e-06
1.04641 3.01303e-06
1.05346 2.9665e-06
1.06036 2.80556e-06
1.0676 2.7401e-06
1.07471 2.64169e-06
1.08175 2.4892e-06
1.08895 2.45545e-06
1.09637 2.36206e-06
1.10369 2.24529e-06
1.11092 2.19308e-06
1.1181 2.1133e-06
1.12573 2.06165e-06
1.1332 1.98422e-06
1.14081 1.92961e-06
1.14829 1.82206e-06
1.15605 1.76624e-06
1.16374 1.70266e-06
1.1717 1.65143e-06
1.17935 1.58188e-06
1.18713 1.53643e-06
1.195 1.46895e-06
1.20281 1.43493e-06
1.21088 1.35478e-06
1.21904 1.3257e-06
1.22715 1.28505e-06
1.23533 1.24221e-06
