#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.196461E+08   0.196461E+08   0.255021E+08   0.255011E+08   0.196654E+08   0.196462E+08   0.196461E+08   0.196507E+08  -0.463058E+00   0.984578E+07   0.984578E+07   0.409606E-01
   0.798228E-04   0.196458E+08   0.196458E+08   0.253319E+08   0.253306E+08   0.196613E+08   0.196459E+08   0.196458E+08   0.196503E+08  -0.463049E+00   0.984562E+07   0.984562E+07   0.457599E-01
   0.892035E-04   0.196454E+08   0.196454E+08   0.251209E+08   0.251193E+08   0.196563E+08   0.196455E+08   0.196454E+08   0.196499E+08  -0.463037E+00   0.984542E+07   0.984542E+07   0.511176E-01
   0.996866E-04   0.196450E+08   0.196449E+08   0.248595E+08   0.248576E+08   0.196500E+08   0.196450E+08   0.196450E+08   0.196493E+08  -0.463023E+00   0.984516E+07   0.984516E+07   0.570972E-01
   0.111402E-03   0.196443E+08   0.196443E+08   0.245366E+08   0.245342E+08   0.196422E+08   0.196443E+08   0.196443E+08   0.196486E+08  -0.463005E+00   0.984485E+07   0.984485E+07   0.637687E-01
   0.124493E-03   0.196436E+08   0.196436E+08   0.241387E+08   0.241358E+08   0.196324E+08   0.196435E+08   0.196436E+08   0.196478E+08  -0.462983E+00   0.984445E+07   0.984445E+07   0.712092E-01
   0.139124E-03   0.196426E+08   0.196426E+08   0.236501E+08   0.236465E+08   0.196204E+08   0.196425E+08   0.196426E+08   0.196467E+08  -0.462956E+00   0.984396E+07   0.984396E+07   0.795034E-01
   0.155474E-03   0.196415E+08   0.196415E+08   0.230525E+08   0.230482E+08   0.196055E+08   0.196413E+08   0.196415E+08   0.196454E+08  -0.462921E+00   0.984335E+07   0.984335E+07   0.887437E-01
   0.173745E-03   0.196400E+08   0.196400E+08   0.223256E+08   0.223205E+08   0.195871E+08   0.196398E+08   0.196400E+08   0.196437E+08  -0.462879E+00   0.984259E+07   0.984259E+07   0.990305E-01
   0.194163E-03   0.196382E+08   0.196382E+08   0.214473E+08   0.214412E+08   0.195644E+08   0.196379E+08   0.196382E+08   0.196416E+08  -0.462826E+00   0.984165E+07   0.984165E+07   0.110472E+00
   0.216981E-03   0.196359E+08   0.196359E+08   0.203949E+08   0.203878E+08   0.195366E+08   0.196355E+08   0.196359E+08   0.196391E+08  -0.462761E+00   0.984047E+07   0.984047E+07   0.123185E+00
   0.242480E-03   0.196331E+08   0.196331E+08   0.191472E+08   0.191390E+08   0.195025E+08   0.196325E+08   0.196331E+08   0.196359E+08  -0.462680E+00   0.983901E+07   0.983901E+07   0.137291E+00
   0.270976E-03   0.196297E+08   0.196296E+08   0.176877E+08   0.176786E+08   0.194611E+08   0.196289E+08   0.196297E+08   0.196320E+08  -0.462581E+00   0.983720E+07   0.983720E+07   0.152920E+00
   0.302821E-03   0.196253E+08   0.196253E+08   0.160095E+08   0.159997E+08   0.194110E+08   0.196244E+08   0.196253E+08   0.196272E+08  -0.462459E+00   0.983496E+07   0.983495E+07   0.170205E+00
   0.338408E-03   0.196200E+08   0.196200E+08   0.141215E+08   0.141113E+08   0.193508E+08   0.196188E+08   0.196200E+08   0.196213E+08  -0.462310E+00   0.983218E+07   0.983218E+07   0.189282E+00
   0.378178E-03   0.196134E+08   0.196134E+08   0.120563E+08   0.120464E+08   0.192794E+08   0.196119E+08   0.196134E+08   0.196140E+08  -0.462127E+00   0.982876E+07   0.982876E+07   0.210287E+00
   0.422621E-03   0.196054E+08   0.196053E+08   0.987826E+07   0.986950E+07   0.191951E+08   0.196035E+08   0.196054E+08   0.196052E+08  -0.461906E+00   0.982456E+07   0.982456E+07   0.233352E+00
   0.472287E-03   0.195954E+08   0.195954E+08   0.768865E+07   0.768200E+07   0.190970E+08   0.195932E+08   0.195954E+08   0.195945E+08  -0.461638E+00   0.981940E+07   0.981940E+07   0.258624E+00
   0.527790E-03   0.195833E+08   0.195833E+08   0.562367E+07   0.562006E+07   0.189843E+08   0.195806E+08   0.195833E+08   0.195816E+08  -0.461317E+00   0.981311E+07   0.981311E+07   0.286236E+00
   0.589815E-03   0.195686E+08   0.195685E+08   0.383881E+07   0.383872E+07   0.188565E+08   0.195653E+08   0.195686E+08   0.195660E+08  -0.460933E+00   0.980546E+07   0.980546E+07   0.316335E+00
   0.659130E-03   0.195507E+08   0.195506E+08   0.247409E+07   0.247712E+07   0.187134E+08   0.195469E+08   0.195507E+08   0.195473E+08  -0.460475E+00   0.979620E+07   0.979620E+07   0.349089E+00
   0.736590E-03   0.195291E+08   0.195291E+08   0.160177E+07   0.160632E+07   0.185551E+08   0.195247E+08   0.195291E+08   0.195250E+08  -0.459933E+00   0.978507E+07   0.978507E+07   0.384695E+00
   0.823153E-03   0.195033E+08   0.195032E+08   0.117439E+07   0.117796E+07   0.183811E+08   0.194981E+08   0.195033E+08   0.194983E+08  -0.459293E+00   0.977174E+07   0.977174E+07   0.423396E+00
   0.919889E-03   0.194724E+08   0.194723E+08   0.101258E+07   0.101301E+07   0.181906E+08   0.194665E+08   0.194724E+08   0.194667E+08  -0.458537E+00   0.975587E+07   0.975587E+07   0.465481E+00
   0.102799E-02   0.194357E+08   0.194355E+08   0.878142E+06   0.875539E+06   0.179805E+08   0.194290E+08   0.194357E+08   0.194291E+08  -0.457645E+00   0.973706E+07   0.973706E+07   0.511279E+00
   0.114880E-02   0.193922E+08   0.193920E+08   0.628819E+06   0.626207E+06   0.177486E+08   0.193847E+08   0.193922E+08   0.193848E+08  -0.456595E+00   0.971486E+07   0.971486E+07   0.561135E+00
   0.128381E-02   0.193410E+08   0.193408E+08   0.335741E+06   0.336266E+06   0.174932E+08   0.193325E+08   0.193409E+08   0.193325E+08  -0.455361E+00   0.968876E+07   0.968876E+07   0.615396E+00
   0.143468E-02   0.192808E+08   0.192806E+08   0.180645E+06   0.182976E+06   0.172138E+08   0.192713E+08   0.192808E+08   0.192714E+08  -0.453916E+00   0.965819E+07   0.965819E+07   0.674417E+00
   0.160328E-02   0.192105E+08   0.192102E+08   0.173204E+06   0.172924E+06   0.169102E+08   0.191999E+08   0.192105E+08   0.192000E+08  -0.452231E+00   0.962250E+07   0.962250E+07   0.738592E+00
   0.179170E-02   0.191287E+08   0.191283E+08   0.127209E+06   0.125485E+06   0.165794E+08   0.191169E+08   0.191286E+08   0.191170E+08  -0.450273E+00   0.958102E+07   0.958101E+07   0.808361E+00
   0.200226E-02   0.190338E+08   0.190333E+08   0.369035E+05   0.381225E+05   0.162179E+08   0.190208E+08   0.190337E+08   0.190209E+08  -0.448008E+00   0.953300E+07   0.953299E+07   0.884184E+00
   0.223756E-02   0.189244E+08   0.189238E+08   0.389116E+05   0.386641E+05   0.158249E+08   0.189101E+08   0.189243E+08   0.189101E+08  -0.445397E+00   0.947764E+07   0.947764E+07   0.966542E+00
   0.250052E-02   0.187987E+08   0.187979E+08   0.191883E+05   0.171603E+05   0.154022E+08   0.187830E+08   0.187985E+08   0.187830E+08  -0.442402E+00   0.941413E+07   0.941412E+07   0.105596E+01
   0.279438E-02   0.186550E+08   0.186541E+08   0.322982E+04   0.478616E+03   0.149508E+08   0.186379E+08   0.186548E+08   0.186379E+08  -0.438983E+00   0.934160E+07   0.934160E+07   0.115298E+01
   0.312277E-02   0.184916E+08   0.184904E+08   0.401963E+04  -0.887840E+03   0.144719E+08   0.184730E+08   0.184914E+08   0.184730E+08  -0.435098E+00   0.925918E+07   0.925917E+07   0.125819E+01
   0.348976E-02   0.183066E+08   0.183052E+08  -0.597373E+04  -0.532874E+04   0.139645E+08   0.182865E+08   0.183064E+08   0.182865E+08  -0.430705E+00   0.916596E+07   0.916595E+07   0.137216E+01
   0.389987E-02   0.180983E+08   0.180965E+08  -0.111950E+05  -0.113876E+05   0.134265E+08   0.180766E+08   0.180980E+08   0.180766E+08  -0.425761E+00   0.906102E+07   0.906100E+07   0.149550E+01
   0.435818E-02   0.178647E+08   0.178625E+08  -0.635186E+04  -0.716592E+04   0.128566E+08   0.178414E+08   0.178644E+08   0.178414E+08  -0.420221E+00   0.894342E+07   0.894340E+07   0.162879E+01
   0.440687E-02   0.178399E+08   0.178376E+08  -0.787532E+04  -0.835402E+04   0.127980E+08   0.178165E+08   0.178395E+08   0.178165E+08  -0.419632E+00   0.893093E+07   0.893091E+07   0.164269E+01
   0.445611E-02   0.178148E+08   0.178125E+08  -0.942987E+04  -0.954278E+04   0.127391E+08   0.177912E+08   0.178144E+08   0.177912E+08  -0.419038E+00   0.891830E+07   0.891828E+07   0.165669E+01
   0.450590E-02   0.177895E+08   0.177871E+08  -0.106669E+05  -0.104591E+05   0.126799E+08   0.177657E+08   0.177891E+08   0.177657E+08  -0.418436E+00   0.890553E+07   0.890551E+07   0.167080E+01
   0.455624E-02   0.177638E+08   0.177614E+08  -0.263498E+05  -0.263582E+05   0.126205E+08   0.177399E+08   0.177634E+08   0.177399E+08  -0.417828E+00   0.889263E+07   0.889261E+07   0.168502E+01
   0.460715E-02   0.177379E+08   0.177354E+08  -0.257335E+05  -0.257417E+05   0.125607E+08   0.177138E+08   0.177375E+08   0.177138E+08  -0.417214E+00   0.887958E+07   0.887956E+07   0.169934E+01
   0.465863E-02   0.177117E+08   0.177092E+08  -0.251311E+05  -0.251391E+05   0.125007E+08   0.176874E+08   0.177113E+08   0.176874E+08  -0.416593E+00   0.886640E+07   0.886637E+07   0.171377E+01
   0.471068E-02   0.176852E+08   0.176826E+08  -0.245424E+05  -0.245502E+05   0.124404E+08   0.176608E+08   0.176848E+08   0.176608E+08  -0.415965E+00   0.885307E+07   0.885304E+07   0.172831E+01
   0.476331E-02   0.176584E+08   0.176558E+08  -0.239670E+05  -0.239746E+05   0.123797E+08   0.176338E+08   0.176580E+08   0.176338E+08  -0.415330E+00   0.883960E+07   0.883957E+07   0.174295E+01
   0.481653E-02   0.176314E+08   0.176287E+08  -0.234047E+05  -0.234121E+05   0.123188E+08   0.176066E+08   0.176309E+08   0.176066E+08  -0.414689E+00   0.882598E+07   0.882596E+07   0.175771E+01
   0.487035E-02   0.176040E+08   0.176013E+08  -0.228551E+05  -0.228624E+05   0.122576E+08   0.175791E+08   0.176036E+08   0.175791E+08  -0.414041E+00   0.881222E+07   0.881220E+07   0.177257E+01
   0.492476E-02   0.175764E+08   0.175736E+08  -0.223181E+05  -0.223252E+05   0.121960E+08   0.175513E+08   0.175759E+08   0.175513E+08  -0.413386E+00   0.879832E+07   0.879829E+07   0.178754E+01
   0.497979E-02   0.175484E+08   0.175456E+08  -0.217932E+05  -0.218002E+05   0.121342E+08   0.175232E+08   0.175480E+08   0.175232E+08  -0.412724E+00   0.878427E+07   0.878424E+07   0.180262E+01
   0.503543E-02   0.175202E+08   0.175173E+08  -0.212803E+05  -0.212871E+05   0.120720E+08   0.174948E+08   0.175197E+08   0.174948E+08  -0.412056E+00   0.877007E+07   0.877004E+07   0.181782E+01
   0.509169E-02   0.174917E+08   0.174887E+08  -0.207790E+05  -0.207857E+05   0.120095E+08   0.174661E+08   0.174912E+08   0.174661E+08  -0.411380E+00   0.875572E+07   0.875569E+07   0.183312E+01
   0.514858E-02   0.174629E+08   0.174598E+08  -0.202892E+05  -0.202957E+05   0.119467E+08   0.174371E+08   0.174624E+08   0.174371E+08  -0.410697E+00   0.874123E+07   0.874120E+07   0.184853E+01
   0.520610E-02   0.174338E+08   0.174306E+08  -0.198105E+05  -0.198168E+05   0.118837E+08   0.174078E+08   0.174332E+08   0.174078E+08  -0.410008E+00   0.872658E+07   0.872655E+07   0.186406E+01
   0.526427E-02   0.174043E+08   0.174012E+08  -0.193427E+05  -0.193489E+05   0.118203E+08   0.173783E+08   0.174038E+08   0.173783E+08  -0.409311E+00   0.871178E+07   0.871175E+07   0.187969E+01
   0.532309E-02   0.173746E+08   0.173714E+08  -0.188856E+05  -0.188916E+05   0.117566E+08   0.173484E+08   0.173741E+08   0.173484E+08  -0.408607E+00   0.869683E+07   0.869680E+07   0.189544E+01
   0.538256E-02   0.173446E+08   0.173413E+08  -0.184389E+05  -0.184448E+05   0.116927E+08   0.173182E+08   0.173440E+08   0.173182E+08  -0.407895E+00   0.868173E+07   0.868170E+07   0.191130E+01
   0.544270E-02   0.173142E+08   0.173109E+08  -0.180024E+05  -0.180082E+05   0.116285E+08   0.172877E+08   0.173137E+08   0.172877E+08  -0.407177E+00   0.866647E+07   0.866644E+07   0.192728E+01
   0.550352E-02   0.172836E+08   0.172801E+08  -0.175759E+05  -0.175815E+05   0.115641E+08   0.172569E+08   0.172830E+08   0.172568E+08  -0.406451E+00   0.865105E+07   0.865102E+07   0.194336E+01
   0.556501E-02   0.172526E+08   0.172491E+08  -0.171591E+05  -0.171646E+05   0.114994E+08   0.172257E+08   0.172521E+08   0.172257E+08  -0.405718E+00   0.863548E+07   0.863545E+07   0.195956E+01
