# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 26796.3 6 26796.3
0.0296192 22398.5 12 22398.5
0.036276 18460.1 8 18460.1
0.0418879 14946.7 6 14946.7
0.0468321 13217.7 24 13217.7
0.051302 12505.7 24 12505.7
0.0592384 11515.9 12 11515.9
0.0628319 11734.1 30 11734.1
0.0662306 10000.8 24 10000.8
0.0694632 10405.9 24 10405.9
0.072552 10427 8 10427
0.0755145 7893.94 24 7893.94
0.0783651 7837.48 48 7837.48
0.0837758 10125.1 6 10125.1
0.0863541 6745.4 48 6745.4
0.0888577 5738.59 36 5738.59
0.0912926 6799.9 24 6799.9
0.0936642 8640.68 24 8640.68
0.0959772 5676.87 48 5676.87
0.0982358 5807.56 24 5807.56
0.102604 6192.33 24 6192.33
0.10472 5285.97 30 5285.97
0.106794 4832.38 72 4832.38
0.108828 4419.81 32 4419.81
0.112787 4811.9 72 4811.9
0.114715 5248.42 48 5248.42
0.118477 5253.73 12 5253.73
0.120314 5077.31 48 5077.31
0.122123 4491.31 48 4491.31
0.123906 4409.9 48 4409.9
0.125664 3543.81 30 3543.81
0.127397 3949.5 24 3949.5
0.129107 3679.23 72 3679.23
0.132461 2702.03 24 2702.03
0.134107 4273.45 96 4273.45
0.135732 3997.55 48 3997.55
0.137339 3570.08 24 3570.08
0.138926 3917.2 24 3917.2
0.140496 3250.89 72 3250.89
0.142049 3251.18 48 3251.18
0.145104 670.132 8 670.132
0.146608 3203.44 54 3203.44
0.148096 3059.37 84 3059.37
0.14957 3475.43 48 3475.43
0.151029 4192.38 24 4192.38
0.152474 3531.6 72 3531.6
0.153906 3331.06 96 3331.06
0.15673 2594.59 48 2594.59
0.158123 3254.09 48 3254.09
0.159504 3646.07 24 3646.07
0.160874 2423.86 72 2423.86
0.163577 3601.75 72 3601.75
0.164913 2435.33 96 2435.33
0.167552 2358.25 6 2358.25
0.168856 2311.42 96 2311.42
0.170149 3144.89 96 3144.89
0.171434 2780.14 24 2780.14
0.172708 2631.01 48 2631.01
0.173974 2690.78 96 2690.78
0.17523 3219.8 48 3219.8
0.177715 3446.24 36 3446.24
0.178945 2053.85 48 2053.85
0.180167 2433.87 120 2433.87
0.18138 2805.85 56 2805.85
0.182585 1425.92 24 1425.92
0.183782 1988 96 1988
0.184972 2785.22 48 2785.22
0.187328 2246.59 24 2246.59
0.188496 2479.45 102 2479.45
0.190347 1923.82 120 1923.82
0.191954 2395.28 48 2395.28
0.193094 1969.89 48 1969.89
0.194226 2473.42 120 2473.42
0.196472 2180.14 24 2180.14
0.197585 2283.14 144 2283.14
0.199006 2515.41 168 2515.41
0.201976 2340.66 48 2340.66
0.203059 1786.26 96 1786.26
0.205208 1728.2 24 1728.2
0.206274 2599.77 48 2599.77
0.207335 2022.96 108 2022.96
0.20839 2102.66 72 2102.66
0.210326 2268.95 198 2268.95
0.211524 2995.53 48 2995.53
0.213587 1953.33 72 1953.33
0.214612 1750.49 96 1750.49
0.215631 1985.45 72 1985.45
0.216957 2014.49 104 2014.49
0.218661 1550.97 72 1550.97
0.219662 2376.31 144 2376.31
0.223129 1686.64 192 1686.64
0.224599 1708.05 48 1708.05
0.22618 1884.79 192 1884.79
0.22751 2331.82 72 2331.82
0.229429 1960.77 48 1960.77
0.230383 2060.77 78 2060.77
0.231604 1870.36 168 1870.36
0.23416 1515.73 144 1515.73
0.235095 1736.91 144 1736.91
0.236954 2066.77 12 2066.77
0.238108 1970.61 192 1970.61
0.239975 1744.13 168 1744.13
0.241537 1506.22 48 1506.22
0.242444 1966.43 168 1966.43
0.244844 1592.8 144 1592.8
0.246417 1607.6 168 1607.6
0.248401 1639.95 144 1639.95
0.249576 1889.24 48 1889.24
0.251327 1434.34 30 1434.34
0.252777 1901.7 288 1901.7
0.254191 1631.34 80 1631.34
0.25601 1601.67 288 1601.67
0.258214 1971.22 72 1971.22
0.2594 1567.53 240 1567.53
0.26075 1041.23 96 1041.23
0.262904 1596.94 168 1596.94
0.265657 1719.99 216 1719.99
0.266722 1173.16 132 1173.16
0.268622 1386.84 192 1386.84
0.269844 1873.66 120 1873.66
0.271964 1584.17 126 1584.17
0.273543 1455.84 288 1455.84
0.275842 1480.71 312 1480.71
0.277853 1352.15 24 1352.15
0.279641 1620.97 264 1620.97
0.28148 1559.58 192 1559.58
0.282936 1616.93 192 1616.93
0.285198 1534.88 336 1534.88
0.286404 1267.06 48 1267.06
0.288084 1463.15 240 1463.15
0.291553 1400.03 296 1400.03
0.292736 1316.19 150 1316.19
0.294335 1334.62 240 1334.62
0.296659 1505.14 228 1505.14
0.298323 1320.54 216 1320.54
0.300394 1518.43 336 1518.43
0.302928 1230.28 360 1230.28
0.304588 1083.11 144 1083.11
0.305974 1115.92 168 1115.92
0.308578 1320.93 312 1320.93
0.310884 1312.14 288 1312.14
0.312408 1378.95 192 1378.95
0.314799 1384.61 366 1384.61
0.317265 1396.89 408 1396.89
0.319597 1291.95 168 1291.95
0.320771 1144.15 336 1144.15
0.3227 1199.67 240 1199.67
0.32574 1202.35 380 1202.35
0.32795 1363.32 384 1363.32
0.330224 1232.93 240 1232.93
0.331726 1115.45 360 1115.45
0.333831 1100.53 198 1100.53
0.336246 1281.24 384 1281.24
0.338319 1233.45 384 1233.45
0.341157 1301.12 432 1301.12
0.343593 1140.17 528 1140.17
0.346262 1186.83 288 1186.83
0.347842 1098.45 288 1098.45
0.350326 1167.25 456 1167.25
0.352828 1086.29 360 1086.29
0.354442 1217.66 180 1217.66
0.356776 1044.85 486 1044.85
0.359142 1143.24 504 1143.24
0.361681 1010.85 512 1010.85
0.363857 1015.6 264 1015.6
0.366441 1080.94 600 1080.94
0.368657 1046.52 288 1046.52
0.371486 1000.72 672 1000.72
0.374587 991.329 408 991.329
0.376839 1026.93 462 1026.93
0.379079 957.927 600 957.927
0.38178 868.318 504 868.318
0.384712 1032.07 324 1032.07
0.386663 1010.44 744 1010.44
0.389313 1059.35 456 1059.35
0.39167 1006.56 432 1006.56
0.394428 1027.95 720 1027.95
0.397811 1023.13 534 1023.13
0.400019 1010 536 1010
0.402781 971.357 624 971.357
0.405015 978.865 600 978.865
0.40766 947.178 696 947.178
0.410865 912.996 456 912.996
0.413244 907.768 732 907.768
0.416084 951.696 600 951.696
0.418986 962.344 702 962.344
0.421544 962.485 672 962.485
0.424534 926.55 768 926.55
0.42751 918.455 768 918.455
0.430034 902.659 408 902.659
0.432751 905.534 1080 905.534
0.436344 846.043 632 846.043
0.438896 883.386 750 883.386
0.44171 820.987 696 820.987
0.444585 845.93 876 845.93
0.447784 862.574 864 862.574
0.45034 807.5 768 807.5
0.453413 822.956 888 822.956
0.456575 851.294 816 851.294
0.459787 821.593 654 821.593
0.462622 811.03 1296 811.03
0.465862 839.32 816 839.32
0.468802 824.648 816 824.648
0.471915 874.02 1088 874.02
0.475472 753.652 1020 753.652
0.478779 816.438 1032 816.438
0.481919 869.355 942 869.355
0.484939 793.159 1032 793.159
0.488502 745.686 1128 745.686
0.491034 762.558 888 762.558
0.494348 762.233 1176 762.233
0.497688 747.426 960 747.426
0.500527 754.439 1110 754.439
0.504331 735.55 1116 735.55
0.507364 768.691 1352 768.691
0.510774 823.712 1200 823.712
0.514275 676.792 1224 676.792
