#           k/h    P           
   0.714286E-04   0.289158E+03
   0.798228E-04   0.322055E+03
   0.892035E-04   0.358693E+03
   0.996866E-04   0.399496E+03
   0.111402E-03   0.444935E+03
   0.124493E-03   0.495536E+03
   0.139124E-03   0.551883E+03
   0.155474E-03   0.614625E+03
   0.173745E-03   0.684483E+03
   0.194163E-03   0.762256E+03
   0.216981E-03   0.848834E+03
   0.242480E-03   0.945201E+03
   0.270976E-03   0.105245E+04
   0.302821E-03   0.117177E+04
   0.338408E-03   0.130451E+04
   0.378178E-03   0.145213E+04
   0.422621E-03   0.161623E+04
   0.472287E-03   0.179858E+04
   0.527790E-03   0.200110E+04
   0.589815E-03   0.222590E+04
   0.659130E-03   0.247523E+04
   0.736590E-03   0.275155E+04
   0.823153E-03   0.305746E+04
   0.919889E-03   0.339572E+04
   0.102799E-02   0.376925E+04
   0.114880E-02   0.418101E+04
   0.128381E-02   0.463402E+04
   0.143468E-02   0.513124E+04
   0.160328E-02   0.567550E+04
   0.179170E-02   0.626922E+04
   0.200226E-02   0.691444E+04
   0.223756E-02   0.761248E+04
   0.250052E-02   0.836376E+04
   0.279438E-02   0.916751E+04
   0.312277E-02   0.100215E+05
   0.348976E-02   0.109220E+05
   0.389987E-02   0.118633E+05
   0.435818E-02   0.128376E+05
   0.440687E-02   0.129365E+05
   0.445611E-02   0.130357E+05
   0.450590E-02   0.131350E+05
   0.455624E-02   0.132345E+05
   0.460715E-02   0.133342E+05
   0.465863E-02   0.134341E+05
   0.471068E-02   0.135342E+05
   0.476331E-02   0.136344E+05
   0.481653E-02   0.137348E+05
   0.487035E-02   0.138353E+05
   0.492476E-02   0.139359E+05
   0.497979E-02   0.140365E+05
   0.503543E-02   0.141373E+05
   0.509169E-02   0.142382E+05
   0.514858E-02   0.143391E+05
   0.520610E-02   0.144401E+05
   0.526427E-02   0.145410E+05
   0.532309E-02   0.146420E+05
   0.538256E-02   0.147430E+05
   0.544270E-02   0.148440E+05
   0.550352E-02   0.149450E+05
   0.556501E-02   0.150458E+05
   0.562719E-02   0.151467E+05
   0.569006E-02   0.152474E+05
   0.575363E-02   0.153481E+05
   0.581792E-02   0.154486E+05
   0.588292E-02   0.155490E+05
   0.594865E-02   0.156493E+05
   0.601512E-02   0.157493E+05
   0.608233E-02   0.158492E+05
   0.615028E-02   0.159489E+05
   0.621900E-02   0.160484E+05
   0.628849E-02   0.161476E+05
   0.635875E-02   0.162465E+05
   0.642980E-02   0.163452E+05
   0.650164E-02   0.164435E+05
