# in Mpc/h Units 
# D1 = 0.0746668 
# k P N P(z=0)
0.020944 136.754 6 24529.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 109.492 12 19639.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 89.4094 8 16037.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 76.422 6 13707.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 68.6642 24 12316.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 63.8976 24 11461.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 58.1289 12 10426.5
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 55.77 30 10003.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 52.9918 24 9505.04
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 50.7435 24 9101.77
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 48.6779 8 8731.27
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 44.8714 24 8048.5
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 42.5061 48 7624.25
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 39.1821 6 7028.01
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 35.6593 48 6396.14
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 33.5229 36 6012.95
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 32.1689 24 5770.08
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 31.278 24 5610.27
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 29.1319 48 5225.34
0 0 0 0
0 0 0 0
0.0982358 27.9274 24 5009.29
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 26.7415 24 4796.58
0 0 0 0
0 0 0 0
0.10472 25.4658 30 4567.76
0 0 0 0
0 0 0 0
0.106794 24.7985 72 4448.06
0 0 0 0
0 0 0 0
0.108828 24.0239 32 4309.12
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 23.8791 72 4283.16
0 0 0 0
0 0 0 0
0.114715 23.3555 48 4189.24
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 23.0031 12 4126.02
0 0 0 0
0.120314 22.8325 48 4095.42
0 0 0 0
0.122123 22.3111 48 4001.91
0 0 0 0
0.123906 21.7188 48 3895.66
0 0 0 0
0 0 0 0
0.125664 21.0529 30 3776.21
0 0 0 0
0.127397 20.8959 24 3748.06
0 0 0 0
0.129107 20.2735 72 3636.42
0 0 0 0
0 0 0 0
0.132461 18.8622 24 3383.28
0 0 0 0
0.134107 19.3472 96 3470.28
0 0 0 0
0.135732 18.9118 48 3392.18
0 0 0 0
0.137339 18.4723 24 3313.34
0 0 0 0
0.138926 18.361 24 3293.37
0.140496 17.3086 72 3104.62
0 0 0 0
0.142049 16.8254 48 3017.94
0 0 0 0
0 0 0 0
0.145104 14.8137 8 2657.1
0 0 0 0
0.146608 15.7763 54 2829.77
0.148096 15.4819 84 2776.95
0 0 0 0
0.14957 15.065 48 2702.18
0.151029 14.8055 24 2655.64
0 0 0 0
0.152474 14.7048 72 2637.58
0.153906 14.2446 96 2555.02
0 0 0 0
0 0 0 0
0.15673 13.7611 48 2468.3
0.158123 13.382 48 2400.31
0.159504 13.1108 24 2351.67
0 0 0 0
0.160874 12.9082 72 2315.32
0 0 0 0
0.163577 12.9402 72 2321.07
0 0 0 0
0.164913 12.4526 96 2233.59
0 0 0 0
0.167552 12.0083 6 2153.9
0.168856 12.0303 96 2157.85
0.170149 12.0749 96 2165.85
0.171434 11.9575 24 2144.79
0.172708 11.7737 48 2111.83
0 0 0 0
0.173974 11.3496 96 2035.75
0.17523 11.4591 48 2055.4
0 0 0 0
0.177715 11.847 36 2124.98
0.178945 11.0072 48 1974.35
0.180167 11.3759 120 2040.48
0.18138 11.3965 56 2044.17
0.182585 10.9603 24 1965.93
0.183782 11.0109 96 1975.01
0.184972 10.8789 48 1951.32
0 0 0 0
0.187328 10.5379 24 1890.16
0.188496 10.9362 102 1961.6
0.190347 10.3784 120 1861.56
0.191954 10.4995 48 1883.28
0.193094 9.97011 48 1788.32
0.194226 9.98707 120 1791.36
0 0 0 0
0.196472 9.97947 24 1790
0.197585 9.9007 144 1775.87
0.199006 9.82759 168 1762.76
0 0 0 0
