# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.020944 10757.4
0.0296192 6242.5
0.036276 4040.85
0.0418879 2793.75
0.0468321 2131.01
0.051302 1749.31
0.0592384 1284.27
0.0628319 1135.78
0.0662306 938.297
0.0694632 858.488
0.072552 793.474
0.0755145 597.664
0.0783651 542.358
0.0837758 544.204
0.0863541 385.392
0.0888577 327.402
0.0912926 332.602
0.0936642 356.746
0.0959772 260.847
0.0982358 242.462
0.102604 235.105
0.10472 192.997
0.106794 174.228
0.108828 153.974
0.112787 157.426
0.114715 149.629
0.118477 143.771
0.120314 138.771
0.122123 123.168
0.123906 112.399
0.125664 94.3529
0.127397 99.6063
0.129107 88.0391
0.132461 62.4352
0.134107 87.6928
0.135732 81.3895
0.137339 74.8016
0.138926 81.131
0.140496 63.4216
0.142049 61.0812
0.145104 19.199
0.146608 55.3954
0.148096 53.8623
0.14957 54.8656
0.151029 58.0219
0.152474 53.7798
0.153906 48.7399
0.15673 40.2673
0.158123 43.1746
0.159504 44.0402
0.160874 35.4635
0.163577 44.6325
0.164913 32.3601
0.167552 31.732
0.168856 28.3903
0.170149 34.8741
0.171434 31.2486
0.172708 29.627
0.173974 27.4397
0.17523 30.6956
0.177715 35.3269
0.178945 20.3385
0.180167 24.9451
0.18138 27.7025
0.182585 17.6253
0.183782 20.9101
0.184972 24.7524
0.187328 19.4008
0.188496 23.5116
0.190347 17.6154
0.191954 21.565
0.193094 17.0248
0.194226 19.4118
0.196472 17.4668
0.197585 18.5951
0.199006 19.731
0.201976 18.1858
0.203059 13.2327
0.205208 13.5065
0.206274 16.8838
0.207335 13.6306
0.20839 15.2073
0.210326 14.5378
0.211524 17.7718
0.213587 10.8054
0.214612 11.3296
0.215631 12.5605
0.216957 12.1458
0.218661 9.37932
0.219662 13.64
0.223129 9.35794
0.224599 9.21969
0.22618 10.6962
0.22751 12.388
0.229429 9.63571
0.230383 10.0944
0.231604 9.48514
0.23416 7.67705
0.235095 8.27207
0.236954 10.0626
0.238108 9.01439
0.239975 8.17765
0.241537 6.82138
0.242444 7.99282
0.244844 6.57
0.246417 6.5596
0.248401 6.83546
0.249576 6.31252
0.251327 5.48155
0.252777 7.05619
0.254191 6.4748
0.25601 6.237
0.258214 6.23198
0.2594 5.41229
0.26075 3.7052
0.262904 5.16507
0.265657 5.54539
0.266722 3.91524
0.268622 4.23703
0.269844 5.75131
0.271964 4.92665
0.273543 4.61652
0.275842 4.17981
0.277853 4.81833
0.279641 4.4397
0.28148 4.53049
0.282936 4.08135
0.285198 4.18705
0.286404 3.42429
0.288084 3.73188
0.291553 3.45025
0.292736 3.57853
0.294335 3.40426
0.296659 3.26148
0.298323 2.90863
0.300394 3.35024
0.302928 2.77488
0.304588 2.586
0.305974 2.76752
0.308578 2.74069
0.310884 2.56096
0.312408 2.48277
0.314799 2.56785
0.317265 2.64982
0.319597 2.2532
0.320771 2.0679
0.3227 2.16256
0.32574 2.17425
0.32795 2.23047
0.330224 2.18431
0.331726 1.83163
0.333831 1.99146
0.336246 1.96535
0.338319 2.01547
0.341157 1.9331
0.343593 1.6411
0.346262 1.65258
0.347842 1.48572
0.350326 1.66672
0.352828 1.44851
0.354442 1.56933
0.356776 1.44911
0.359142 1.48069
0.361681 1.30407
0.363857 1.28452
0.366441 1.23185
0.368657 1.25082
0.371486 1.23213
0.374587 1.11504
0.376839 1.15484
0.379079 1.0973
0.38178 0.90242
0.384712 1.09532
0.386663 0.963147
0.389313 1.02509
0.39167 0.999105
0.394428 1.01674
0.397811 0.932538
0.400019 1.01471
0.402781 0.90309
0.405015 0.866205
0.40766 0.879751
0.410865 0.763784
0.413244 0.793545
0.416084 0.739081
0.418986 0.780381
0.421544 0.74209
0.424534 0.710066
0.42751 0.679485
0.430034 0.668393
0.432751 0.673442
0.436344 0.563572
0.438896 0.643356
0.44171 0.555544
0.444585 0.580561
0.447784 0.57077
0.45034 0.516803
0.453413 0.506603
0.456575 0.482669
0.459787 0.50112
0.462622 0.479148
0.465862 0.478947
0.468802 0.479951
0.471915 0.452653
0.475472 0.41042
0.478779 0.429156
0.481919 0.43439
0.484939 0.394231
0.488502 0.367564
0.491034 0.366856
0.494348 0.363756
0.497688 0.346851
0.500527 0.361421
0.504331 0.3232
0.507364 0.332095
0.510774 0.345357
0.514275 0.302642
0.517978 0.295748
0.521294 0.301615
0.524822 0.287244
0.527973 0.269256
0.531698 0.273202
0.535226 0.2643
0.539103 0.239996
0.543 0.231487
0.546011 0.240344
0.549827 0.230003
0.55369 0.222141
0.557166 0.230931
0.560475 0.214144
0.564609 0.20056
0.56859 0.193029
0.572441 0.184051
0.5763 0.186529
0.580121 0.185476
0.583625 0.184617
0.587525 0.175052
0.591428 0.16665
0.595301 0.166987
0.599624 0.158588
0.603294 0.159647
0.60771 0.144889
0.611568 0.152105
0.615779 0.141535
0.619303 0.139104
0.623194 0.136336
0.627636 0.134175
0.631826 0.127165
0.635971 0.123586
0.64039 0.124521
0.644956 0.110785
0.649302 0.114168
0.653461 0.116346
0.657644 0.107514
0.662026 0.105222
0.666685 0.101162
0.670916 0.0986164
0.675462 0.104029
0.679703 0.0931675
0.684292 0.0952625
0.688927 0.0882801
0.693468 0.082458
0.698026 0.0843087
0.702952 0.0811941
0.707372 0.0786489
0.712317 0.0763678
0.716936 0.0752507
0.721869 0.0725459
0.726964 0.0678021
0.73163 0.070142
0.736224 0.0681481
0.74119 0.0654941
0.746118 0.0631238
0.751313 0.060565
0.756133 0.0597566
0.761156 0.056479
0.766095 0.0564886
0.771205 0.0554277
0.776456 0.0516825
0.781432 0.0524836
0.786733 0.0513646
0.791574 0.0493877
0.797255 0.048596
0.802676 0.0454915
0.808005 0.0454589
0.813482 0.0434508
0.818759 0.0425345
0.824173 0.0398055
0.829708 0.040315
0.834919 0.0390003
0.840568 0.0378156
0.846479 0.0358553
0.851948 0.0364643
0.857592 0.0341901
0.863369 0.0345598
0.869182 0.0323248
