#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.499280E+06   0.499280E+06   0.665369E+06   0.665349E+06   0.507164E+06   0.499526E+06   0.499280E+06   0.505351E+06  -0.602386E+00   0.497822E+06   0.497822E+06   0.148209E+01
   0.798228E-04   0.499278E+06   0.499278E+06   0.665281E+06   0.665257E+06   0.507145E+06   0.499523E+06   0.499278E+06   0.505348E+06  -0.602382E+00   0.497819E+06   0.497819E+06   0.165625E+01
   0.892035E-04   0.499275E+06   0.499274E+06   0.665172E+06   0.665142E+06   0.507122E+06   0.499520E+06   0.499275E+06   0.505343E+06  -0.602376E+00   0.497816E+06   0.497816E+06   0.185087E+01
   0.996866E-04   0.499272E+06   0.499271E+06   0.665036E+06   0.664998E+06   0.507092E+06   0.499515E+06   0.499271E+06   0.505337E+06  -0.602369E+00   0.497812E+06   0.497812E+06   0.206835E+01
   0.111402E-03   0.499267E+06   0.499266E+06   0.664866E+06   0.664818E+06   0.507055E+06   0.499510E+06   0.499267E+06   0.505330E+06  -0.602360E+00   0.497807E+06   0.497807E+06   0.231137E+01
   0.124493E-03   0.499261E+06   0.499260E+06   0.664653E+06   0.664594E+06   0.507009E+06   0.499503E+06   0.499261E+06   0.505321E+06  -0.602349E+00   0.497801E+06   0.497800E+06   0.258294E+01
   0.139124E-03   0.499254E+06   0.499252E+06   0.664388E+06   0.664314E+06   0.506951E+06   0.499494E+06   0.499254E+06   0.505310E+06  -0.602335E+00   0.497793E+06   0.497793E+06   0.288641E+01
   0.155474E-03   0.499245E+06   0.499243E+06   0.664057E+06   0.663964E+06   0.506879E+06   0.499483E+06   0.499245E+06   0.505296E+06  -0.602318E+00   0.497783E+06   0.497783E+06   0.322550E+01
   0.173745E-03   0.499234E+06   0.499231E+06   0.663644E+06   0.663528E+06   0.506789E+06   0.499469E+06   0.499234E+06   0.505279E+06  -0.602296E+00   0.497771E+06   0.497770E+06   0.360439E+01
   0.194163E-03   0.499220E+06   0.499217E+06   0.663128E+06   0.662984E+06   0.506677E+06   0.499452E+06   0.499220E+06   0.505258E+06  -0.602269E+00   0.497756E+06   0.497755E+06   0.402775E+01
   0.216981E-03   0.499203E+06   0.499198E+06   0.662485E+06   0.662305E+06   0.506536E+06   0.499431E+06   0.499202E+06   0.505231E+06  -0.602235E+00   0.497737E+06   0.497736E+06   0.450077E+01
   0.242480E-03   0.499181E+06   0.499176E+06   0.661682E+06   0.661457E+06   0.506361E+06   0.499404E+06   0.499180E+06   0.505197E+06  -0.602193E+00   0.497713E+06   0.497712E+06   0.502926E+01
   0.270976E-03   0.499154E+06   0.499147E+06   0.660680E+06   0.660400E+06   0.506143E+06   0.499371E+06   0.499153E+06   0.505155E+06  -0.602141E+00   0.497684E+06   0.497683E+06   0.561968E+01
   0.302821E-03   0.499121E+06   0.499112E+06   0.659431E+06   0.659083E+06   0.505870E+06   0.499330E+06   0.499119E+06   0.505103E+06  -0.602076E+00   0.497647E+06   0.497645E+06   0.627924E+01
   0.338408E-03   0.499078E+06   0.499067E+06   0.657875E+06   0.657440E+06   0.505530E+06   0.499278E+06   0.499077E+06   0.505037E+06  -0.601994E+00   0.497601E+06   0.497599E+06   0.701597E+01
   0.378178E-03   0.499026E+06   0.499012E+06   0.655935E+06   0.655395E+06   0.505106E+06   0.499213E+06   0.499024E+06   0.504956E+06  -0.601892E+00   0.497544E+06   0.497541E+06   0.783882E+01
   0.422621E-03   0.498960E+06   0.498943E+06   0.653520E+06   0.652848E+06   0.504577E+06   0.499133E+06   0.498957E+06   0.504854E+06  -0.601765E+00   0.497472E+06   0.497469E+06   0.875770E+01
   0.472287E-03   0.498879E+06   0.498857E+06   0.650516E+06   0.649680E+06   0.503917E+06   0.499032E+06   0.498875E+06   0.504727E+06  -0.601606E+00   0.497382E+06   0.497379E+06   0.978366E+01
   0.527790E-03   0.498776E+06   0.498749E+06   0.646780E+06   0.645744E+06   0.503095E+06   0.498907E+06   0.498772E+06   0.504569E+06  -0.601408E+00   0.497271E+06   0.497266E+06   0.109289E+02
   0.589815E-03   0.498649E+06   0.498615E+06   0.642142E+06   0.640860E+06   0.502071E+06   0.498750E+06   0.498643E+06   0.504372E+06  -0.601162E+00   0.497132E+06   0.497126E+06   0.122070E+02
   0.659130E-03   0.498490E+06   0.498448E+06   0.636392E+06   0.634806E+06   0.500796E+06   0.498555E+06   0.498483E+06   0.504127E+06  -0.600855E+00   0.496958E+06   0.496951E+06   0.136328E+02
   0.736590E-03   0.498292E+06   0.498239E+06   0.629275E+06   0.627321E+06   0.499211E+06   0.498312E+06   0.498283E+06   0.503821E+06  -0.600474E+00   0.496742E+06   0.496733E+06   0.152227E+02
   0.823153E-03   0.498046E+06   0.497979E+06   0.620486E+06   0.618086E+06   0.497241E+06   0.498010E+06   0.498035E+06   0.503442E+06  -0.599999E+00   0.496472E+06   0.496461E+06   0.169948E+02
   0.919889E-03   0.497739E+06   0.497656E+06   0.609665E+06   0.606727E+06   0.494798E+06   0.497634E+06   0.497725E+06   0.502971E+06  -0.599409E+00   0.496137E+06   0.496123E+06   0.189685E+02
   0.102799E-02   0.497357E+06   0.497253E+06   0.596386E+06   0.592812E+06   0.491771E+06   0.497166E+06   0.497339E+06   0.502387E+06  -0.598677E+00   0.495719E+06   0.495702E+06   0.211651E+02
   0.114880E-02   0.496882E+06   0.496753E+06   0.580166E+06   0.575845E+06   0.488030E+06   0.496585E+06   0.496860E+06   0.501664E+06  -0.597771E+00   0.495200E+06   0.495178E+06   0.236073E+02
   0.128381E-02   0.496292E+06   0.496131E+06   0.560464E+06   0.555283E+06   0.483416E+06   0.495864E+06   0.496265E+06   0.500771E+06  -0.596651E+00   0.494554E+06   0.494528E+06   0.263193E+02
   0.143468E-02   0.495561E+06   0.495360E+06   0.536700E+06   0.530554E+06   0.477744E+06   0.494973E+06   0.495527E+06   0.499671E+06  -0.595270E+00   0.493754E+06   0.493721E+06   0.293264E+02
   0.160328E-02   0.494656E+06   0.494405E+06   0.508291E+06   0.501101E+06   0.470818E+06   0.493872E+06   0.494614E+06   0.498322E+06  -0.593574E+00   0.492766E+06   0.492725E+06   0.326548E+02
   0.179170E-02   0.493538E+06   0.493225E+06   0.474711E+06   0.466446E+06   0.462368E+06   0.492515E+06   0.493485E+06   0.496671E+06  -0.591496E+00   0.491542E+06   0.491491E+06   0.363309E+02
   0.200226E-02   0.492161E+06   0.491770E+06   0.435585E+06   0.426300E+06   0.452138E+06   0.490849E+06   0.492095E+06   0.494662E+06  -0.588964E+00   0.490034E+06   0.489970E+06   0.403805E+02
   0.223756E-02   0.490469E+06   0.489983E+06   0.390824E+06   0.380707E+06   0.439848E+06   0.488811E+06   0.490387E+06   0.492233E+06  -0.585896E+00   0.488180E+06   0.488101E+06   0.448279E+02
   0.250052E-02   0.488400E+06   0.487794E+06   0.340810E+06   0.330229E+06   0.425226E+06   0.486332E+06   0.488298E+06   0.489315E+06  -0.582204E+00   0.485911E+06   0.485813E+06   0.496951E+02
   0.279438E-02   0.485882E+06   0.485126E+06   0.286610E+06   0.276158E+06   0.408037E+06   0.483331E+06   0.485754E+06   0.485841E+06  -0.577799E+00   0.483148E+06   0.483027E+06   0.550005E+02
   0.312277E-02   0.482833E+06   0.481893E+06   0.230186E+06   0.220691E+06   0.388127E+06   0.479727E+06   0.482674E+06   0.481742E+06  -0.572594E+00   0.479802E+06   0.479653E+06   0.607585E+02
   0.348976E-02   0.479168E+06   0.477998E+06   0.174516E+06   0.166975E+06   0.365486E+06   0.475433E+06   0.478971E+06   0.476961E+06  -0.566513E+00   0.475779E+06   0.475595E+06   0.669790E+02
   0.389987E-02   0.474798E+06   0.473344E+06   0.123483E+06   0.118873E+06   0.340319E+06   0.470367E+06   0.474552E+06   0.471448E+06  -0.559500E+00   0.470985E+06   0.470759E+06   0.736685E+02
   0.435818E-02   0.469633E+06   0.467828E+06   0.813492E+05   0.802861E+05   0.313108E+06   0.464458E+06   0.469328E+06   0.465170E+06  -0.551526E+00   0.465329E+06   0.465052E+06   0.808328E+02
   0.440687E-02   0.469070E+06   0.467225E+06   0.777762E+05   0.770743E+05   0.310302E+06   0.463819E+06   0.468758E+06   0.464499E+06  -0.550676E+00   0.464713E+06   0.464430E+06   0.815756E+02
   0.445611E-02   0.468498E+06   0.466613E+06   0.743324E+05   0.739890E+05   0.307485E+06   0.463170E+06   0.468179E+06   0.463821E+06  -0.549815E+00   0.464087E+06   0.463799E+06   0.823233E+02
   0.450590E-02   0.467917E+06   0.465991E+06   0.710203E+05   0.710315E+05   0.304657E+06   0.462512E+06   0.467591E+06   0.463134E+06  -0.548945E+00   0.463452E+06   0.463158E+06   0.830758E+02
   0.455624E-02   0.467327E+06   0.465359E+06   0.678420E+05   0.682029E+05   0.301820E+06   0.461845E+06   0.466994E+06   0.462439E+06  -0.548066E+00   0.462808E+06   0.462507E+06   0.838331E+02
   0.460715E-02   0.466728E+06   0.464717E+06   0.647996E+05   0.655039E+05   0.298973E+06   0.461169E+06   0.466388E+06   0.461736E+06  -0.547177E+00   0.462153E+06   0.461847E+06   0.845953E+02
   0.465863E-02   0.466119E+06   0.464065E+06   0.618947E+05   0.629351E+05   0.296120E+06   0.460484E+06   0.465772E+06   0.461025E+06  -0.546278E+00   0.461489E+06   0.461176E+06   0.853624E+02
   0.471068E-02   0.465502E+06   0.463403E+06   0.591286E+05   0.604964E+05   0.293260E+06   0.459789E+06   0.465147E+06   0.460307E+06  -0.545370E+00   0.460815E+06   0.460496E+06   0.861344E+02
