# in Mpc/h Units 
# D1 = 0.473493 
# k P N P(z=0)
0.020944 5404.75 6 24107.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 4340.41 12 19360
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 3534.6 8 15765.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 2928.75 6 13063.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 2605.89 24 11623.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 2443.32 24 10898.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 2245.06 12 10013.9
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 2175.78 30 9704.84
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 1978.15 24 8823.34
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 1953.79 24 8714.67
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 1948.74 8 8692.15
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 1597.94 24 7127.44
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 1545.89 48 6895.29
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 1712.34 6 7637.72
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 1321.2 48 5893.09
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 1201.53 36 5359.31
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 1256.31 24 5603.62
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 1372.71 24 6122.83
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 1100.5 48 4908.65
0 0 0 0
0 0 0 0
0.0982358 1060.87 24 4731.88
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 1113.32 24 4965.86
0 0 0 0
0 0 0 0
0.10472 963.61 30 4298.08
0 0 0 0
0 0 0 0
0.106794 914.626 72 4079.59
0 0 0 0
0 0 0 0
0.108828 845.87 32 3772.92
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 927.454 72 4136.81
0 0 0 0
0 0 0 0
0.114715 893.639 48 3985.98
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 921.033 12 4108.17
0 0 0 0
0.120314 926.324 48 4131.77
0 0 0 0
0.122123 864.049 48 3854
0 0 0 0
0.123906 810.588 48 3615.54
0 0 0 0
0 0 0 0
0.125664 723.845 30 3228.64
0 0 0 0
0.127397 772.153 24 3444.11
0 0 0 0
0.129107 707.346 72 3155.04
0 0 0 0
0 0 0 0
0.132461 554.679 24 2474.09
0 0 0 0
0.134107 741.869 96 3309.03
0 0 0 0
0.135732 716.122 48 3194.19
0 0 0 0
0.137339 689.601 24 3075.9
0 0 0 0
0.138926 754.153 24 3363.82
0.140496 615.596 72 2745.8
0 0 0 0
0.142049 602.267 48 2686.35
0 0 0 0
0 0 0 0
0.145104 280.365 8 1250.54
0 0 0 0
0.146608 586.372 54 2615.45
0.148096 589.379 84 2628.86
0 0 0 0
0.14957 591.46 48 2638.15
0.151029 612.188 24 2730.6
0 0 0 0
0.152474 608.247 72 2713.02
0.153906 565.762 96 2523.52
0 0 0 0
0 0 0 0
0.15673 516.321 48 2303
0.158123 528.366 48 2356.72
0.159504 527.063 24 2350.91
0 0 0 0
0.160874 479.837 72 2140.26
0 0 0 0
0.163577 575.203 72 2565.63
0 0 0 0
0.164913 461.675 96 2059.25
0 0 0 0
0.167552 462.444 6 2062.68
0.168856 432.187 96 1927.72
0.170149 499.065 96 2226.03
0.171434 470.826 24 2100.07
0.172708 455.729 48 2032.73
0 0 0 0
0.173974 412.648 96 1840.57
0.17523 456.527 48 2036.29
0 0 0 0
0.177715 550.607 36 2455.93
0.178945 355.697 48 1586.55
0.180167 434.993 120 1940.24
0.18138 474.062 56 2114.5
0.182585 358.299 24 1598.15
0.183782 398.535 96 1777.62
0.184972 433.004 48 1931.37
0 0 0 0
0.187328 368.481 24 1643.57
0.188496 456.774 102 2037.39
0.190347 363.523 120 1621.46
0.191954 436.467 48 1946.81
0.193094 351.829 48 1569.3
0.194226 386.953 120 1725.96
