# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 24166.4 6 24166.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 19584.7 12 19584.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 15886.4 8 15886.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 12766.7 6 12766.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 11214.8 24 11214.8
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 10594.3 24 10594.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 9716.07 12 9716.07
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 9798.03 30 9798.03
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 8371.99 24 8371.99
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 8653.42 24 8653.42
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 8682.7 8 8682.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 6551.79 24 6551.79
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 6510.39 48 6510.39
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 8241.66 6 8241.66
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 5557.1 48 5557.1
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 4755.53 36 4755.53
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 5570.79 24 5570.79
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 6980.71 24 6980.71
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 4658.67 48 4658.67
0 0 0 0
0 0 0 0
0.0982358 4718.56 24 4718.56
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 5072.68 24 5072.68
0 0 0 0
0 0 0 0
0.10472 4291.29 30 4291.29
0 0 0 0
0 0 0 0
0.106794 3939.46 72 3939.46
0 0 0 0
0 0 0 0
0.108828 3603.87 32 3603.87
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 3943.66 72 3943.66
0 0 0 0
0 0 0 0
0.114715 4231.82 48 4231.82
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 4273.28 12 4273.28
0 0 0 0
0.120314 4148.87 48 4148.87
0 0 0 0
0.122123 3674.17 48 3674.17
0 0 0 0
0.123906 3565.33 48 3565.33
0 0 0 0
0 0 0 0
0.125664 2890.97 30 2890.97
0 0 0 0
0.127397 3224.36 24 3224.36
0 0 0 0
0.129107 2984.93 72 2984.93
0 0 0 0
0 0 0 0
0.132461 2165.27 24 2165.27
0 0 0 0
0.134107 3439.74 96 3439.74
0 0 0 0
0.135732 3215.33 48 3215.33
0 0 0 0
0.137339 2897.2 24 2897.2
0 0 0 0
0.138926 3221.59 24 3221.59
0.140496 2632.64 72 2632.64
0 0 0 0
0.142049 2635.32 48 2635.32
0 0 0 0
0 0 0 0
0.145104 541.116 8 541.116
0 0 0 0
0.146608 2573.76 54 2573.76
0.148096 2485.69 84 2485.69
0 0 0 0
0.14957 2779.44 48 2779.44
0.151029 3283.66 24 3283.66
0 0 0 0
0.152474 2829.06 72 2829.06
0.153906 2654.46 96 2654.46
0 0 0 0
0 0 0 0
0.15673 2091.6 48 2091.6
0.158123 2567.19 48 2567.19
0.159504 2860.53 24 2860.53
