# in Mpc/h Units 
# (k P_nu(k))
# a= 0.293896
# nk = 757
0.020944 928.989
0.0296192 468.264
0.036276 277.974
0.0418879 183.543
0.0468321 133.912
0.051302 104.813
0.0592384 71.5454
0.0628319 60.7167
0.0662306 50.6109
0.0694632 44.1173
0.072552 39.127
0.0755145 31.2376
0.0783651 27.3671
0.0837758 23.4647
0.0863541 18.4041
0.0888577 15.9386
0.0912926 14.8291
0.0936642 14.2566
0.0959772 11.7004
0.0982358 10.5649
0.102604 9.5079
0.10472 8.17207
0.106794 7.47758
0.108828 6.7283
0.112787 6.42837
0.114715 5.92411
0.118477 5.49405
0.120314 5.29008
0.122123 4.85862
0.123906 4.4435
0.125664 3.98098
0.127397 3.94079
0.129107 3.57494
0.132461 2.84347
0.134107 3.21719
0.135732 3.03202
0.137339 2.85768
0.138926 2.89654
0.140496 2.43709
0.142049 2.29484
0.145104 1.44043
0.146608 2.0156
0.148096 1.95335
0.14957 1.8586
0.151029 1.81867
0.152474 1.78405
0.153906 1.64289
0.15673 1.47968
0.158123 1.41645
0.159504 1.35077
0.160874 1.269
0.163577 1.32704
0.164913 1.13909
0.167552 1.05405
0.168856 1.01004
0.170149 1.05575
0.171434 1.00251
0.172708 0.953973
0.173974 0.852148
0.17523 0.887292
0.177715 0.977492
0.178945 0.726191
0.180167 0.815583
0.18138 0.834942
0.182585 0.699419
0.183782 0.72363
0.184972 0.723597
0.187328 0.63321
0.188496 0.723582
0.190347 0.600778
0.191954 0.652552
0.193094 0.546604
0.194226 0.565486
0.196472 0.556173
0.197585 0.558133
0.199006 0.560125
0.201976 0.520276
0.203059 0.435753
0.205208 0.421794
0.206274 0.445594
0.207335 0.400502
0.20839 0.432933
0.210326 0.40018
0.211524 0.423257
0.213587 0.324867
0.214612 0.325895
0.215631 0.338165
0.216957 0.321236
0.218661 0.302695
0.219662 0.332042
0.223129 0.270403
0.224599 0.255809
0.22618 0.279997
0.22751 0.292169
0.229429 0.227236
0.230383 0.257039
0.231604 0.24784
0.23416 0.220885
0.235095 0.207531
0.236954 0.231441
0.238108 0.218525
0.239975 0.211138
0.241537 0.188166
0.242444 0.182862
0.244844 0.176288
0.246417 0.166162
0.248401 0.175592
0.249576 0.152546
0.251327 0.141687
0.252777 0.156411
0.254191 0.160348
0.25601 0.156285
0.258214 0.130866
0.2594 0.132393
0.26075 0.10665
0.262904 0.125313
0.265657 0.121377
0.266722 0.106465
0.268622 0.108566
0.269844 0.119902
0.271964 0.10768
0.273543 0.104767
0.275842 0.0933237
0.277853 0.119992
0.279641 0.096295
0.28148 0.102437
0.282936 0.0851632
0.285198 0.093184
0.286404 0.0826292
0.288084 0.0814979
0.291553 0.0738232
0.292736 0.0820204
0.294335 0.0739055
0.296659 0.0668984
0.298323 0.0628334
0.300394 0.065484
0.302928 0.0609288
0.304588 0.0618903
0.305974 0.065012
0.308578 0.0577908
0.310884 0.0533979
0.312408 0.0497495
0.314799 0.0503917
0.317265 0.0536522
0.319597 0.0462104
0.320771 0.0441773
0.3227 0.046194
0.32574 0.0447636
0.32795 0.0421448
0.330224 0.0419083
0.331726 0.0395688
0.333831 0.0384468
0.336246 0.0363055
0.338319 0.0363638
0.341157 0.0353688
0.343593 0.0302656
0.346262 0.029392
0.347842 0.0282723
0.350326 0.0312281
0.352828 0.0253598
0.354442 0.0256309
0.356776 0.0266018
0.359142 0.0252854
0.361681 0.0247821
0.363857 0.0244081
0.366441 0.0218071
0.368657 0.0229296
0.371486 0.0237668
0.374587 0.0191585
0.376839 0.0205713
0.379079 0.0206781
0.38178 0.0180093
0.384712 0.0168372
0.386663 0.0157874
0.389313 0.0166134
0.39167 0.0166485
0.394428 0.0161802
0.397811 0.0145982
0.400019 0.0167312
0.402781 0.0151089
0.405015 0.0145997
0.40766 0.0146494
0.410865 0.0126309
0.413244 0.0129973
0.416084 0.0119524
0.418986 0.0119727
0.421544 0.0112441
0.424534 0.01108
0.42751 0.00940047
0.430034 0.01105
0.432751 0.0102786
0.436344 0.00957715
0.438896 0.00966952
0.44171 0.00886859
0.444585 0.00818044
0.447784 0.00767326
0.45034 0.00755325
0.453413 0.00721924
0.456575 0.00662911
0.459787 0.00698306
0.462622 0.00660408
0.465862 0.00663133
0.468802 0.00611911
0.471915 0.0060252
0.475472 0.00576487
0.478779 0.00590828
0.481919 0.00565243
0.484939 0.00517258
0.488502 0.00513954
0.491034 0.00496155
0.494348 0.00445378
0.497688 0.00443936
0.500527 0.00469454
0.504331 0.00442995
0.507364 0.00422064
0.510774 0.00393318
0.514275 0.00379368
0.517978 0.00365966
0.521294 0.00348068
0.524822 0.00327617
0.527973 0.00323763
0.531698 0.00315496
0.535226 0.00302691
0.539103 0.00298538
0.543 0.00293803
0.546011 0.00270544
0.549827 0.00257049
0.55369 0.0026452
0.557166 0.00243501
0.560475 0.00252853
0.564609 0.00235175
0.56859 0.002331
0.572441 0.00223191
0.5763 0.0020787
0.580121 0.00201591
0.583625 0.0020209
0.587525 0.00181894
0.591428 0.00179764
0.595301 0.00170356
0.599624 0.00172594
0.603294 0.00168316
0.60771 0.00152642
0.611568 0.00155067
0.615779 0.00149518
0.619303 0.00142334
0.623194 0.00134305
0.627636 0.00131858
0.631826 0.00126747
0.635971 0.00116262
0.64039 0.00124109
0.644956 0.00118892
0.649302 0.00112714
0.653461 0.00108355
0.657644 0.00102581
0.662026 0.00100184
0.666685 0.000951017
0.670916 0.000901086
0.675462 0.000868632
0.679703 0.000892433
0.684292 0.000830615
0.688927 0.000808567
0.693468 0.000752024
0.698026 0.000718656
0.702952 0.000726055
0.707372 0.000663506
0.712317 0.000666132
0.716936 0.000635525
0.721869 0.000644395
0.726964 0.000583312
0.73163 0.00054836
0.736224 0.000544663
0.74119 0.000545684
0.746118 0.000510625
0.751313 0.000492446
0.756133 0.000496746
0.761156 0.000465092
0.766095 0.000452439
0.771205 0.000424793
0.776456 0.000426444
0.781432 0.000392127
0.786733 0.000371345
0.791574 0.000382257
0.797255 0.000358859
0.802676 0.000346474
0.808005 0.000333866
0.813482 0.000324895
0.818759 0.000320877
0.824173 0.000302968
0.829708 0.000296446
0.834919 0.000279878
0.840568 0.000264048
0.846479 0.0002736
0.851948 0.000252773
0.857592 0.000239268
0.863369 0.000234909
0.869182 0.000229898
0.874831 0.000218641
0.880682 0.00021629
0.886294 0.00020006
0.892352 0.000196064
0.898399 0.000186318
0.904229 0.000184568
0.910231 0.000179
0.916513 0.000166177
0.922651 0.000160704
0.92895 0.000157149
0.935092 0.000151594
0.940995 0.000147572
0.947406 0.00014266
0.953652 0.00013512
0.960017 0.000129008
0.966595 0.000127933
0.972908 0.0001247
0.979222 0.000115689
0.985855 0.000114375
0.992666 0.000115058
0.998881 0.000108433
1.00551 0.000103004
1.01216 0.000100211
1.01908 9.57948e-05
1.02599 9.20372e-05
1.03271 8.82802e-05
1.03948 8.4658e-05
1.04641 8.3786e-05
1.05346 8.02502e-05
1.06036 7.64096e-05
1.0676 7.44701e-05
1.07471 7.157e-05
1.08175 6.80108e-05
1.08895 6.657e-05
1.09637 6.44424e-05
1.10369 6.13355e-05
1.11092 6.03742e-05
1.1181 5.77868e-05
1.12573 5.68369e-05
1.1332 5.39507e-05
1.14081 5.25634e-05
1.14829 4.91348e-05
1.15605 4.80899e-05
1.16374 4.63618e-05
1.1717 4.49651e-05
1.17935 4.34391e-05
1.18713 4.20379e-05
1.195 4.02324e-05
1.20281 3.88298e-05
1.21088 3.72767e-05
