# in Mpc/h Units 
# D1 = 0.827741 
# k P N P(z=0)
0.020944 16509.8 6 24096.4
0.0296192 13256.6 12 19348.3
0.036276 10778.6 8 15731.6
0.0418879 8739.45 6 12755.4
0.0468321 7712.26 24 11256.2
0.051302 7274.44 24 10617.2
0.0592384 6686.93 12 9759.73
0.0628319 6635.43 30 9684.57
0.0662306 5790.55 24 8451.44
0.0694632 5896.27 24 8605.74
0.072552 5930.53 8 8655.75
0.0755145 4557.26 24 6651.43
0.0783651 4494.72 48 6560.14
0.0837758 5514.01 6 8047.82
0.0863541 3847.65 48 5615.74
0.0888577 3362.38 36 4907.46
0.0912926 3804.53 24 5552.8
0.0936642 4572.34 24 6673.44
0.0959772 3227.67 48 4710.86
0.0982358 3204.4 24 4676.89
0.102604 3459.26 24 5048.87
0.10472 2908.63 30 4245.22
0.106794 2697.36 72 3936.86
0.108828 2460.93 32 3591.78
0.112787 2740.91 72 4000.42
0.114715 2791.54 48 4074.32
0.118477 2869.82 12 4188.58
0.120314 2836.9 48 4140.52
0.122123 2549.18 48 3720.58
0.123906 2418.86 48 3530.38
0.125664 2020.84 30 2949.47
0.127397 2251.08 24 3285.51
0.129107 2042.92 72 2981.68
0.132461 1474.09 24 2151.47
0.134107 2300.17 96 3357.15
0.135732 2169.12 48 3165.89
0.137339 2006.18 24 2928.06
0.138926 2269.4 24 3312.24
0.140496 1799 72 2625.69
0.142049 1793.8 48 2618.09
0.145104 420.679 8 613.99
0.146608 1755.9 54 2562.78
0.148096 1731.14 84 2526.64
0.14957 1865.13 48 2722.19
0.151029 2094.57 24 3057.08
0.152474 1908.71 72 2785.81
0.153906 1765.64 96 2576.99
0.15673 1457.47 48 2127.22
0.158123 1683.47 48 2457.07
0.159504 1811.7 24 2644.21
0.160874 1377.61 72 2010.66
0.163577 1920.53 72 2803.05
0.164913 1346.6 96 1965.39
0.167552 1382.82 6 2018.25
0.168856 1247.31 96 1820.47
0.170149 1642.67 96 2397.51
0.171434 1468.87 24 2143.85
0.172708 1416.41 48 2067.29
0.173974 1373.07 96 2004.03
0.17523 1588.16 48 2317.96
0.177715 1867.78 36 2726.07
0.178945 1042.8 48 1521.99
0.180167 1309.24 120 1910.86
0.18138 1505.49 56 2197.3
0.182585 887.797 24 1295.76
0.183782 1127.37 96 1645.42
0.184972 1437.93 48 2098.69
0.187328 1136.98 24 1659.45
0.188496 1383.5 102 2019.25
0.190347 1047.91 120 1529.44
0.191954 1331.37 48 1943.17
0.193094 1069.38 48 1560.78
0.194226 1270.64 120 1854.53
0.196472 1140.53 24 1664.63
0.197585 1242.24 144 1813.08
0.199006 1354.82 168 1977.39
0.201976 1286.98 48 1878.37
0.203059 932.341 96 1360.77
0.205208 979.061 24 1428.96
0.206274 1303.4 48 1902.34
0.207335 1042.23 108 1521.16
0.20839 1163.37 72 1697.97
0.210326 1163.94 198 1698.79
0.211524 1490.21 48 2175
0.213587 901.774 72 1316.16
0.214612 944.41 96 1378.39
0.215631 1073.31 72 1566.52
0.216957 1058.02 104 1544.2
0.218661 797.686 72 1164.24
0.219662 1245.39 144 1817.67
0.223129 861.377 192 1257.2
0.224599 875.584 48 1277.93
