# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 24310.2 6 24310.2
0.0296192 19576.5 12 19576.5
0.036276 15888 8 15888
0.0418879 12769.6 6 12769.6
0.0468321 11217.5 24 11217.5
0.051302 10598.6 24 10598.6
0.0592384 9717.85 12 9717.85
0.0628319 9802.78 30 9802.78
0.0662306 8374.37 24 8374.37
0.0694632 8657.03 24 8657.03
0.072552 8683.75 8 8683.75
0.0755145 6554.31 24 6554.31
0.0783651 6512.54 48 6512.54
0.0837758 8236.83 6 8236.83
0.0863541 5559.61 48 5559.61
0.0888577 4756.92 36 4756.92
0.0912926 5572.3 24 5572.3
0.0936642 6981.13 24 6981.13
0.0959772 4660.7 48 4660.7
0.0982358 4719.82 24 4719.82
0.102604 5073.98 24 5073.98
0.10472 4294.12 30 4294.12
0.106794 3940.65 72 3940.65
0.108828 3604.28 32 3604.28
0.112787 3944.31 72 3944.31
0.114715 4233.71 48 4233.71
0.118477 4274.06 12 4274.06
0.120314 4150.36 48 4150.36
0.122123 3674.52 48 3674.52
0.123906 3565.17 48 3565.17
0.125664 2889.47 30 2889.47
0.127397 3224.66 24 3224.66
0.129107 2985.33 72 2985.33
0.132461 2164.68 24 2164.68
0.134107 3440.22 96 3440.22
0.135732 3216.01 48 3216.01
0.137339 2896.46 24 2896.46
0.138926 3223.78 24 3223.78
0.140496 2633.34 72 2633.34
0.142049 2636.35 48 2636.35
0.145104 541.73 8 541.73
0.146608 2574.23 54 2574.23
0.148096 2485.97 84 2485.97
0.14957 2779.35 48 2779.35
0.151029 3283.37 24 3283.37
0.152474 2829.08 72 2829.08
0.153906 2654.72 96 2654.72
0.15673 2090.96 48 2090.96
0.158123 2566.33 48 2566.33
0.159504 2860.55 24 2860.55
0.160874 1969.21 72 1969.21
0.163577 2884.12 72 2884.12
0.164913 1967.21 96 1967.21
0.167552 1952.26 6 1952.26
0.168856 1840.31 96 1840.31
0.170149 2499.67 96 2499.67
0.171434 2209.94 24 2209.94
0.172708 2110.29 48 2110.29
0.173974 2130.36 96 2130.36
0.17523 2511.91 48 2511.91
0.177715 2783.64 36 2783.64
0.178945 1605.5 48 1605.5
0.180167 1943.65 120 1943.65
0.18138 2232.33 56 2232.33
0.182585 1190.24 24 1190.24
0.183782 1605.46 96 1605.46
0.184972 2204.87 48 2204.87
0.187328 1755.45 24 1755.45
0.188496 2003.1 102 2003.1
0.190347 1542.67 120 1542.67
0.191954 1926.45 48 1926.45
0.193094 1577.11 48 1577.11
0.194226 1951.92 120 1951.92
0.196472 1711.9 24 1711.9
0.197585 1829.03 144 1829.03
0.199006 2005.87 168 2005.87
0.201976 1870.77 48 1870.77
0.203059 1404.82 96 1404.82
0.205208 1394.21 24 1394.21
0.206274 2023.58 48 2023.58
0.207335 1592.41 108 1592.41
0.20839 1677.94 72 1677.94
0.210326 1782.23 198 1782.23
0.211524 2353.52 48 2353.52
0.213587 1478.16 72 1478.16
0.214612 1396.38 96 1396.38
0.215631 1590.28 72 1590.28
0.216957 1595.83 104 1595.83
0.218661 1204.07 72 1204.07
0.219662 1896.38 144 1896.38
0.223129 1314.63 192 1314.63
0.224599 1339.06 48 1339.06
0.22618 1513.71 192 1513.71
0.22751 1870.55 72 1870.55
0.229429 1539.65 48 1539.65
0.230383 1607.6 78 1607.6
0.231604 1475.07 168 1475.07
0.23416 1192.42 144 1192.42
0.235095 1371.34 144 1371.34
0.236954 1652.7 12 1652.7
0.238108 1559.21 192 1559.21
0.239975 1380.68 168 1380.68
0.241537 1191.43 48 1191.43
0.242444 1527.54 168 1527.54
0.244844 1235.67 144 1235.67
0.246417 1256.3 168 1256.3
0.248401 1289.24 144 1289.24
0.249576 1405.05 48 1405.05
0.251327 1118.78 30 1118.78
0.252777 1488.07 288 1488.07
0.254191 1291.63 80 1291.63
0.25601 1265.84 288 1265.84
0.258214 1506.88 72 1506.88
0.2594 1214.24 240 1214.24
0.26075 802.209 96 802.209
0.262904 1225.89 168 1225.89
0.265657 1334.84 216 1334.84
0.266722 904.452 132 904.452
0.268622 1054.77 192 1054.77
0.269844 1453.08 120 1453.08
0.271964 1230.75 126 1230.75
0.273543 1145.8 288 1145.8
0.275842 1139.95 312 1139.95
0.277853 1090.1 24 1090.1
0.279641 1248.62 264 1248.62
0.28148 1221.3 192 1221.3
0.282936 1238.67 192 1238.67
0.285198 1193.99 336 1193.99
0.286404 977.14 48 977.14
0.288084 1124.26 240 1124.26
0.291553 1080.42 296 1080.42
0.292736 1038.41 150 1038.41
0.294335 1045.09 240 1045.09
0.296659 1141.05 228 1141.05
0.298323 1003.84 216 1003.84
0.300394 1168.32 336 1168.32
0.302928 954.567 360 954.567
0.304588 845.799 144 845.799
0.305974 877.371 168 877.371
0.308578 1010.25 312 1010.25
0.310884 995.762 288 995.762
0.312408 1033.14 192 1033.14
0.314799 1045.34 366 1045.34
0.317265 1064.26 408 1064.26
0.319597 968.725 168 968.725
0.320771 860.752 336 860.752
0.3227 915.8 240 915.8
0.32574 920.598 380 920.598
0.32795 1026.12 384 1026.12
0.330224 950.896 240 950.896
0.331726 837.078 360 837.078
0.333831 871.618 198 871.618
0.336246 970.151 384 970.151
0.338319 948.639 384 948.639
0.341157 984.255 432 984.255
0.343593 866.351 528 866.351
0.346262 899.161 288 899.161
0.347842 823.771 288 823.771
0.350326 894.64 456 894.64
0.352828 825.004 360 825.004
0.354442 921.583 180 921.583
0.356776 803.097 486 803.097
0.359142 868.825 504 868.825
0.361681 766.798 512 766.798
0.363857 768.089 264 768.089
0.366441 802.412 600 802.412
0.368657 785.643 288 785.643
0.371486 756.3 672 756.3
0.374587 747.096 408 747.096
0.376839 778.511 462 778.511
0.379079 730.052 600 730.052
0.38178 649.691 504 649.691
0.384712 791.279 324 791.279
0.386663 744.532 744 744.532
0.389313 795.151 456 795.151
0.39167 755.761 432 755.761
0.394428 785.463 720 785.463
0.397811 770.243 534 770.243
0.400019 781.385 536 781.385
0.402781 736.27 624 736.27
0.405015 732.175 600 732.175
