# in Mpc/h Units 
# (k P_nu(k))
# a= 0.84288
# nk = 757
0.020944 6375.56
0.0296192 3236.76
0.036276 1918.24
0.0418879 1232.64
0.0468321 885.747
0.051302 691.83
0.0592384 467.254
0.0628319 399.065
0.0662306 317.121
0.0694632 282.616
0.072552 255.07
0.0755145 184.184
0.0783651 163.562
0.0837758 160.706
0.0863541 108.904
0.0888577 90.0984
0.0912926 91.1637
0.0936642 97.7945
0.0959772 68.5821
0.0982358 62.8548
0.102604 59.7803
0.10472 47.7471
0.106794 42.2826
0.108828 36.6235
0.112787 36.9006
0.114715 34.7346
0.118477 32.7469
0.120314 31.2374
0.122123 27.1745
0.123906 24.459
0.125664 20.0048
0.127397 21.1909
0.129107 18.3933
0.132461 12.3999
0.134107 18.1223
0.135732 16.5878
0.137339 15.009
0.138926 16.3831
0.140496 12.4685
0.142049 11.9613
0.145104 3.03085
0.146608 10.6219
0.148096 10.2455
0.14957 10.5009
0.151029 11.1718
0.152474 10.1499
0.153906 9.09225
0.15673 7.25344
0.158123 7.91263
0.159504 8.12914
0.160874 6.29121
0.163577 8.10733
0.164913 5.6363
0.167552 5.5353
0.168856 4.82896
0.170149 6.10184
0.171434 5.36574
0.172708 5.0511
0.173974 4.7018
0.17523 5.28994
0.177715 6.0574
0.178945 3.29164
0.180167 4.08263
0.18138 4.58258
0.182585 2.73542
0.183782 3.32744
0.184972 4.06154
0.187328 3.07778
0.188496 3.7423
0.190347 2.72988
0.191954 3.39242
0.193094 2.64913
0.194226 3.05522
0.196472 2.66154
0.197585 2.85734
0.199006 3.04397
0.201976 2.76345
0.203059 1.9486
0.205208 1.99847
0.206274 2.56538
0.207335 2.02251
0.20839 2.2526
0.210326 2.15265
0.211524 2.68965
0.213587 1.55623
0.214612 1.64063
0.215631 1.83485
0.216957 1.76862
0.218661 1.29724
0.219662 1.99276
0.223129 1.30548
0.224599 1.29487
0.22618 1.50294
0.22751 1.76319
0.229429 1.37249
0.230383 1.40196
0.231604 1.30526
0.23416 1.02811
0.235095 1.14031
0.236954 1.39282
0.238108 1.23005
0.239975 1.09427
0.241537 0.898567
0.242444 1.09068
0.244844 0.860469
0.246417 0.86803
0.248401 0.890191
0.249576 0.835081
0.251327 0.714332
0.252777 0.934277
0.254191 0.831568
0.25601 0.794201
0.258214 0.822469
0.2594 0.68784
0.26075 0.458063
0.262904 0.651017
0.265657 0.702813
0.266722 0.476617
0.268622 0.517572
0.269844 0.72271
0.271964 0.612372
0.273543 0.566219
0.275842 0.513481
0.277853 0.569155
0.279641 0.538457
0.28148 0.541205
0.282936 0.497161
0.285198 0.495881
0.286404 0.400632
0.288084 0.440041
0.291553 0.406219
0.292736 0.413281
0.294335 0.394713
0.296659 0.381928
0.298323 0.337262
0.300394 0.389466
0.302928 0.31521
0.304588 0.286241
0.305974 0.304167
0.308578 0.307992
0.310884 0.287572
0.312408 0.280373
0.314799 0.288457
0.317265 0.29196
0.319597 0.248195
0.320771 0.224745
0.3227 0.233949
0.32574 0.234537
0.32795 0.242904
0.330224 0.234244
0.331726 0.192789
0.333831 0.213647
0.336246 0.210442
0.338319 0.21407
0.341157 0.204113
0.343593 0.174503
0.346262 0.174631
0.347842 0.155518
0.350326 0.171958
0.352828 0.151282
0.354442 0.164335
0.356776 0.147436
0.359142 0.151119
0.361681 0.130879
0.363857 0.128376
0.366441 0.12379
0.368657 0.123829
0.371486 0.119515
0.374587 0.110113
0.376839 0.11325
0.379079 0.106168
0.38178 0.0867565
0.384712 0.107901
0.386663 0.0935508
0.389313 0.0998452
0.39167 0.0956913
0.394428 0.0978439
0.397811 0.0894947
0.400019 0.0952306
0.402781 0.0847299
0.405015 0.0803761
0.40766 0.0809462
0.410865 0.0700593
0.413244 0.0727277
0.416084 0.067676
0.418986 0.0718577
0.421544 0.0680169
0.424534 0.0644282
0.42751 0.0626826
0.430034 0.0582716
0.432751 0.0602383
0.436344 0.050273
0.438896 0.056461
0.44171 0.0486793
0.444585 0.0513958
0.447784 0.0505287
0.45034 0.0451473
0.453413 0.0440983
0.456575 0.0421178
0.459787 0.0437144
0.462622 0.0413124
0.465862 0.0409283
0.468802 0.0409985
0.471915 0.038752
0.475472 0.0346294
0.478779 0.0358751
0.481919 0.0364902
0.484939 0.0327374
0.488502 0.0302203
0.491034 0.0302133
0.494348 0.0302088
0.497688 0.0286886
0.500527 0.0296411
0.504331 0.026182
0.507364 0.0269098
0.510774 0.0283238
0.514275 0.0243271
0.517978 0.0236371
0.521294 0.0242565
0.524822 0.0229463
0.527973 0.0211492
0.531698 0.0215846
0.535226 0.0207692
0.539103 0.0186173
0.543 0.0178938
0.546011 0.018698
0.549827 0.0177918
0.55369 0.017043
0.557166 0.0178017
0.560475 0.0162537
0.564609 0.0150789
0.56859 0.0145914
0.572441 0.0137079
0.5763 0.0140269
0.580121 0.0138593
0.583625 0.0138141
0.587525 0.0129677
0.591428 0.0122665
0.595301 0.0123327
0.599624 0.0115238
0.603294 0.0116624
0.60771 0.0104301
0.611568 0.0108732
0.615779 0.0101368
0.619303 0.00993365
0.623194 0.00970856
0.627636 0.00952295
0.631826 0.00898281
0.635971 0.00871841
0.64039 0.0086774
0.644956 0.00761611
0.649302 0.00788862
0.653461 0.00808575
0.657644 0.0073793
0.662026 0.00717617
0.666685 0.00694225
0.670916 0.00666861
0.675462 0.0071422
0.679703 0.00624368
0.684292 0.0064594
0.688927 0.00591206
0.693468 0.00547377
0.698026 0.00562682
0.702952 0.00536272
0.707372 0.00514592
0.712317 0.00498797
0.716936 0.00492111
0.721869 0.00472442
0.726964 0.0043234
0.73163 0.00451734
0.736224 0.00438916
0.74119 0.00418585
0.746118 0.00402298
0.751313 0.0038542
0.756133 0.00377372
0.761156 0.00352574
0.766095 0.00352253
0.771205 0.00346097
0.776456 0.00317478
0.781432 0.00325412
0.786733 0.00316324
0.791574 0.00303823
0.797255 0.0029904
0.802676 0.00277945
0.808005 0.00275465
0.813482 0.00262351
0.818759 0.0025338
0.824173 0.00238441
0.829708 0.00241533
0.834919 0.00231502
0.840568 0.0022346
0.846479 0.00211777
0.851948 0.00216574
0.857592 0.00200285
0.863369 0.00200766
0.869182 0.00187105
0.874831 0.00181969
0.880682 0.00177547
0.886294 0.00172822
0.892352 0.00168629
0.898399 0.00166965
0.904229 0.00154164
0.910231 0.00152612
0.916513 0.0014788
0.922651 0.00140194
0.92895 0.00140509
0.935092 0.00133
0.940995 0.00131191
0.947406 0.00123074
0.953652 0.00120507
0.960017 0.00117985
0.966595 0.00111741
0.972908 0.00109997
0.979222 0.00104913
0.985855 0.00100315
0.992666 0.00100537
0.998881 0.000994992
1.00551 0.000925069
1.01216 0.000909353
1.01908 0.000855278
1.02599 0.000832687
1.03271 0.000803056
1.03948 0.000763848
1.04641 0.00076619
1.05346 0.000727199
1.06036 0.000722569
1.0676 0.000695576
1.07471 0.000648951
1.08175 0.000645578
1.08895 0.000629802
1.09637 0.000602371
1.10369 0.000573122
1.11092 0.00056565
1.1181 0.000554904
1.12573 0.000552232
1.1332 0.000514544
1.14081 0.000488826
1.14829 0.000479574
1.15605 0.000461206
1.16374 0.00045349
1.1717 0.000445627
1.17935 0.000415408
1.18713 0.000392373
1.195 0.000394418
1.20281 0.000387121
1.21088 0.000369717
1.21904 0.000355426
1.22715 0.000341523
1.23533 0.000332764
1.24354 0.000325811
1.25174 0.000309978
1.26013 0.000302431
1.26845 0.000291964
1.27706 0.000276541
1.28545 0.000273565
1.29387 0.000260828
1.3027 0.000261939
1.31143 0.000252421
1.3202 0.00023864
1.32891 0.000226814
1.33775 0.000223228
1.34663 0.000214625
1.35548 0.000210804
1.3645 0.000202587
1.37362 0.000198101
1.38289 0.000190563
1.39214 0.000181506
1.40146 0.000178609
1.41076 0.000172217
1.42016 0.000166103
1.42955 0.000161542
1.43897 0.000155199
1.44856 0.000150175
1.45815 0.00014324
1.46783 0.000139756
1.47755 0.000136719
1.48753 0.000131515
1.4975 0.000126341
1.50759 0.000122035
1.51744 0.000117384
1.52762 0.000114514
1.53782 0.000111568
1.54798 0.000106754
1.55817 0.000103469
1.56867 0.000100192
1.579 9.56312e-05
1.58955 9.31325e-05
1.60018 9.06766e-05
1.61084 8.6947e-05
1.62148 8.40775e-05
1.63242 8.00324e-05
1.64322 7.81535e-05
1.65411 7.73637e-05
1.66512 7.4246e-05
1.67627 7.11831e-05
1.68736 6.8629e-05
1.69863 6.74125e-05
1.70994 6.39395e-05
1.72135 6.24221e-05
1.73279 6.06069e-05
1.74428 5.80967e-05
1.75588 5.54963e-05
1.76756 5.33359e-05
1.77941 5.27775e-05
1.79124 5.05388e-05
1.80325 4.86021e-05
1.81507 4.78253e-05
1.82722 4.59972e-05
1.83948 4.44907e-05
1.85166 4.30405e-05
1.86408 4.0675e-05
1.87633 3.90653e-05
1.88886 3.80813e-05
1.90144 3.68598e-05
1.914 3.60641e-05
1.92679 3.46224e-05
1.93957 3.36411e-05
1.95256 3.20102e-05
1.96563 3.10698e-05
1.97869 3.00753e-05
1.99179 2.86801e-05
2.00509 2.79911e-05
2.01846 2.70456e-05
2.03193 2.60486e-05
2.04528 2.5032e-05
2.05892 2.43136e-05
2.07279 2.31723e-05
2.0865 2.242e-05
2.10039 2.16518e-05
2.11443 2.08366e-05
2.12845 2.02354e-05
2.14263 1.93899e-05
2.15695 1.86865e-05
2.17119 1.81837e-05
2.18567 1.74849e-05
2.20036 1.67862e-05
2.21494 1.61659e-05
2.22958 1.5633e-05
2.24445 1.52821e-05
