# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.020944 8158.28
0.0296192 4221.04
0.036276 2531.79
0.0418879 1638.02
0.0468321 1184.88
0.051302 932.128
0.0592384 636.29
0.0628319 547.573
0.0662306 434.502
0.0694632 390.3
0.072552 353.858
0.0755145 254.063
0.0783651 226.905
0.0837758 227.386
0.0863541 152.294
0.0888577 125.526
0.0912926 128.798
0.0936642 140.468
0.0959772 96.8284
0.0982358 89.3691
0.102604 85.5707
0.10472 68.2682
0.106794 60.3388
0.108828 52.282
0.112787 52.8416
0.114715 50.4043
0.118477 47.5486
0.120314 45.2364
0.122123 39.1737
0.123906 35.4441
0.125664 28.7087
0.127397 30.6087
0.129107 26.6324
0.132461 17.8449
0.134107 26.6188
0.135732 24.2953
0.137339 21.8263
0.138926 23.8857
0.140496 18.2207
0.142049 17.5487
0.145104 4.00278
0.146608 15.6268
0.148096 14.9996
0.14957 15.5959
0.151029 16.8901
0.152474 15.0728
0.153906 13.5343
0.15673 10.6135
0.158123 11.862
0.159504 12.3814
0.160874 9.24345
0.163577 12.2202
0.164913 8.34407
0.167552 8.18025
0.168856 7.16776
0.170149 9.23861
0.171434 8.06514
0.172708 7.58996
0.173974 7.18505
0.17523 8.14339
0.177715 9.19319
0.178945 4.96948
0.180167 6.1311
0.18138 6.92063
0.182585 3.95171
0.183782 4.93842
0.184972 6.21741
0.187328 4.69656
0.188496 5.61192
0.190347 4.09927
0.191954 5.09576
0.193094 4.00744
0.194226 4.69735
0.196472 4.03628
0.197585 4.32685
0.199006 4.62478
0.201976 4.17696
0.203059 2.95626
0.205208 3.00032
0.206274 3.98424
0.207335 3.11168
0.20839 3.40307
0.210326 3.32504
0.211524 4.22515
0.213587 2.45372
0.214612 2.51169
0.215631 2.82257
0.216957 2.7327
0.218661 1.9768
0.219662 3.10371
0.223129 2.01553
0.224599 2.01387
0.22618 2.30799
0.22751 2.74731
0.229429 2.16224
0.230383 2.19699
0.231604 2.02466
0.23416 1.58221
0.235095 1.78753
0.236954 2.16233
0.238108 1.93167
0.239975 1.69716
0.241537 1.40214
0.242444 1.74294
0.244844 1.35911
0.246417 1.37391
0.248401 1.39165
0.249576 1.36813
0.251327 1.13773
0.252777 1.49327
0.254191 1.30047
0.25601 1.24095
0.258214 1.3508
0.2594 1.09954
0.26075 0.721572
0.262904 1.04736
0.265657 1.12649
0.266722 0.750922
0.268622 0.830263
0.269844 1.15986
0.271964 0.974964
0.273543 0.894433
0.275842 0.832259
0.277853 0.861399
0.279641 0.871033
0.28148 0.858649
0.282936 0.818693
0.285198 0.79219
0.286404 0.640737
0.288084 0.709356
0.291553 0.657183
0.292736 0.648763
0.294335 0.628376
0.296659 0.633525
0.298323 0.553827
0.300394 0.637248
0.302928 0.509877
0.304588 0.451271
0.305974 0.470576
0.308578 0.500951
0.310884 0.474379
0.312408 0.472496
0.314799 0.478318
0.317265 0.477821
0.319597 0.413218
0.320771 0.368809
0.3227 0.384862
0.32574 0.381051
0.32795 0.404619
0.330224 0.378705
0.331726 0.316823
0.333831 0.343405
0.336246 0.351705
0.338319 0.347227
0.341157 0.339451
0.343593 0.292946
0.346262 0.294051
0.347842 0.262889
0.350326 0.284306
0.352828 0.254147
0.354442 0.27844
0.356776 0.241641
0.359142 0.251564
0.361681 0.216661
0.363857 0.212739
0.366441 0.210867
0.368657 0.205786
0.371486 0.194674
0.374587 0.184621
0.376839 0.189455
0.379079 0.175301
0.38178 0.147824
0.384712 0.181094
0.386663 0.161032
0.389313 0.171123
0.39167 0.160415
0.394428 0.16407
0.397811 0.153418
0.400019 0.156938
0.402781 0.141974
0.405015 0.135907
0.40766 0.13363
0.410865 0.11858
0.413244 0.121266
0.416084 0.116504
0.418986 0.121308
0.421544 0.115853
0.424534 0.109665
0.42751 0.1074
0.430034 0.0980798
0.432751 0.101652
0.436344 0.0882108
0.438896 0.0941251
0.44171 0.0832194
0.444585 0.0867191
0.447784 0.0856817
0.45034 0.0772388
0.453413 0.0759348
0.456575 0.07447
0.459787 0.0745225
0.462622 0.0710616
0.465862 0.0703118
0.468802 0.0696945
0.471915 0.0684167
0.475472 0.0596269
0.478779 0.0616267
0.481919 0.0639137
0.484939 0.0568115
0.488502 0.0521409
0.491034 0.052317
0.494348 0.0520247
0.497688 0.0497874
0.500527 0.050229
0.504331 0.0456022
0.507364 0.0471697
0.510774 0.0499324
0.514275 0.0411905
0.517978 0.0414009
0.521294 0.042113
0.524822 0.0417481
0.527973 0.0376406
0.531698 0.0381487
0.535226 0.0364212
0.539103 0.0325782
0.543 0.0313944
0.546011 0.0323502
0.549827 0.0314571
0.55369 0.0304584
0.557166 0.0316867
0.560475 0.0281667
0.564609 0.0259334
0.56859 0.0259073
0.572441 0.0242076
0.5763 0.025202
0.580121 0.0245756
0.583625 0.0248193
0.587525 0.0227139
0.591428 0.0221187
0.595301 0.0218064
0.599624 0.0204315
0.603294 0.0210678
0.60771 0.0189075
0.611568 0.0194377
0.615779 0.0182687
0.619303 0.0178921
0.623194 0.0178714
0.627636 0.017433
0.631826 0.0160184
0.635971 0.0158405
0.64039 0.0156047
0.644956 0.0139757
0.649302 0.0141291
0.653461 0.0145431
0.657644 0.013362
0.662026 0.0129508
0.666685 0.0126402
0.670916 0.0117341
0.675462 0.0127011
0.679703 0.011369
0.684292 0.0115604
0.688927 0.0107588
0.693468 0.0100095
0.698026 0.0104073
0.702952 0.00988574
0.707372 0.00966376
0.712317 0.0090539
0.716936 0.00883223
0.721869 0.00860431
0.726964 0.00819183
0.73163 0.00847581
