#           k/h    P           
    0.71429E-04    0.28916E+03
    0.79823E-04    0.32206E+03
    0.89203E-04    0.35869E+03
    0.99687E-04    0.39950E+03
    0.11140E-03    0.44493E+03
    0.12449E-03    0.49554E+03
    0.13912E-03    0.55188E+03
    0.15547E-03    0.61462E+03
    0.17374E-03    0.68448E+03
    0.19416E-03    0.76226E+03
    0.21698E-03    0.84883E+03
    0.24248E-03    0.94520E+03
    0.27098E-03    0.10524E+04
    0.30282E-03    0.11718E+04
    0.33841E-03    0.13045E+04
    0.37818E-03    0.14521E+04
    0.42262E-03    0.16162E+04
    0.47229E-03    0.17986E+04
    0.52779E-03    0.20011E+04
    0.58982E-03    0.22259E+04
    0.65913E-03    0.24752E+04
    0.73659E-03    0.27515E+04
    0.82315E-03    0.30575E+04
    0.91989E-03    0.33957E+04
    0.10280E-02    0.37692E+04
    0.11488E-02    0.41810E+04
    0.12838E-02    0.46340E+04
    0.14347E-02    0.51312E+04
    0.16033E-02    0.56755E+04
    0.17917E-02    0.62692E+04
    0.20023E-02    0.69144E+04
    0.22376E-02    0.76125E+04
    0.25005E-02    0.83638E+04
    0.27944E-02    0.91675E+04
    0.31228E-02    0.10022E+05
    0.34898E-02    0.10922E+05
    0.38999E-02    0.11863E+05
    0.43582E-02    0.12838E+05
    0.44069E-02    0.12937E+05
    0.44561E-02    0.13036E+05
    0.45059E-02    0.13135E+05
    0.45562E-02    0.13235E+05
    0.46071E-02    0.13334E+05
    0.46586E-02    0.13434E+05
    0.47107E-02    0.13534E+05
    0.47633E-02    0.13634E+05
    0.48165E-02    0.13735E+05
    0.48703E-02    0.13835E+05
    0.49248E-02    0.13936E+05
    0.49798E-02    0.14037E+05
    0.50354E-02    0.14137E+05
    0.50917E-02    0.14238E+05
    0.51486E-02    0.14339E+05
    0.52061E-02    0.14440E+05
    0.52643E-02    0.14541E+05
    0.53231E-02    0.14642E+05
    0.53826E-02    0.14743E+05
    0.54427E-02    0.14844E+05
    0.55035E-02    0.14945E+05
    0.55650E-02    0.15046E+05
    0.56272E-02    0.15147E+05
    0.56901E-02    0.15247E+05
    0.57536E-02    0.15348E+05
    0.58179E-02    0.15449E+05
    0.58829E-02    0.15549E+05
    0.59487E-02    0.15649E+05
    0.60151E-02    0.15749E+05
    0.60823E-02    0.15849E+05
    0.61503E-02    0.15949E+05
    0.62190E-02    0.16048E+05
    0.62885E-02    0.16148E+05
    0.63587E-02    0.16247E+05
    0.64298E-02    0.16345E+05
    0.65016E-02    0.16444E+05
    0.65743E-02    0.16542E+05
    0.66477E-02    0.16639E+05
    0.67220E-02    0.16737E+05
    0.67971E-02    0.16833E+05
    0.68731E-02    0.16930E+05
    0.69499E-02    0.17026E+05
    0.70275E-02    0.17122E+05
    0.71060E-02    0.17217E+05
    0.71854E-02    0.17311E+05
    0.72657E-02    0.17405E+05
    0.73469E-02    0.17499E+05
    0.74290E-02    0.17592E+05
    0.75120E-02    0.17684E+05
    0.75959E-02    0.17776E+05
    0.76808E-02    0.17867E+05
    0.77666E-02    0.17958E+05
    0.78534E-02    0.18047E+05
    0.79411E-02    0.18136E+05
    0.80298E-02    0.18225E+05
    0.81196E-02    0.18312E+05
    0.82103E-02    0.18399E+05
    0.83020E-02    0.18485E+05
    0.83948E-02    0.18570E+05
    0.84886E-02    0.18654E+05
    0.85834E-02    0.18737E+05
    0.86793E-02    0.18819E+05
    0.87763E-02    0.18900E+05
    0.88743E-02    0.18980E+05
    0.89735E-02    0.19059E+05
    0.90738E-02    0.19138E+05
    0.91751E-02    0.19215E+05
    0.92777E-02    0.19290E+05
    0.93813E-02    0.19365E+05
    0.94861E-02    0.19439E+05
    0.95921E-02    0.19511E+05
    0.96993E-02    0.19582E+05
    0.98077E-02    0.19652E+05
    0.99173E-02    0.19720E+05
    0.10028E-01    0.19787E+05
    0.10140E-01    0.19853E+05
    0.10253E-01    0.19917E+05
    0.10368E-01    0.19980E+05
    0.10484E-01    0.20041E+05
    0.10601E-01    0.20101E+05
    0.10719E-01    0.20159E+05
    0.10839E-01    0.20215E+05
    0.10960E-01    0.20270E+05
    0.11083E-01    0.20324E+05
    0.11207E-01    0.20375E+05
    0.11332E-01    0.20425E+05
    0.11458E-01    0.20473E+05
    0.11586E-01    0.20520E+05
    0.11716E-01    0.20564E+05
    0.11847E-01    0.20607E+05
    0.11979E-01    0.20647E+05
    0.12113E-01    0.20686E+05
    0.12248E-01    0.20723E+05
    0.12385E-01    0.20758E+05
    0.12524E-01    0.20791E+05
    0.12663E-01    0.20821E+05
    0.12805E-01    0.20850E+05
    0.12948E-01    0.20876E+05
    0.13093E-01    0.20900E+05
    0.13239E-01    0.20922E+05
    0.13387E-01    0.20942E+05
    0.13536E-01    0.20960E+05
    0.13688E-01    0.20975E+05
    0.13841E-01    0.20987E+05
    0.13995E-01    0.20998E+05
    0.14152E-01    0.21006E+05
    0.14310E-01    0.21011E+05
    0.14470E-01    0.21014E+05
    0.14631E-01    0.21014E+05
    0.14795E-01    0.21012E+05
    0.14960E-01    0.21008E+05
    0.15127E-01    0.21000E+05
    0.15296E-01    0.20990E+05
    0.15467E-01    0.20977E+05
    0.15640E-01    0.20962E+05
    0.15815E-01    0.20944E+05
    0.15991E-01    0.20923E+05
    0.16170E-01    0.20899E+05
    0.16351E-01    0.20873E+05
    0.16533E-01    0.20843E+05
    0.16718E-01    0.20811E+05
    0.16905E-01    0.20776E+05
    0.17094E-01    0.20738E+05
    0.17285E-01    0.20697E+05
    0.17478E-01    0.20653E+05
    0.17673E-01    0.20606E+05
    0.17871E-01    0.20556E+05
    0.18070E-01    0.20504E+05
    0.18272E-01    0.20448E+05
    0.18476E-01    0.20389E+05
    0.18683E-01    0.20327E+05
    0.18892E-01    0.20263E+05
    0.19103E-01    0.20195E+05
    0.19316E-01    0.20124E+05
    0.19532E-01    0.20050E+05
    0.19750E-01    0.19974E+05
    0.19971E-01    0.19894E+05
    0.20194E-01    0.19811E+05
    0.20420E-01    0.19725E+05
    0.20648E-01    0.19637E+05
    0.20879E-01    0.19545E+05
    0.21112E-01    0.19450E+05
    0.21348E-01    0.19353E+05
    0.21586E-01    0.19252E+05
    0.21827E-01    0.19149E+05
    0.22071E-01    0.19043E+05
    0.22318E-01    0.18934E+05
    0.22567E-01    0.18822E+05
    0.22819E-01    0.18708E+05
    0.23074E-01    0.18591E+05
    0.23332E-01    0.18471E+05
    0.23593E-01    0.18349E+05
    0.23856E-01    0.18224E+05
    0.24123E-01    0.18096E+05
    0.24393E-01    0.17967E+05
    0.24665E-01    0.17835E+05
    0.24941E-01    0.17700E+05
    0.25219E-01    0.17563E+05
    0.25501E-01    0.17425E+05
    0.25786E-01    0.17284E+05
    0.26074E-01    0.17141E+05
    0.26365E-01    0.16996E+05
    0.26660E-01    0.16849E+05
    0.26958E-01    0.16701E+05
    0.27259E-01    0.16551E+05
    0.27564E-01    0.16399E+05
    0.27872E-01    0.16246E+05
    0.28183E-01    0.16092E+05
    0.28498E-01    0.15936E+05
    0.28816E-01    0.15780E+05
    0.29138E-01    0.15622E+05
    0.29464E-01    0.15463E+05
    0.29793E-01    0.15304E+05
    0.30126E-01    0.15143E+05
