#           k/h    P           
    0.71429E-04    0.23568E+02
    0.79823E-04    0.26249E+02
    0.89203E-04    0.29235E+02
    0.99687E-04    0.32561E+02
    0.11140E-03    0.36265E+02
    0.12449E-03    0.40390E+02
    0.13912E-03    0.44984E+02
    0.15547E-03    0.50099E+02
    0.17374E-03    0.55794E+02
    0.19416E-03    0.62136E+02
    0.21698E-03    0.69196E+02
    0.24248E-03    0.77055E+02
    0.27098E-03    0.85803E+02
    0.30282E-03    0.95538E+02
    0.33841E-03    0.10637E+03
    0.37818E-03    0.11842E+03
    0.42262E-03    0.13182E+03
    0.47229E-03    0.14671E+03
    0.52779E-03    0.16325E+03
    0.58982E-03    0.18163E+03
    0.65913E-03    0.20201E+03
    0.73659E-03    0.22461E+03
    0.82315E-03    0.24964E+03
    0.91989E-03    0.27733E+03
    0.10280E-02    0.30790E+03
    0.11488E-02    0.34161E+03
    0.12838E-02    0.37870E+03
    0.14347E-02    0.41941E+03
    0.16033E-02    0.46397E+03
    0.17917E-02    0.51258E+03
    0.20023E-02    0.56541E+03
    0.22376E-02    0.62258E+03
    0.25005E-02    0.68412E+03
    0.27944E-02    0.74998E+03
    0.31228E-02    0.81998E+03
    0.34898E-02    0.89383E+03
    0.38999E-02    0.97106E+03
    0.43582E-02    0.10511E+04
    0.44069E-02    0.10592E+04
    0.44561E-02    0.10673E+04
    0.45059E-02    0.10755E+04
    0.45562E-02    0.10837E+04
    0.46071E-02    0.10919E+04
    0.46586E-02    0.11001E+04
    0.47107E-02    0.11083E+04
    0.47633E-02    0.11166E+04
    0.48165E-02    0.11248E+04
    0.48703E-02    0.11331E+04
    0.49248E-02    0.11413E+04
    0.49798E-02    0.11496E+04
    0.50354E-02    0.11579E+04
    0.50917E-02    0.11662E+04
    0.51486E-02    0.11745E+04
    0.52061E-02    0.11828E+04
    0.52643E-02    0.11911E+04
    0.53231E-02    0.11994E+04
    0.53826E-02    0.12078E+04
    0.54427E-02    0.12161E+04
    0.55035E-02    0.12244E+04
    0.55650E-02    0.12327E+04
    0.56272E-02    0.12410E+04
    0.56901E-02    0.12493E+04
