#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.253695E+07   0.253695E+07   0.337249E+07   0.337237E+07   0.253850E+07   0.253700E+07   0.253695E+07   0.254291E+07  -0.600158E+00   0.253183E+07   0.253183E+07   0.352801E+00
   0.798228E-04   0.253693E+07   0.253693E+07   0.336995E+07   0.336980E+07   0.253842E+07   0.253698E+07   0.253693E+07   0.254288E+07  -0.600151E+00   0.253180E+07   0.253180E+07   0.394243E+00
   0.892035E-04   0.253690E+07   0.253690E+07   0.336678E+07   0.336659E+07   0.253832E+07   0.253695E+07   0.253690E+07   0.254284E+07  -0.600142E+00   0.253178E+07   0.253178E+07   0.440547E+00
   0.996866E-04   0.253687E+07   0.253687E+07   0.336282E+07   0.336259E+07   0.253820E+07   0.253691E+07   0.253687E+07   0.254280E+07  -0.600131E+00   0.253174E+07   0.253174E+07   0.492283E+00
   0.111402E-03   0.253683E+07   0.253682E+07   0.335788E+07   0.335759E+07   0.253805E+07   0.253686E+07   0.253683E+07   0.254275E+07  -0.600118E+00   0.253170E+07   0.253170E+07   0.550084E+00
   0.124493E-03   0.253677E+07   0.253677E+07   0.335173E+07   0.335137E+07   0.253786E+07   0.253681E+07   0.253677E+07   0.254268E+07  -0.600101E+00   0.253164E+07   0.253164E+07   0.614657E+00
   0.139124E-03   0.253671E+07   0.253670E+07   0.334406E+07   0.334361E+07   0.253763E+07   0.253673E+07   0.253671E+07   0.254259E+07  -0.600080E+00   0.253157E+07   0.253157E+07   0.686790E+00
   0.155474E-03   0.253662E+07   0.253662E+07   0.333450E+07   0.333394E+07   0.253734E+07   0.253664E+07   0.253662E+07   0.254249E+07  -0.600054E+00   0.253148E+07   0.253148E+07   0.767361E+00
   0.173745E-03   0.253652E+07   0.253652E+07   0.332260E+07   0.332190E+07   0.253697E+07   0.253653E+07   0.253652E+07   0.254235E+07  -0.600022E+00   0.253138E+07   0.253138E+07   0.857345E+00
   0.194163E-03   0.253639E+07   0.253639E+07   0.330780E+07   0.330693E+07   0.253652E+07   0.253639E+07   0.253639E+07   0.254219E+07  -0.599981E+00   0.253124E+07   0.253124E+07   0.957828E+00
   0.216981E-03   0.253623E+07   0.253622E+07   0.328939E+07   0.328832E+07   0.253595E+07   0.253622E+07   0.253623E+07   0.254198E+07  -0.599930E+00   0.253108E+07   0.253108E+07   0.107001E+01
   0.242480E-03   0.253603E+07   0.253602E+07   0.326655E+07   0.326522E+07   0.253524E+07   0.253600E+07   0.253603E+07   0.254173E+07  -0.599867E+00   0.253087E+07   0.253087E+07   0.119523E+01
