# in Mpc/h Units 
# D1 = 0.0200132 
# k P N P(z=0)
0.020944 8.7165 6 21762.5
0.0296192 6.92042 12 17278.2
0.036276 5.66924 8 14154.4
0.0418879 4.87783 6 12178.5
0.0468321 4.39239 24 10966.5
0.051302 4.08606 24 10201.7
0.0592384 3.71328 12 9270.96
0.0628319 3.56346 30 8896.89
0.0662306 3.40589 24 8503.5
0.0694632 3.25109 24 8117
0.072552 3.09398 8 7724.75
0.0755145 2.90823 24 7260.98
0.0783651 2.74942 48 6864.5
0.0837758 2.45751 6 6135.66
0.0863541 2.29699 48 5734.9
0.0888577 2.16639 36 5408.84
0.0912926 2.05877 24 5140.15
0.0936642 1.9694 24 4917
0.0959772 1.87181 48 4673.36
0.0982358 1.7975 24 4487.83
0.102604 1.69045 24 4220.54
0.10472 1.64029 30 4095.32
0.106794 1.60188 72 3999.42
0.108828 1.56468 32 3906.54
0.112787 1.52691 72 3812.25
0.114715 1.50422 48 3755.59
0.118477 1.4683 12 3665.92
0.120314 1.45074 48 3622.07
0.122123 1.42598 48 3560.25
0.123906 1.39998 48 3495.34
0.125664 1.37412 30 3430.78
0.127397 1.35121 24 3373.58
0.129107 1.322 72 3300.63
0.132461 1.2594 24 3144.35
0.134107 1.24654 96 3112.23
0.135732 1.21835 48 3041.85
0.137339 1.18942 24 2969.64
0.138926 1.16368 24 2905.35
0.140496 1.12678 72 2813.24
0.142049 1.09787 48 2741.04
0.145104 1.02586 8 2561.27
0.146608 1.01998 54 2546.58
0.148096 0.996038 84 2486.81
0.14957 0.973098 48 2429.54
0.151029 0.950133 24 2372.2
0.152474 0.935239 72 2335.01
0.153906 0.912317 96 2277.78
0.15673 0.880987 48 2199.56
0.158123 0.861227 48 2150.23
0.159504 0.847073 24 2114.89
0.160874 0.833815 72 2081.79
0.163577 0.817472 72 2040.99
0.164913 0.802903 96 2004.61
0.167552 0.777665 6 1941.6
0.168856 0.778891 96 1944.66
0.170149 0.77386 96 1932.1
0.171434 0.768124 24 1917.78
0.172708 0.761372 48 1900.92
0.173974 0.748111 96 1867.81
0.17523 0.745938 48 1862.38
0.177715 0.744073 36 1857.73
0.178945 0.728019 48 1817.65
0.180167 0.730194 120 1823.08
0.18138 0.726168 56 1813.03
0.182585 0.716167 24 1788.06
0.183782 0.711552 96 1776.53
0.184972 0.703352 48 1756.06
0.187328 0.687985 24 1717.7
0.188496 0.691834 102 1727.3
0.190347 0.673183 120 1680.74
0.191954 0.666204 48 1663.31
0.193094 0.652796 48 1629.84
0.194226 0.648309 120 1618.63
0.196472 0.636883 24 1590.11
0.197585 0.62969 144 1572.15
0.199006 0.621469 168 1551.62
0.201976 0.60024 48 1498.62
0.203059 0.586771 96 1464.99
0.205208 0.571435 24 1426.7
0.206274 0.567623 48 1417.19
0.207335 0.558516 108 1394.45
0.20839 0.554547 72 1384.54
0.210326 0.542099 198 1353.46
0.211524 0.537026 48 1340.79
0.213587 0.518345 72 1294.15
0.214612 0.511225 96 1276.38
0.215631 0.510493 72 1274.55
0.216957 0.500315 104 1249.14
0.218661 0.492685 72 1230.09
0.219662 0.491574 144 1227.32
0.223129 0.473925 192 1183.25
0.224599 0.46662 48 1165.01
0.22618 0.4651 192 1161.22
0.22751 0.461835 72 1153.06
0.229429 0.446803 48 1115.54
0.230383 0.452706 78 1130.27
0.231604 0.448644 168 1120.13
0.23416 0.439935 144 1098.39
0.235095 0.436063 144 1088.72
0.236954 0.432694 12 1080.31
0.238108 0.431966 192 1078.49
0.239975 0.427751 168 1067.97
0.241537 0.42123 48 1051.69
0.242444 0.416773 168 1040.56
0.244844 0.413718 144 1032.93
0.246417 0.408913 168 1020.93
0.248401 0.405776 144 1013.1
0.249576 0.401039 48 1001.28
0.251327 0.394919 30 985.996
0.252777 0.39156 288 977.608
0.254191 0.390071 80 973.892
0.25601 0.386006 288 963.743
0.258214 0.374241 72 934.368
0.2594 0.371273 240 926.959
0.26075 0.363268 96 906.974
0.262904 0.361638 168 902.902
0.265657 0.350624 216 875.403
0.266722 0.34775 132 868.229
0.268622 0.342705 192 855.632
0.269844 0.341278 120 852.071
0.271964 0.333974 126 833.833
0.273543 0.329044 288 821.525
0.275842 0.321278 312 802.136
0.277853 0.324179 24 809.38
0.279641 0.314545 264 785.325
0.28148 0.313092 192 781.698
0.282936 0.305724 192 763.301
0.285198 0.303647 336 758.117
0.286404 0.30015 48 749.386
0.288084 0.29518 240 736.976
0.291553 0.289046 296 721.662
0.292736 0.290733 150 725.873
0.294335 0.28487 240 711.237
0.296659 0.279887 228 698.794
0.298323 0.277679 216 693.283
0.300394 0.274352 336 684.977
0.302928 0.270283 360 674.817
0.304588 0.269585 144 673.074
0.305974 0.267451 168 667.747
0.308578 0.263374 312 657.566
0.310884 0.25878 288 646.097
0.312408 0.25543 192 637.733
0.314799 0.253492 366 632.893
0.317265 0.251754 408 628.556
0.319597 0.24516 168 612.091
0.320771 0.242217 336 604.744
0.3227 0.240861 240 601.36
0.32574 0.236636 380 590.809
0.32795 0.232803 384 581.241
0.330224 0.229431 240 572.822
0.331726 0.22726 360 567.402
0.333831 0.224156 198 559.652
0.336246 0.219742 384 548.63
0.338319 0.216245 384 539.899
0.341157 0.212984 432 531.758
0.343593 0.208897 528 521.553
0.346262 0.204936 288 511.665
0.347842 0.203734 288 508.663
0.350326 0.202324 456 505.142
0.352828 0.197003 360 491.858
0.354442 0.195227 180 487.424
0.356776 0.193968 486 484.282
0.359142 0.190948 504 476.741
0.361681 0.189291 512 472.602
0.363857 0.18768 264 468.582
0.366441 0.183611 600 458.422
0.368657 0.183368 288 457.817
0.371486 0.181113 672 452.186
0.374587 0.175535 408 438.258
0.376839 0.175192 462 437.401
0.379079 0.173947 600 434.294
0.38178 0.169836 504 424.031
0.384712 0.167008 324 416.969
0.386663 0.164729 744 411.279
0.389313 0.163435 456 408.048
0.39167 0.161719 432 403.765
0.394428 0.15958 720 398.423
0.397811 0.155569 534 388.409
0.400019 0.154853 536 386.622
0.402781 0.152995 624 381.984
0.405015 0.150184 600 374.964
0.40766 0.148275 696 370.199
0.410865 0.145061 456 362.174
0.413244 0.144034 732 359.609
0.416084 0.141648 600 353.653
0.418986 0.140836 702 351.625
0.421544 0.138444 672 345.653
0.424534 0.136465 768 340.711
0.42751 0.133335 768 332.898
0.430034 0.132778 408 331.507
0.432751 0.131501 1080 328.318
0.436344 0.12948 632 323.273
0.438896 0.127232 750 317.659
0.44171 0.125481 696 313.288
0.444585 0.122978 876 307.039
0.447784 0.121788 864 304.069
0.45034 0.120005 768 299.617
0.453413 0.117976 888 294.552
0.456575 0.115977 816 289.56
0.459787 0.115169 654 287.544
0.462622 0.112726 1296 281.443
0.465862 0.112022 816 279.686
0.468802 0.110542 816 275.989
0.471915 0.108832 1088 271.721
0.475472 0.107208 1020 267.668
0.478779 0.105798 1032 264.145
0.481919 0.104477 942 260.847
