# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 24307.3 6 24307.3
0.0296192 19574.3 12 19574.3
0.036276 15884.8 8 15884.8
0.0418879 12765.5 6 12765.5
0.0468321 11217.5 24 11217.5
0.051302 10597.7 24 10597.7
0.0592384 9715.47 12 9715.47
0.0628319 9800.74 30 9800.74
0.0662306 8375.11 24 8375.11
0.0694632 8656.12 24 8656.12
0.072552 8683.45 8 8683.45
0.0755145 6554.02 24 6554.02
0.0783651 6512.24 48 6512.24
0.0837758 8235.97 6 8235.97
0.0863541 5558.6 48 5558.6
0.0888577 4756.71 36 4756.71
0.0912926 5571.62 24 5571.62
0.0936642 6980.26 24 6980.26
0.0959772 4660.54 48 4660.54
0.0982358 4719.84 24 4719.84
0.102604 5073.86 24 5073.86
0.10472 4293.39 30 4293.39
0.106794 3940.29 72 3940.29
0.108828 3603.44 32 3603.44
0.112787 3943.79 72 3943.79
0.114715 4233.89 48 4233.89
0.118477 4273.63 12 4273.63
0.120314 4149.83 48 4149.83
0.122123 3674.09 48 3674.09
0.123906 3564.83 48 3564.83
0.125664 2890.07 30 2890.07
0.127397 3224.16 24 3224.16
0.129107 2984.98 72 2984.98
0.132461 2163.87 24 2163.87
0.134107 3439.77 96 3439.77
0.135732 3215.23 48 3215.23
0.137339 2896.42 24 2896.42
0.138926 3223.04 24 3223.04
0.140496 2633.13 72 2633.13
0.142049 2636.27 48 2636.27
0.145104 541.778 8 541.778
0.146608 2574.08 54 2574.08
0.148096 2485.43 84 2485.43
0.14957 2779.31 48 2779.31
0.151029 3283.28 24 3283.28
0.152474 2829.33 72 2829.33
0.153906 2654.24 96 2654.24
0.15673 2090.63 48 2090.63
0.158123 2565.84 48 2565.84
0.159504 2859.66 24 2859.66
0.160874 1969.07 72 1969.07
0.163577 2884 72 2884
0.164913 1967.06 96 1967.06
0.167552 1952.31 6 1952.31
0.168856 1840.47 96 1840.47
0.170149 2499.38 96 2499.38
0.171434 2209.98 24 2209.98
0.172708 2110.39 48 2110.39
0.173974 2130.26 96 2130.26
0.17523 2511.78 48 2511.78
0.177715 2782.94 36 2782.94
0.178945 1605.65 48 1605.65
0.180167 1943.63 120 1943.63
0.18138 2231.91 56 2231.91
0.182585 1190.15 24 1190.15
0.183782 1605.17 96 1605.17
0.184972 2205.05 48 2205.05
0.187328 1755.32 24 1755.32
0.188496 2002.99 102 2002.99
0.190347 1542.88 120 1542.88
0.191954 1926.25 48 1926.25
0.193094 1577.14 48 1577.14
0.194226 1951.85 120 1951.85
0.196472 1712.07 24 1712.07
0.197585 1828.7 144 1828.7
0.199006 2005.88 168 2005.88
0.201976 1870.7 48 1870.7
0.203059 1404.58 96 1404.58
0.205208 1394.4 24 1394.4
0.206274 2023.43 48 2023.43
0.207335 1592.32 108 1592.32
0.20839 1677.54 72 1677.54
0.210326 1782.09 198 1782.09
0.211524 2353.13 48 2353.13
0.213587 1477.95 72 1477.95
0.214612 1396.37 96 1396.37
0.215631 1590.04 72 1590.04
0.216957 1595.84 104 1595.84
0.218661 1204.09 72 1204.09
0.219662 1896.37 144 1896.37
0.223129 1314.78 192 1314.78
0.224599 1338.9 48 1338.9
0.22618 1513.57 192 1513.57
0.22751 1870.28 72 1870.28
0.229429 1539.59 48 1539.59
0.230383 1607.5 78 1607.5
0.231604 1474.89 168 1474.89
0.23416 1192.35 144 1192.35
0.235095 1371.2 144 1371.2
0.236954 1652.16 12 1652.16
