# in Mpc/h Units 
# (k P_nu(k))
# a= 0.892299
# nk = 757
0.020944 6959.35
0.0296192 3556.74
0.036276 2116.25
0.0418879 1363.41
0.0468321 982.068
0.051302 768.9
0.0592384 521.184
0.0628319 446.287
0.0662306 354.547
0.0694632 316.784
0.072552 286.346
0.0755145 206.374
0.0783651 183.62
0.0837758 181.621
0.0863541 122.587
0.0888577 101.3
0.0912926 102.974
0.0936642 111.091
0.0959772 77.4511
0.0982358 71.1569
0.102604 67.8389
0.10472 54.1447
0.106794 47.9226
0.108828 41.5042
0.112787 41.8741
0.114715 39.5938
0.118477 37.3364
0.120314 35.5822
0.122123 30.905
0.123906 27.8641
0.125664 22.7188
0.127397 24.1159
0.129107 20.9455
0.132461 14.0797
0.134107 20.7397
0.135732 18.9618
0.137339 17.1194
0.138926 18.7056
0.140496 14.2432
0.142049 13.6837
0.145104 3.33657
0.146608 12.1624
0.148096 11.7114
0.14957 12.065
0.151029 12.9126
0.152474 11.6624
0.153906 10.4508
0.15673 8.2872
0.158123 9.11634
0.159504 9.41719
0.160874 7.19983
0.163577 9.36381
0.164913 6.46601
0.167552 6.34987
0.168856 5.54429
0.170149 7.05633
0.171434 6.18874
0.172708 5.82634
0.173974 5.454
0.17523 6.15162
0.177715 7.01132
0.178945 3.79977
0.180167 4.70626
0.18138 5.29407
0.182585 3.11135
0.183782 3.81983
0.184972 4.71473
0.187328 3.56622
0.188496 4.31331
0.190347 3.14671
0.191954 3.91229
0.193094 3.06202
0.194226 3.55106
0.196472 3.07815
0.197585 3.30325
0.199006 3.52403
0.201976 3.19349
0.203059 2.25233
0.205208 2.30455
0.206274 2.99215
0.207335 2.35045
0.20839 2.60249
0.210326 2.50551
0.211524 3.1496
0.213587 1.82227
0.214612 1.90432
0.215631 2.13362
0.216957 2.05971
0.218661 1.50158
0.219662 2.32732
0.223129 1.519
0.224599 1.51058
0.22618 1.74639
0.22751 2.0593
0.229429 1.60941
0.230383 1.63956
0.231604 1.52128
0.23416 1.19455
0.235095 1.33454
0.236954 1.62506
0.238108 1.44014
0.239975 1.27568
0.241537 1.0489
0.242444 1.28482
0.244844 1.00867
0.246417 1.0189
0.248401 1.04046
0.249576 0.991017
0.251327 0.840692
0.252777 1.10083
0.254191 0.971998
0.25601 0.927943
0.258214 0.978071
0.2594 0.809878
0.26075 0.536508
0.262904 0.768031
0.265657 0.828712
0.266722 0.557924
0.268622 0.609604
0.269844 0.852225
0.271964 0.720358
0.273543 0.664166
0.275842 0.607546
0.277853 0.658081
0.279641 0.636548
0.28148 0.635595
0.282936 0.591464
0.285198 0.583664
0.286404 0.471875
0.288084 0.519383
0.291553 0.48023
0.292736 0.48372
0.294335 0.464091
0.296659 0.45535
0.298323 0.400708
0.300394 0.46231
0.302928 0.372605
0.304588 0.335232
0.305974 0.353892
0.308578 0.364615
0.310884 0.342158
0.312408 0.33603
0.314799 0.343947
0.317265 0.346431
0.319597 0.296084
0.320771 0.266782
0.3227 0.277989
0.32574 0.277589
0.32795 0.289967
0.330224 0.276814
0.331726 0.228824
0.333831 0.252209
0.336246 0.251561
0.338319 0.25333
0.341157 0.243499
0.343593 0.209027
0.346262 0.20937
0.347842 0.186603
0.350326 0.204744
0.352828 0.181229
0.354442 0.197503
0.356776 0.175051
0.359142 0.180368
0.361681 0.155837
0.363857 0.152945
0.366441 0.148862
0.368657 0.147609
0.371486 0.141413
0.374587 0.131698
0.376839 0.135389
0.379079 0.126297
0.38178 0.104291
0.384712 0.129236
0.386663 0.112886
0.389313 0.120439
0.39167 0.114482
0.394428 0.117129
0.397811 0.107927
0.400019 0.113276
0.402781 0.101348
0.405015 0.096345
0.40766 0.0962571
0.410865 0.0839679
0.413244 0.0868169
0.416084 0.0816176
0.418986 0.0861842
0.421544 0.081781
0.424534 0.0774608
0.42751 0.0756345
0.430034 0.0696078
0.432751 0.0722254
0.436344 0.0610956
0.438896 0.0673581
0.44171 0.0585884
0.444585 0.0616488
0.447784 0.0606968
0.45034 0.0543796
0.453413 0.0532199
0.456575 0.0513171
0.459787 0.0526429
0.462622 0.0498761
0.465862 0.0493447
0.468802 0.0492774
0.471915 0.0471914
0.475472 0.0418171
0.478779 0.0432518
0.481919 0.044308
0.484939 0.0395885
0.488502 0.0364755
0.491034 0.0365188
0.494348 0.0364895
0.497688 0.0347552
0.500527 0.0356114
0.504331 0.031716
