# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.020944 8159.23
0.0296192 4221.47
0.036276 2531.43
0.0418879 1638.08
0.0468321 1185.05
0.051302 932.161
0.0592384 636.242
0.0628319 547.542
0.0662306 434.576
0.0694632 390.303
0.072552 353.841
0.0755145 254.088
0.0783651 226.917
0.0837758 227.338
0.0863541 152.286
0.0888577 125.535
0.0912926 128.783
0.0936642 140.442
0.0959772 96.8231
0.0982358 89.37
0.102604 85.5684
0.10472 68.2564
0.106794 60.3369
0.108828 52.273
0.112787 52.8359
0.114715 50.4069
0.118477 47.5452
0.120314 45.2296
0.122123 39.1689
0.123906 35.4419
0.125664 28.7152
0.127397 30.6049
0.129107 26.6303
0.132461 17.8377
0.134107 26.6149
0.135732 24.2891
0.137339 21.8254
0.138926 23.8802
0.140496 18.2193
0.142049 17.5482
0.145104 4.00273
0.146608 15.6253
0.148096 14.996
0.14957 15.5955
0.151029 16.8883
0.152474 15.0739
0.153906 13.5313
0.15673 10.6109
0.158123 11.8591
0.159504 12.3775
0.160874 9.24257
0.163577 12.2198
0.164913 8.34327
0.167552 8.1798
0.168856 7.16781
0.170149 9.23787
0.171434 8.06534
0.172708 7.59082
0.173974 7.18461
0.17523 8.14259
0.177715 9.19017
0.178945 4.96967
0.180167 6.1306
0.18138 6.91925
0.182585 3.95136
0.183782 4.93708
0.184972 6.21775
0.187328 4.69593
0.188496 5.61187
0.190347 4.09973
0.191954 5.09551
0.193094 4.00734
0.194226 4.69716
0.196472 4.03679
0.197585 4.32595
0.199006 4.62475
0.201976 4.17665
0.203059 2.95555
0.205208 3.00081
0.206274 3.98399
0.207335 3.11137
0.20839 3.4024
0.210326 3.32473
0.211524 4.22441
0.213587 2.45313
0.214612 2.51179
0.215631 2.82228
0.216957 2.73292
0.218661 1.97688
0.219662 3.10361
0.223129 2.01593
0.224599 2.01356
0.22618 2.30776
0.22751 2.74678
0.229429 2.16211
0.230383 2.1967
0.231604 2.02434
0.23416 1.58206
0.235095 1.78741
0.236954 2.16182
0.238108 1.93156
0.239975 1.6973
0.241537 1.40187
0.242444 1.74282
0.244844 1.35903
0.246417 1.37384
0.248401 1.39186
0.249576 1.36775
0.251327 1.13821
0.252777 1.49324
0.254191 1.30045
0.25601 1.24091
0.258214 1.35067
0.2594 1.09949
0.26075 0.721693
0.262904 1.04725
0.265657 1.1266
0.266722 0.750787
0.268622 0.83024
0.269844 1.15963
0.271964 0.974829
0.273543 0.894404
0.275842 0.832244
0.277853 0.861413
0.279641 0.870992
0.28148 0.858543
0.282936 0.81856
0.285198 0.792161
0.286404 0.640875
0.288084 0.709239
0.291553 0.657104
0.292736 0.648844
0.294335 0.628347
0.296659 0.633481
0.298323 0.553771
0.300394 0.637208
0.302928 0.509891
0.304588 0.451336
0.305974 0.470562
0.308578 0.50086
0.310884 0.47441
0.312408 0.472496
0.314799 0.47831
0.317265 0.47784
0.319597 0.413158
0.320771 0.368765
0.3227 0.384833
0.32574 0.381026
0.32795 0.404597
0.330224 0.378682
0.331726 0.316766
0.333831 0.343338
0.336246 0.3517
0.338319 0.34723
0.341157 0.339421
0.343593 0.292938
0.346262 0.294074
0.347842 0.262853
0.350326 0.284276
0.352828 0.254126
0.354442 0.278433
0.356776 0.241634
0.359142 0.251543
0.361681 0.216628
0.363857 0.212736
0.366441 0.210878
0.368657 0.205803
0.371486 0.194669
0.374587 0.184625
0.376839 0.189468
0.379079 0.175287
0.38178 0.14782
0.384712 0.181064
0.386663 0.161028
0.389313 0.171131
0.39167 0.160421
0.394428 0.164063
0.397811 0.153394
0.400019 0.156922
0.402781 0.141962
0.405015 0.135888
0.40766 0.133608
0.410865 0.118561
0.413244 0.121259
0.416084 0.116507
0.418986 0.121294
0.421544 0.11584
0.424534 0.109654
0.42751 0.107393
0.430034 0.0980695
0.432751 0.101646
0.436344 0.0882037
0.438896 0.0941094
0.44171 0.0832108
0.444585 0.0867081
0.447784 0.0856697
0.45034 0.0772362
0.453413 0.0759245
0.456575 0.0744667
0.459787 0.0745172
0.462622 0.0710555
0.465862 0.0702958
0.468802 0.0696873
0.471915 0.0684024
0.475472 0.059622
0.478779 0.0616146
0.481919 0.063904
0.484939 0.0568037
0.488502 0.0521308
0.491034 0.0523064
0.494348 0.0520196
0.497688 0.0497806
0.500527 0.050224
0.504331 0.0455916
0.507364 0.0471626
0.510774 0.0499261
0.514275 0.0411856
0.517978 0.0413912
0.521294 0.0421088
0.524822 0.0417421
0.527973 0.0376335
0.531698 0.0381437
0.535226 0.0364149
0.539103 0.0325727
0.543 0.031392
0.546011 0.0323454
0.549827 0.0314522
0.55369 0.0304558
0.557166 0.0316784
0.560475 0.028161
0.564609 0.0259301
0.56859 0.0259021
0.572441 0.0242025
0.5763 0.0251991
0.580121 0.0245692
0.583625 0.0248178
0.587525 0.0227095
0.591428 0.0221138
0.595301 0.0218021
0.599624 0.020427
0.603294 0.0210635
0.60771 0.0189052
0.611568 0.019435
0.615779 0.0182651
0.619303 0.0178882
0.623194 0.0178673
0.627636 0.0174297
0.631826 0.0160147
0.635971 0.0158362
0.64039 0.0156023
0.644956 0.0139746
0.649302 0.0141257
0.653461 0.0145404
0.657644 0.0133601
0.662026 0.0129472
0.666685 0.0126374
0.670916 0.011731
0.675462 0.0126974
0.679703 0.011366
0.684292 0.0115571
0.688927 0.0107558
0.693468 0.0100075
0.698026 0.0104054
0.702952 0.00988281
0.707372 0.0096621
0.712317 0.0090518
0.716936 0.0088299
0.721869 0.00860208
0.726964 0.00818945
0.73163 0.00847311
0.736224 0.00807497
0.74119 0.00793127
0.746118 0.00745205
0.751313 0.00719509
0.756133 0.00685931
0.761156 0.00652569
0.766095 0.00656483
0.771205 0.00640532
0.776456 0.00593303
0.781432 0.00602094
0.786733 0.00595916
0.791574 0.0056462
0.797255 0.00554485
0.802676 0.0051221
0.808005 0.00513105
0.813482 0.00490372
0.818759 0.00471715
0.824173 0.00443274
0.829708 0.00447502
0.834919 0.00431123
0.840568 0.00418426
0.846479 0.00395297
0.851948 0.00402479
0.857592 0.00375297
0.863369 0.00378872
0.869182 0.00353602
0.874831 0.00342831
0.880682 0.003297
0.886294 0.00327506
0.892352 0.00322653
0.898399 0.00313384
0.904229 0.00291934
0.910231 0.00288146
0.916513 0.00278924
0.922651 0.00267054
0.92895 0.00263698
0.935092 0.00253518
0.940995 0.00248935
0.947406 0.00233196
0.953652 0.00224491
0.960017 0.00222895
0.966595 0.00210017
0.972908 0.00208312
0.979222 0.00199608
0.985855 0.00189369
0.992666 0.00191728
0.998881 0.00184118
1.00551 0.00178682
1.01216 0.00174172
1.01908 0.00168011
1.02599 0.00161657
1.03271 0.00154309
1.03948 0.00147153
1.04641 0.00145612
1.05346 0.00139651
1.06036 0.00138618
1.0676 0.00134194
1.07471 0.00126049
1.08175 0.00124176
1.08895 0.00120347
1.09637 0.00116466
1.10369 0.00111424
1.11092 0.00111421
1.1181 0.00106369
1.12573 0.00103386
1.1332 0.00100417
1.14081 0.000958012
1.14829 0.00092138
1.15605 0.000900732
1.16374 0.000885781
1.1717 0.000848537
1.17935 0.000814738
1.18713 0.000763359
1.195 0.000758452
1.20281 0.000744759
1.21088 0.000712363
1.21904 0.00068996
1.22715 0.000658271
1.23533 0.000643853
1.24354 0.000626761
1.25174 0.000600186
1.26013 0.000588917
1.26845 0.000562754
1.27706 0.000537428
1.28545 0.000528548
1.29387 0.00051012
1.3027 0.000505046
1.31143 0.000475817
1.3202 0.00045639
1.32891 0.000443361
1.33775 0.000431379
1.34663 0.000408985
1.35548 0.000406941
1.3645 0.000392907
1.37362 0.000379174
1.38289 0.000363658
1.39214 0.000352094
1.40146 0.000344878
1.41076 0.000332593
1.42016 0.000322602
1.42955 0.000310496
1.43897 0.000299285
1.44856 0.000288392
1.45815 0.000281998
1.46783 0.000267779
1.47755 0.000262828
1.48753 0.000255477
1.4975 0.00024466
1.50759 0.000235589
1.51744 0.000226418
1.52762 0.000219521
1.53782 0.00021415
1.54798 0.000204704
1.55817 0.000198754
1.56867 0.000194202
1.579 0.000185189
1.58955 0.000180713
1.60018 0.000175851
1.61084 0.000166592
1.62148 0.000160184
1.63242 0.000156159
1.64322 0.000147667
1.65411 0.000145706
1.66512 0.000141511
1.67627 0.000135178
1.68736 0.00013277
1.69863 0.000128363
1.70994 0.000122607
1.72135 0.000118536
1.73279 0.000114593
1.74428 0.000111919
1.75588 0.000107813
1.76756 0.000102245
1.77941 9.93916e-05
1.79124 9.62493e-05
1.80325 9.24363e-05
1.81507 9.0261e-05
1.82722 8.71978e-05
1.83948 8.49242e-05
1.85166 8.07753e-05
1.86408 7.8495e-05
1.87633 7.52598e-05
1.88886 7.19534e-05
1.90144 7.08085e-05
1.914 6.84955e-05
1.92679 6.64756e-05
1.93957 6.28123e-05
1.95256 6.1647e-05
1.96563 5.92079e-05
1.97869 5.73066e-05
1.99179 5.5162e-05
2.00509 5.30414e-05
2.01846 5.14383e-05
2.03193 4.95922e-05
2.04528 4.80575e-05
2.05892 4.591e-05
2.07279 4.45882e-05
2.0865 4.36048e-05
2.10039 4.17716e-05
2.11443 4.02132e-05
2.12845 3.87613e-05
2.14263 3.73676e-05
2.15695 3.57152e-05
2.17119 3.49042e-05
2.18567 3.34518e-05
2.20036 3.23387e-05
2.21494 3.13411e-05
2.22958 3.00595e-05
2.24445 2.91916e-05
2.25936 2.82238e-05
