# in Mpc/h Units 
# (k P_nu(k))
# a= 0.327363
# nk = 757
0.020944 1221.75
0.0296192 619.787
0.036276 371.632
0.0418879 246.767
0.0468321 180.941
0.051302 142.311
0.0592384 97.8688
0.0628319 83.3362
0.0662306 69.4722
0.0694632 60.7999
0.072552 54.1489
0.0755145 43.0291
0.0783651 37.8069
0.0837758 32.8584
0.0863541 25.564
0.0888577 22.1233
0.0912926 20.7152
0.0936642 20.0803
0.0959772 16.3494
0.0982358 14.7824
0.102604 13.404
0.10472 11.4646
0.106794 10.4827
0.108828 9.41314
0.112787 9.06113
0.114715 8.35
0.118477 7.77684
0.120314 7.49868
0.122123 6.86989
0.123906 6.27254
0.125664 5.59284
0.127397 5.56635
0.129107 5.03376
0.132461 3.96175
0.134107 4.56594
0.135732 4.30072
0.137339 4.05076
0.138926 4.13497
0.140496 3.44782
0.142049 3.2502
0.145104 1.95265
0.146608 2.86478
0.148096 2.78184
0.14957 2.65503
0.151029 2.6081
0.152474 2.55809
0.153906 2.35003
0.15673 2.10853
0.158123 2.02804
0.159504 1.93836
0.160874 1.81025
0.163577 1.91838
0.164913 1.62618
0.167552 1.51174
0.168856 1.43945
0.170149 1.52139
0.171434 1.43956
0.172708 1.36892
0.173974 1.21902
0.17523 1.27798
0.177715 1.42286
0.178945 1.02987
0.180167 1.17027
0.18138 1.2059
0.182585 0.992734
0.183782 1.03483
0.184972 1.04387
0.187328 0.904537
0.188496 1.04644
0.190347 0.858378
0.191954 0.944511
0.193094 0.782617
0.194226 0.815575
0.196472 0.800006
0.197585 0.8073
0.199006 0.81442
0.201976 0.757087
0.203059 0.624705
0.205208 0.607869
0.206274 0.648665
0.207335 0.577852
0.20839 0.630184
0.210326 0.581587
0.211524 0.621572
0.213587 0.465634
0.214612 0.471516
0.215631 0.491789
0.216957 0.467703
0.218661 0.435618
0.219662 0.487289
0.223129 0.391208
0.224599 0.369906
0.22618 0.409491
0.22751 0.430683
0.229429 0.331936
0.230383 0.375753
0.231604 0.361992
0.23416 0.320331
0.235095 0.302208
0.236954 0.341435
0.238108 0.320383
0.239975 0.308757
0.241537 0.273075
0.242444 0.267488
0.244844 0.255787
0.246417 0.241356
0.248401 0.256477
0.249576 0.220976
0.251327 0.204805
0.252777 0.229596
0.254191 0.235094
0.25601 0.229135
0.258214 0.191268
0.2594 0.193066
0.26075 0.153107
0.262904 0.182719
0.265657 0.178761
0.266722 0.154259
0.268622 0.157952
0.269844 0.177623
0.271964 0.158771
0.273543 0.154441
0.275842 0.136702
0.277853 0.177966
0.279641 0.142144
0.28148 0.151606
0.282936 0.125089
0.285198 0.137972
0.286404 0.121141
0.288084 0.120464
0.291553 0.10885
0.292736 0.121287
0.294335 0.109518
0.296659 0.0985053
0.298323 0.0921058
0.300394 0.0972827
0.302928 0.08974
0.304588 0.0912393
0.305974 0.0966843
0.308578 0.0854082
0.310884 0.0786692
0.312408 0.0731247
0.314799 0.0744543
0.317265 0.0797374
0.319597 0.0680371
0.320771 0.065192
0.3227 0.0682395
0.32574 0.0663861
0.32795 0.0625662
0.330224 0.0627178
0.331726 0.0585063
0.333831 0.0571649
0.336246 0.0539775
0.338319 0.0545545
0.341157 0.0528332
0.343593 0.0446812
0.346262 0.043599
0.347842 0.0416506
0.350326 0.0466302
0.352828 0.0375865
0.354442 0.0382372
0.356776 0.039787
0.359142 0.0379531
0.361681 0.0369245
0.363857 0.0363617
0.366441 0.0324586
0.368657 0.0342514
0.371486 0.0357238
0.374587 0.0286669
0.376839 0.0307867
0.379079 0.0309278
0.38178 0.0266528
0.384712 0.0252722
0.386663 0.0235809
0.389313 0.0248524
0.39167 0.0250418
0.394428 0.0243221
0.397811 0.0218753
0.400019 0.0254109
0.402781 0.022744
0.405015 0.0220398
0.40766 0.0222624
0.410865 0.0190518
0.413244 0.0196923
0.416084 0.0179762
0.418986 0.018043
0.421544 0.0169275
0.424534 0.0167253
0.42751 0.014153
0.430034 0.0169252
0.432751 0.0155983
0.436344 0.014257
0.438896 0.014819
0.44171 0.0134153
0.444585 0.0124643
0.447784 0.0116565
0.45034 0.0114523
0.453413 0.0109647
0.456575 0.0100371
0.459787 0.0105558
0.462622 0.0100395
0.465862 0.0100899
0.468802 0.00934346
0.471915 0.00914183
0.475472 0.00874935
0.478779 0.00904054
0.481919 0.00863206
0.484939 0.00790082
0.488502 0.00782683
0.491034 0.00756663
0.494348 0.00679025
0.497688 0.00674312
0.500527 0.00718528
0.504331 0.00675967
0.507364 0.00648087
0.510774 0.00601185
0.514275 0.00580729
0.517978 0.00558615
0.521294 0.00534249
0.524822 0.00500045
0.527973 0.00495829
0.531698 0.0048606
0.535226 0.00464868
0.539103 0.00457552
0.543 0.00449531
0.546011 0.00416116
0.549827 0.0039539
0.55369 0.00405614
0.557166 0.00376341
0.560475 0.00389396
0.564609 0.00363431
0.56859 0.0035789
0.572441 0.00341789
0.5763 0.00319209
0.580121 0.00312969
0.583625 0.00310728
0.587525 0.00281341
0.591428 0.00276932
0.595301 0.00264423
0.599624 0.00268581
0.603294 0.00260891
0.60771 0.00235568
0.611568 0.00241494
0.615779 0.00233242
0.619303 0.0022192
0.623194 0.00207784
0.627636 0.00205614
0.631826 0.00196215
0.635971 0.0018168
0.64039 0.00194102
