# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.020944 7447.77
0.0296192 3733.37
0.036276 2191.72
0.0418879 1394.98
0.0468321 996.478
0.051302 776.083
0.0592384 521.028
0.0628319 445.88
0.0662306 350.769
0.0694632 313.928
0.072552 283.374
0.0755145 201.567
0.0783651 179.486
0.0837758 179.797
0.0863541 119.157
0.0888577 97.6323
0.0912926 100.4
0.0936642 109.893
0.0959772 74.8904
0.0982358 69.0895
0.102604 65.9444
0.10472 52.3913
0.106794 46.1448
0.108828 39.8692
0.112787 40.1682
0.114715 38.4108
0.118477 36.0906
0.120314 34.2271
0.122123 29.5234
0.123906 26.7038
0.125664 21.5112
0.127397 22.9544
0.129107 19.9485
0.132461 13.2757
0.134107 19.949
0.135732 18.156
0.137339 16.247
0.138926 17.7769
0.140496 13.544
0.142049 13.0491
0.145104 2.84018
0.146608 11.5823
0.148096 11.0851
0.14957 11.5711
0.151029 12.5917
0.152474 11.1532
0.153906 10.0091
0.15673 7.78386
0.158123 8.76444
0.159504 9.18916
0.160874 6.76878
0.163577 9.01022
0.164913 6.10622
0.167552 5.97266
0.168856 5.23541
0.170149 6.78781
0.171434 5.90564
0.172708 5.55202
0.173974 5.28267
0.17523 5.994
0.177715 6.72489
0.178945 3.62597
0.180167 4.46236
0.18138 5.04229
0.182585 2.83779
0.183782 3.57356
0.184972 4.53885
0.187328 3.42103
0.188496 4.06188
0.190347 2.96579
0.191954 3.68267
0.193094 2.90164
0.194226 3.41457
0.196472 2.91855
0.197585 3.12456
0.199006 3.33999
0.201976 3.00692
0.203059 2.13034
0.205208 2.15306
0.206274 2.88424
0.207335 2.2463
0.20839 2.44144
0.210326 2.39861
0.211524 3.05951
0.213587 1.77833
0.214612 1.80408
0.215631 2.02856
0.216957 1.9646
0.218661 1.41543
0.219662 2.23332
0.223129 1.4451
0.224599 1.44606
0.22618 1.64956
0.22751 1.96933
0.229429 1.5533
0.230383 1.57585
0.231604 1.44764
0.23416 1.12822
0.235095 1.27991
0.236954 1.54103
0.238108 1.38144
0.239975 1.20929
0.241537 1.0003
0.242444 1.24957
0.244844 0.9715
0.246417 0.98175
0.248401 0.990427
0.249576 0.984594
0.251327 0.812746
0.252777 1.06605
0.254191 0.923225
0.25601 0.880443
0.258214 0.968651
0.2594 0.783584
0.26075 0.512611
0.262904 0.746574
0.265657 0.8009
0.266722 0.53215
0.268622 0.590499
0.269844 0.823386
0.271964 0.690481
0.273543 0.632014
0.275842 0.591377
0.277853 0.60212
0.279641 0.617829
0.28148 0.60613
0.282936 0.582302
0.285198 0.559406
0.286404 0.452718
0.288084 0.50142
0.291553 0.464258
0.292736 0.455282
0.294335 0.442021
0.296659 0.449306
0.298323 0.391813
0.300394 0.449925
0.302928 0.359181
0.304588 0.316119
0.305974 0.328148
0.308578 0.352646
0.310884 0.334741
0.312408 0.334701
0.314799 0.337358
0.317265 0.336058
0.319597 0.291389
0.320771 0.25937
0.3227 0.270715
0.32574 0.266996
0.32795 0.284628
0.330224 0.264661
0.331726 0.222376
0.333831 0.239352
0.336246 0.247049
0.338319 0.242234
0.341157 0.237942
0.343593 0.205445
0.346262 0.206223
0.347842 0.184498
0.350326 0.198667
0.352828 0.177835
0.354442 0.195029
0.356776 0.168311
0.359142 0.175591
0.361681 0.151113
0.363857 0.148356
0.366441 0.14764
0.368657 0.143418
0.371486 0.13522
0.374587 0.128649
0.376839 0.131941
0.379079 0.121808
0.38178 0.103305
0.384712 0.125819
0.386663 0.112458
0.389313 0.119262
0.39167 0.111403
0.394428 0.113784
0.397811 0.106745
0.400019 0.108551
0.402781 0.0983934
0.405015 0.0943739
0.40766 0.0923827
0.410865 0.08228
0.413244 0.083872
0.416084 0.0809628
0.418986 0.0838887
0.421544 0.0801922
0.424534 0.075922
0.42751 0.0742381
0.430034 0.0679355
0.432751 0.0701853
0.436344 0.0612286
0.438896 0.0648676
0.44171 0.0575456
0.444585 0.0597222
0.447784 0.0589941
0.45034 0.0532915
0.453413 0.0524128
0.456575 0.0515609
0.459787 0.0512387
0.462622 0.0489638
0.465862 0.0484331
0.468802 0.047907
0.471915 0.0472257
0.475472 0.0410262
0.478779 0.0423904
0.481919 0.0440358
0.484939 0.0391078
0.488502 0.0358615
0.491034 0.0359689
0.494348 0.0356784
0.497688 0.0341611
0.500527 0.034345
0.504331 0.031314
0.507364 0.0324013
0.510774 0.0342469
0.514275 0.0281378
0.517978 0.0284043
0.521294 0.0288128
0.524822 0.0287369
0.527973 0.025869
0.531698 0.0261431
0.535226 0.0249321
0.539103 0.0223025
0.543 0.0214898
0.546011 0.0220747
0.549827 0.0215153
0.55369 0.0208547
0.557166 0.0216599
0.560475 0.0192138
0.564609 0.0176811
0.56859 0.0176916
0.572441 0.0165442
0.5763 0.0172169
0.580121 0.0167611
0.583625 0.0169359
0.587525 0.0154706
0.591428 0.0151064
0.595301 0.0148419
0.599624 0.0139276
0.603294 0.0143639
0.60771 0.0129139
0.611568 0.0132632
0.615779 0.0124511
0.619303 0.0121888
0.623194 0.0121997
0.627636 0.0118854
0.631826 0.0108927
0.635971 0.0107802
0.64039 0.0106215
0.644956 0.00953792
0.649302 0.00960827
0.653461 0.00987294
0.657644 0.00908838
0.662026 0.00881059
0.666685 0.00858581
0.670916 0.00796084
0.675462 0.00859163
0.679703 0.00772862
0.684292 0.00782227
0.688927 0.00729867
0.693468 0.00679285
0.698026 0.00705831
0.702952 0.00670773
0.707372 0.00657009
0.712317 0.00613784
0.716936 0.00598151
0.721869 0.00582591
0.726964 0.00557431
0.73163 0.00575166
0.736224 0.00547244
0.74119 0.00538043
0.746118 0.0050469
0.751313 0.00487494
0.756133 0.00463978
0.761156 0.00442406
0.766095 0.00444965
0.771205 0.00433402
0.776456 0.00402339
0.781432 0.00407402
0.786733 0.00403564
0.791574 0.00381693
0.797255 0.00374356
0.802676 0.00345965
0.808005 0.00346712
0.813482 0.00331346
0.818759 0.00319483
0.824173 0.00299535
0.829708 0.00301955
0.834919 0.00291073
0.840568 0.0028273
