#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.177503E+08   0.177503E+08   0.231168E+08   0.231158E+08   0.177500E+08   0.177503E+08   0.177503E+08   0.177551E+08  -0.502010E+00   0.108699E+08   0.108699E+08   0.495856E-01
   0.798228E-04   0.177500E+08   0.177500E+08   0.229814E+08   0.229802E+08   0.177496E+08   0.177500E+08   0.177500E+08   0.177548E+08  -0.502002E+00   0.108697E+08   0.108697E+08   0.553972E-01
   0.892035E-04   0.177497E+08   0.177497E+08   0.228133E+08   0.228119E+08   0.177492E+08   0.177497E+08   0.177497E+08   0.177545E+08  -0.501992E+00   0.108695E+08   0.108695E+08   0.618855E-01
   0.996866E-04   0.177494E+08   0.177494E+08   0.226051E+08   0.226033E+08   0.177486E+08   0.177493E+08   0.177494E+08   0.177541E+08  -0.501979E+00   0.108693E+08   0.108693E+08   0.691277E-01
   0.111402E-03   0.177489E+08   0.177489E+08   0.223474E+08   0.223452E+08   0.177479E+08   0.177489E+08   0.177489E+08   0.177536E+08  -0.501963E+00   0.108690E+08   0.108690E+08   0.772092E-01
   0.124493E-03   0.177483E+08   0.177483E+08   0.220294E+08   0.220268E+08   0.177471E+08   0.177483E+08   0.177483E+08   0.177529E+08  -0.501944E+00   0.108687E+08   0.108687E+08   0.862238E-01
   0.139124E-03   0.177476E+08   0.177476E+08   0.216382E+08   0.216350E+08   0.177460E+08   0.177476E+08   0.177476E+08   0.177521E+08  -0.501919E+00   0.108682E+08   0.108682E+08   0.962750E-01
   0.155474E-03   0.177467E+08   0.177467E+08   0.211587E+08   0.211547E+08   0.177447E+08   0.177467E+08   0.177467E+08   0.177511E+08  -0.501889E+00   0.108677E+08   0.108677E+08   0.107476E+00
   0.173745E-03   0.177456E+08   0.177456E+08   0.205736E+08   0.205688E+08   0.177430E+08   0.177455E+08   0.177456E+08   0.177499E+08  -0.501851E+00   0.108670E+08   0.108670E+08   0.119949E+00
   0.194163E-03   0.177442E+08   0.177442E+08   0.198639E+08   0.198583E+08   0.177409E+08   0.177441E+08   0.177442E+08   0.177483E+08  -0.501804E+00   0.108661E+08   0.108661E+08   0.133829E+00
   0.216981E-03   0.177425E+08   0.177425E+08   0.190096E+08   0.190029E+08   0.177383E+08   0.177424E+08   0.177425E+08   0.177464E+08  -0.501746E+00   0.108650E+08   0.108650E+08   0.149258E+00
   0.242480E-03   0.177404E+08   0.177404E+08   0.179906E+08   0.179830E+08   0.177350E+08   0.177402E+08   0.177404E+08   0.177440E+08  -0.501674E+00   0.108637E+08   0.108637E+08   0.166389E+00
   0.270976E-03   0.177377E+08   0.177377E+08   0.167897E+08   0.167810E+08   0.177310E+08   0.177375E+08   0.177377E+08   0.177411E+08  -0.501585E+00   0.108621E+08   0.108621E+08   0.185382E+00
   0.302821E-03   0.177345E+08   0.177344E+08   0.153953E+08   0.153857E+08   0.177260E+08   0.177342E+08   0.177345E+08   0.177374E+08  -0.501476E+00   0.108600E+08   0.108600E+08   0.206405E+00
   0.338408E-03   0.177304E+08   0.177304E+08   0.138071E+08   0.137969E+08   0.177197E+08   0.177301E+08   0.177304E+08   0.177330E+08  -0.501341E+00   0.108575E+08   0.108575E+08   0.229629E+00
   0.378178E-03   0.177254E+08   0.177253E+08   0.120419E+08   0.120317E+08   0.177120E+08   0.177249E+08   0.177253E+08   0.177275E+08  -0.501177E+00   0.108543E+08   0.108543E+08   0.255227E+00
   0.422621E-03   0.177191E+08   0.177191E+08   0.101412E+08   0.101316E+08   0.177024E+08   0.177186E+08   0.177191E+08   0.177208E+08  -0.500976E+00   0.108504E+08   0.108504E+08   0.283372E+00
   0.472287E-03   0.177115E+08   0.177115E+08   0.817721E+07   0.816920E+07   0.176906E+08   0.177109E+08   0.177115E+08   0.177126E+08  -0.500732E+00   0.108456E+08   0.108456E+08   0.314239E+00
   0.527790E-03   0.177022E+08   0.177021E+08   0.625549E+07   0.625007E+07   0.176760E+08   0.177014E+08   0.177021E+08   0.177027E+08  -0.500438E+00   0.108398E+08   0.108398E+08   0.348000E+00
   0.589815E-03   0.176907E+08   0.176907E+08   0.450788E+07   0.450586E+07   0.176581E+08   0.176897E+08   0.176907E+08   0.176907E+08  -0.500083E+00   0.108326E+08   0.108326E+08   0.384837E+00
   0.659130E-03   0.176768E+08   0.176767E+08   0.307107E+07   0.307256E+07   0.176362E+08   0.176755E+08   0.176768E+08   0.176762E+08  -0.499658E+00   0.108238E+08   0.108238E+08   0.424949E+00
   0.736590E-03   0.176599E+08   0.176598E+08   0.204735E+07   0.205140E+07   0.176093E+08   0.176583E+08   0.176599E+08   0.176587E+08  -0.499150E+00   0.108132E+08   0.108132E+08   0.468567E+00
   0.823153E-03   0.176394E+08   0.176394E+08   0.145512E+07   0.145961E+07   0.175766E+08   0.176375E+08   0.176394E+08   0.176378E+08  -0.498545E+00   0.108004E+08   0.108004E+08   0.515975E+00
   0.919889E-03   0.176148E+08   0.176147E+08   0.119404E+07   0.119636E+07   0.175367E+08   0.176124E+08   0.176148E+08   0.176127E+08  -0.497825E+00   0.107850E+08   0.107850E+08   0.567518E+00
   0.102799E-02   0.175853E+08   0.175852E+08   0.106622E+07   0.106502E+07   0.174885E+08   0.175824E+08   0.175853E+08   0.175826E+08  -0.496966E+00   0.107665E+08   0.107665E+08   0.623596E+00
   0.114880E-02   0.175500E+08   0.175499E+08   0.881588E+06   0.878445E+06   0.174301E+08   0.175463E+08   0.175500E+08   0.175465E+08  -0.495943E+00   0.107445E+08   0.107445E+08   0.684646E+00
   0.128381E-02   0.175079E+08   0.175077E+08   0.600214E+06   0.598833E+06   0.173598E+08   0.175034E+08   0.175079E+08   0.175035E+08  -0.494723E+00   0.107182E+08   0.107182E+08   0.751109E+00
   0.143468E-02   0.174578E+08   0.174575E+08   0.359954E+06   0.361852E+06   0.172754E+08   0.174522E+08   0.174577E+08   0.174523E+08  -0.493272E+00   0.106869E+08   0.106869E+08   0.823425E+00
   0.160328E-02   0.173984E+08   0.173980E+08   0.279624E+06   0.281171E+06   0.171750E+08   0.173915E+08   0.173983E+08   0.173916E+08  -0.491553E+00   0.106498E+08   0.106498E+08   0.902065E+00
   0.179170E-02   0.173280E+08   0.173276E+08   0.257859E+06   0.256228E+06   0.170550E+08   0.173196E+08   0.173279E+08   0.173197E+08  -0.489519E+00   0.106059E+08   0.106059E+08   0.987559E+00
