# in Mpc/h Units 
# D1 = 0.351357 
# k P N P(z=0)
0.020944 2990.03 6 24220.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 2381.72 12 19292.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 1941.74 8 15728.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 1623.25 6 13148.8
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 1448.67 24 11734.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 1355.37 24 10978.9
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 1242.93 12 10068.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 1198.66 30 9709.52
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 1104.84 24 8949.57
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 1080.32 24 8750.92
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 1068.49 8 8655.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 903.942 24 7322.23
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 868.512 48 7035.24
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 915.999 6 7419.9
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 739.647 48 5991.39
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 680.663 36 5513.59
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 692.142 24 5606.58
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 730.067 24 5913.78
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 613.115 48 4966.44
0 0 0 0
0 0 0 0
0.0982358 587.817 24 4761.52
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 603.71 24 4890.25
0 0 0 0
0 0 0 0
0.10472 534.655 30 4330.88
0 0 0 0
0 0 0 0
0.106794 511.577 72 4143.94
0 0 0 0
0 0 0 0
0.108828 478.406 32 3875.25
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 513.087 72 4156.17
0 0 0 0
0 0 0 0
0.114715 492.974 48 3993.26
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 503.022 12 4074.65
0 0 0 0
0.120314 505.93 48 4098.2
0 0 0 0
0.122123 478.737 48 3877.93
0 0 0 0
0.123906 451.895 48 3660.5
0 0 0 0
0 0 0 0
0.125664 413.453 30 3349.1
0 0 0 0
0.127397 431.526 24 3495.5
0 0 0 0
0.129107 401.207 72 3249.91
0 0 0 0
0 0 0 0
0.132461 330.547 24 2677.54
0 0 0 0
0.134107 408.793 96 3311.36
0 0 0 0
0.135732 397.147 48 3217.03
0 0 0 0
0.137339 385.534 24 3122.96
0 0 0 0
0.138926 411.179 24 3330.69
0.140496 347.301 72 2813.26
0 0 0 0
0.142049 337.916 48 2737.24
0 0 0 0
0 0 0 0
0.145104 198.4 8 1607.11
0 0 0 0
0.146608 326.616 54 2645.7
0.148096 327.195 84 2650.39
0 0 0 0
0.14957 322.44 48 2611.87
0.151029 327.352 24 2651.66
0 0 0 0
0.152474 329.573 72 2669.65
0.153906 309.441 96 2506.57
0 0 0 0
0 0 0 0
0.15673 290.249 48 2351.11
0.158123 288.157 48 2334.17
0.159504 282.993 24 2292.34
0 0 0 0
0.160874 268.391 72 2174.06
0 0 0 0
0.163577 303.865 72 2461.4
0 0 0 0
0.164913 258.716 96 2095.68
0 0 0 0
0.167552 253.163 6 2050.7
0.168856 244.373 96 1979.5
0.170149 267.909 96 2170.15
0.171434 257.754 24 2087.89
0.172708 250.118 48 2026.04
0 0 0 0
0.173974 226.304 96 1833.14
0.17523 244.366 48 1979.44
0 0 0 0
0.177715 287.174 36 2326.2
0.178945 205.207 48 1662.25
0.180167 241.428 120 1955.65
0.18138 255.7 56 2071.26
0.182585 210.121 24 1702.05
0.183782 225.278 96 1824.83
0.184972 233.722 48 1893.22
0 0 0 0
0.187328 207.832 24 1683.51
0.188496 248.446 102 2012.5
0.190347 206.809 120 1675.22
0.191954 236.644 48 1916.89
0.193094 197.048 48 1596.15
0.194226 210.557 120 1705.58
0 0 0 0
0.196472 213.283 24 1727.66
0.197585 220.056 144 1782.52
0.199006 227.895 168 1846.02
0 0 0 0
0.201976 221.527 48 1794.44
0.203059 183.04 96 1482.69
0.205208 184.684 24 1496
0.206274 201.939 48 1635.78
0.207335 181.218 108 1467.92
0.20839 202.384 72 1639.38
0.210326 191.652 198 1552.45
0.211524 210.158 48 1702.35
0.213587 158.791 72 1286.26
0.214612 164.392 96 1331.63
0.215631 174.669 72 1414.88
0.216957 169.325 104 1371.59
0.218661 160.206 72 1297.72
0.219662 184.307 144 1492.95
0 0 0 0
0.223129 153.515 192 1243.53
0.224599 147.969 48 1198.6
0.22618 168.827 192 1367.55
0.22751 181.746 72 1472.2
0.229429 142.527 48 1154.52
0.230383 163.793 78 1326.78
0.231604 160.282 168 1298.34
