# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 24301.6 6 24301.6
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 19569.3 12 19569.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 15880.4 8 15880.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 12765 6 12765
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 11214.4 24 11214.4
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 10595.2 24 10595.2
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 9714.23 12 9714.23
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 9799.17 30 9799.17
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 8372.39 24 8372.39
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 8654.27 24 8654.27
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 8679.25 8 8679.25
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 6552.67 24 6552.67
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 6510.48 48 6510.48
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 8233.18 6 8233.18
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 5558.04 48 5558.04
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 4755.87 36 4755.87
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 5570.16 24 5570.16
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 6978.31 24 6978.31
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 4658.97 48 4658.97
0 0 0 0
0 0 0 0
0.0982358 4718.43 24 4718.43
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 5072.14 24 5072.14
0 0 0 0
0 0 0 0
0.10472 4292.48 30 4292.48
0 0 0 0
0 0 0 0
0.106794 3939.62 72 3939.62
0 0 0 0
0 0 0 0
0.108828 3603.29 32 3603.29
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 3943.3 72 3943.3
0 0 0 0
0 0 0 0
0.114715 4232.66 48 4232.66
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 4273.12 12 4273.12
0 0 0 0
0.120314 4148.97 48 4148.97
0 0 0 0
0.122123 3673.28 48 3673.28
0 0 0 0
0.123906 3564.05 48 3564.05
0 0 0 0
0 0 0 0
0.125664 2889.16 30 2889.16
0 0 0 0
0.127397 3223.51 24 3223.51
0 0 0 0
0.129107 2984.61 72 2984.61
0 0 0 0
0 0 0 0
0.132461 2164.12 24 2164.12
0 0 0 0
0.134107 3439.28 96 3439.28
0 0 0 0
0.135732 3215.07 48 3215.07
0 0 0 0
0.137339 2895.94 24 2895.94
0 0 0 0
0.138926 3223.03 24 3223.03
0.140496 2632.7 72 2632.7
0 0 0 0
0.142049 2635.81 48 2635.81
0 0 0 0
0 0 0 0
0.145104 541.694 8 541.694
0 0 0 0
0.146608 2573.69 54 2573.69
0.148096 2485.44 84 2485.44
0 0 0 0
0.14957 2778.58 48 2778.58
0.151029 3282.69 24 3282.69
0 0 0 0
0.152474 2828.52 72 2828.52
0.153906 2653.89 96 2653.89
0 0 0 0
0 0 0 0
0.15673 2090.45 48 2090.45
0.158123 2565.44 48 2565.44
0.159504 2859.8 24 2859.8
0 0 0 0
0.160874 1968.72 72 1968.72
0 0 0 0
0.163577 2883.28 72 2883.28
0 0 0 0
0.164913 1966.7 96 1966.7
0 0 0 0
0.167552 1951.75 6 1951.75
0.168856 1839.94 96 1839.94
0.170149 2498.98 96 2498.98
0.171434 2209.67 24 2209.67
0.172708 2109.82 48 2109.82
0 0 0 0
0.173974 2129.97 96 2129.97
0.17523 2511.4 48 2511.4
0 0 0 0
0.177715 2782.82 36 2782.82
0.178945 1605.13 48 1605.13
0.180167 1943.3 120 1943.3
0.18138 2231.96 56 2231.96
0.182585 1190.05 24 1190.05
0.183782 1605.16 96 1605.16
0.184972 2204.48 48 2204.48
0 0 0 0
0.187328 1755.05 24 1755.05
0.188496 2002.77 102 2002.77
0.190347 1542.36 120 1542.36
0.191954 1926.11 48 1926.11
