# in Mpc/h Units 
# (k P_nu(k))
# a= 0.532477
# nk = 757
0.020944 2815.07
0.0296192 1370.96
0.036276 792.438
0.0418879 504.24
0.0468321 357.954
0.051302 275.229
0.0592384 181.769
0.0628319 152.679
0.0662306 122.536
0.0694632 106.989
0.072552 95.2366
0.0755145 70.8009
0.0783651 61.9545
0.0837758 56.9839
0.0863541 40.5637
0.0888577 34.0457
0.0912926 32.9835
0.0936642 33.5724
0.0959772 25.0232
0.0982358 22.5573
0.102604 20.9016
0.10472 16.9745
0.106794 15.1703
0.108828 13.2244
0.112787 13.0666
0.114715 11.9789
0.118477 11.2078
0.120314 10.746
0.122123 9.52169
0.123906 8.52338
0.125664 7.21364
0.127397 7.42758
0.129107 6.49026
0.132461 4.59235
0.134107 6.10343
0.135732 5.64957
0.137339 5.2138
0.138926 5.55638
0.140496 4.31131
0.142049 4.08228
0.145104 1.55187
0.146608 3.59504
0.148096 3.49673
0.14957 3.43528
0.151029 3.48635
0.152474 3.32269
0.153906 2.98334
0.15673 2.51742
0.158123 2.55389
0.159504 2.50564
0.160874 2.1515
0.163577 2.52882
0.164913 1.90505
0.167552 1.83342
0.168856 1.6362
0.170149 1.90734
0.171434 1.73064
0.172708 1.63071
0.173974 1.451
0.17523 1.59015
0.177715 1.84824
0.178945 1.09374
0.180167 1.33598
0.18138 1.45007
0.182585 1.00545
0.183782 1.12645
0.184972 1.24483
0.187328 0.983415
0.188496 1.21376
0.190347 0.908204
0.191954 1.09224
0.193094 0.849242
0.194226 0.93502
0.196472 0.864128
0.197585 0.910439
0.199006 0.951628
0.201976 0.874734
0.203059 0.641698
0.205208 0.650767
0.206274 0.759547
0.207335 0.626801
0.20839 0.71386
0.210326 0.654341
0.211524 0.763011
0.213587 0.471659
0.214612 0.508938
0.215631 0.55298
0.216957 0.529206
0.218661 0.429246
0.219662 0.577064
0.223129 0.406288
0.224599 0.389152
0.22618 0.456112
0.22751 0.509077
0.229429 0.383146
0.230383 0.412927
0.231604 0.392604
0.23416 0.323373
0.235095 0.3287
0.236954 0.39963
0.238108 0.355207
0.239975 0.329232
0.241537 0.273653
0.242444 0.298381
0.244844 0.255652
0.246417 0.248788
0.248401 0.265274
0.249576 0.22462
0.251327 0.202579
0.252777 0.254124
0.254191 0.245784
0.25601 0.23662
0.258214 0.209153
0.2594 0.195308
0.26075 0.138447
0.262904 0.182671
0.265657 0.19275
0.266722 0.144109
0.268622 0.150606
0.269844 0.196703
0.271964 0.169615
0.273543 0.161697
0.275842 0.139229
0.277853 0.180077
0.279641 0.147583
0.28148 0.155189
0.282936 0.128929
0.285198 0.140825
0.286404 0.115378
0.288084 0.122628
0.291553 0.110548
0.292736 0.120802
0.294335 0.111752
0.296659 0.0989332
0.298323 0.0894542
0.300394 0.102267
0.302928 0.0871327
0.304588 0.0857767
0.305974 0.0939954
0.308578 0.0838807
0.310884 0.0761624
0.312408 0.070631
0.314799 0.0740033
0.317265 0.0788481
0.319597 0.064704
0.320771 0.0613295
0.3227 0.0635897
0.32574 0.0639946
0.32795 0.0620428
0.330224 0.0637132
0.331726 0.0534752
0.333831 0.0569873
0.336246 0.053296
0.338319 0.056673
0.341157 0.052461
0.343593 0.0427154
0.346262 0.0427377
0.347842 0.0384456
0.350326 0.0448541
0.352828 0.0367908
0.354442 0.0389612
0.356776 0.0388692
0.359142 0.0383188
0.361681 0.0344679
0.363857 0.0337472
0.366441 0.0306006
0.368657 0.0324603
0.371486 0.0334181
0.374587 0.0278261
0.376839 0.0289048
0.379079 0.0282277
0.38178 0.0223848
0.384712 0.0258482
0.386663 0.0224811
0.389313 0.0234988
0.39167 0.0239773
0.394428 0.0237647
0.397811 0.0209975
0.400019 0.0247278
0.402781 0.0212635
0.405015 0.0204909
0.40766 0.0213932
0.410865 0.0178857
0.413244 0.018661
0.416084 0.0165518
0.418986 0.0173135
0.421544 0.0162135
0.424534 0.0156691
0.42751 0.0140103
0.430034 0.015937
0.432751 0.0148115
0.436344 0.0117376
0.438896 0.0145167
0.44171 0.0120573
0.444585 0.0122438
0.447784 0.0117241
0.45034 0.0107612
0.453413 0.0103877
0.456575 0.00939225
0.459787 0.00992874
0.462622 0.00956536
0.465862 0.00960746
0.468802 0.00957516
0.471915 0.00849025
0.475472 0.00807947
0.478779 0.0085261
0.481919 0.00819675
0.484939 0.00760513
0.488502 0.00721652
0.491034 0.0070362
0.494348 0.0067001
0.497688 0.00631125
0.500527 0.00680681
0.504331 0.00603122
0.507364 0.00604854
0.510774 0.00586814
0.514275 0.00561456
0.517978 0.00524755
0.521294 0.00523586
0.524822 0.0047122
0.527973 0.00469865
0.531698 0.00464041
0.535226 0.00451275
0.539103 0.00421178
0.543 0.00401176
0.546011 0.0040701
0.549827 0.00378041
0.55369 0.00365273
0.557166 0.00367653
0.560475 0.00361775
0.564609 0.00346144
0.56859 0.00311959
0.572441 0.00306802
0.5763 0.00289658
0.580121 0.00293037
0.583625 0.00278984
0.587525 0.00274092
0.591428 0.0025447
0.595301 0.00252066
0.599624 0.00249153
0.603294 0.00235974
0.60771 0.00220006
0.611568 0.00234256
0.615779 0.00212321
0.619303 0.0020785
0.623194 0.00193885
0.627636 0.00191721
0.631826 0.00186315
0.635971 0.00174844
0.64039 0.00181717
0.644956 0.00164266
0.649302 0.00165521
0.653461 0.00161123
0.657644 0.0015178
0.662026 0.00147629
0.666685 0.00134583
0.670916 0.00142358
0.675462 0.00136538
0.679703 0.00129236
0.684292 0.00126706
0.688927 0.00117581
0.693468 0.00112803
0.698026 0.00107201
0.702952 0.00105713
0.707372 0.00102101
0.712317 0.00101666
0.716936 0.00096263
0.721869 0.000928047
0.726964 0.000887639
0.73163 0.000852555
0.736224 0.000821843
0.74119 0.000789397
0.746118 0.000774786
0.751313 0.000711599
0.756133 0.000747283
0.761156 0.000709385
0.766095 0.000690165
0.771205 0.000660722
0.776456 0.000648517
0.781432 0.000606551
0.786733 0.000585488
0.791574 0.000574267
0.797255 0.000553386
0.802676 0.000521658
0.808005 0.000530448
0.813482 0.000498232
0.818759 0.000504315
0.824173 0.00045276
0.829708 0.000449589
0.834919 0.000446757
0.840568 0.000420285
0.846479 0.000405485
0.851948 0.000387498
0.857592 0.00037296
0.863369 0.000378186
0.869182 0.000350568
0.874831 0.000344631
0.880682 0.000334002
0.886294 0.000326117
0.892352 0.000310086
0.898399 0.000314682
0.904229 0.00028536
0.910231 0.000279259
0.916513 0.000265535
0.922651 0.000257323
0.92895 0.000253948
0.935092 0.000236399
0.940995 0.000230892
0.947406 0.000228697
0.953652 0.000217446
0.960017 0.000206438
0.966595 0.000208358
0.972908 0.00019594
0.979222 0.000188551
0.985855 0.00018647
0.992666 0.00017929
0.998881 0.000170711
1.00551 0.000160761
1.01216 0.000163288
1.01908 0.000159052
1.02599 0.000150274
1.03271 0.000145709
1.03948 0.000141722
1.04641 0.00013483
1.05346 0.000132422
1.06036 0.000127318
1.0676 0.000123477
1.07471 0.000120021
1.08175 0.000113441
1.08895 0.000110864
1.09637 0.000111035
1.10369 0.000106236
1.11092 0.000100302
1.1181 9.91651e-05
1.12573 9.32821e-05
1.1332 9.15363e-05
1.14081 9.0508e-05
1.14829 8.455e-05
1.15605 8.45723e-05
1.16374 7.99603e-05
1.1717 7.68421e-05
1.17935 7.32111e-05
1.18713 7.1223e-05
1.195 6.87292e-05
1.20281 6.69704e-05
1.21088 6.57875e-05
1.21904 6.36155e-05
1.22715 6.08598e-05
1.23533 5.8019e-05
1.24354 5.70009e-05
1.25174 5.42058e-05
1.26013 5.22849e-05
1.26845 5.16995e-05
1.27706 4.97946e-05
1.28545 4.81768e-05
1.29387 4.65526e-05
1.3027 4.46319e-05
1.31143 4.32274e-05
1.3202 4.2157e-05
1.32891 4.00582e-05
1.33775 3.8524e-05
1.34663 3.78307e-05
1.35548 3.60281e-05
1.3645 3.50003e-05
1.37362 3.48211e-05
1.38289 3.28579e-05
1.39214 3.11997e-05
1.40146 3.06398e-05
1.41076 2.94413e-05
1.42016 2.88296e-05
1.42955 2.81757e-05
1.43897 2.68099e-05
1.44856 2.57924e-05
1.45815 2.484e-05
1.46783 2.41174e-05
1.47755 2.30581e-05
1.48753 2.24295e-05
1.4975 2.17968e-05
1.50759 2.11481e-05
1.51744 2.0584e-05
1.52762 1.98092e-05
1.53782 1.90991e-05
1.54798 1.84147e-05
1.55817 1.81697e-05
1.56867 1.74972e-05
1.579 1.68839e-05
1.58955 1.61563e-05
1.60018 1.55562e-05
1.61084 1.53971e-05
1.62148 1.45013e-05
1.63242 1.41621e-05
1.64322 1.36892e-05
1.65411 1.32594e-05
1.66512 1.27407e-05
1.67627 1.22879e-05
1.68736 1.20895e-05
1.69863 1.15594e-05
1.70994 1.11041e-05
1.72135 1.06688e-05
1.73279 1.04232e-05
1.74428 9.99736e-06
1.75588 9.65674e-06
1.76756 9.334e-06
1.77941 9.10504e-06
1.79124 8.75862e-06
1.80325 8.45087e-06
1.81507 8.28694e-06
1.82722 7.9314e-06
1.83948 7.69685e-06
1.85166 7.38799e-06
1.86408 7.15919e-06
1.87633 6.94715e-06
1.88886 6.7073e-06
1.90144 6.4533e-06
1.914 6.28388e-06
1.92679 5.98242e-06
1.93957 5.82297e-06
1.95256 5.63797e-06
1.96563 5.48111e-06
1.97869 5.27728e-06
1.99179 5.09594e-06
2.00509 4.89412e-06
2.01846 4.78351e-06
2.03193 4.63714e-06
2.04528 4.45485e-06
2.05892 4.28331e-06
2.07279 4.11304e-06
2.0865 4.01034e-06
2.10039 3.8435e-06
2.11443 3.72126e-06
2.12845 3.6331e-06
2.14263 3.48589e-06
2.15695 3.39858e-06
2.17119 3.25079e-06
2.18567 3.14571e-06
2.20036 3.05132e-06
2.21494 2.95445e-06
2.22958 2.81591e-06
2.24445 2.71728e-06
2.25936 2.63846e-06
2.27439 2.55621e-06
2.28969 2.46983e-06
2.30493 2.37531e-06
2.32027 2.30413e-06
2.33573 2.2159e-06
2.35122 2.13023e-06
2.3669 2.06763e-06
2.38266 1.99687e-06
2.39847 1.92197e-06
2.41442 1.87122e-06
2.43055 1.78921e-06
2.44673 1.73516e-06
2.4629 1.67815e-06
2.47932 1.62501e-06
2.4959 1.56154e-06
2.51254 1.50598e-06
2.52927 1.45209e-06
2.54604 1.40923e-06
2.56299 1.35925e-06
2.58009 1.31418e-06
2.5973 1.2716e-06
2.61455 1.21879e-06
2.63195 1.18197e-06
2.64948 1.13154e-06
2.66707 1.09519e-06
2.68485 1.06345e-06
2.70286 1.02277e-06
2.72085 9.82883e-07
2.73892 9.52142e-07
2.75712 9.16667e-07
2.77543 8.87499e-07
2.79389 8.52616e-07
2.81251 8.28361e-07
2.83127 7.96582e-07
2.85007 7.66777e-07
2.86897 7.42414e-07
2.88818 7.14904e-07
2.90739 6.90265e-07
2.92669 6.67942e-07
2.94616 6.44283e-07
2.96573 6.20345e-07
2.98548 5.98363e-07
3.00539 5.76499e-07
3.02539 5.53496e-07
3.04557 5.33442e-07
3.06592 5.16927e-07
3.0863 5.00873e-07
3.10684 4.8209e-07
3.12756 4.66797e-07
3.1484 4.4708e-07
3.16935 4.31694e-07
3.19042 4.1592e-07
3.21172 3.9956e-07
3.2331 3.84632e-07
3.25451 3.73585e-07
3.27615 3.59968e-07
3.2979 3.45827e-07
3.31984 3.3472e-07
3.34198 3.21193e-07
3.3643 3.10048e-07
3.38673 2.99644e-07
3.40918 2.89486e-07
3.43196 2.78223e-07
3.45493 2.69478e-07
3.47788 2.576e-07
3.50098 2.49073e-07
3.52428 2.41091e-07
3.54776 2.31769e-07
3.5713 2.23128e-07
3.59506 2.15606e-07
3.61902 2.07597e-07
3.64313 2.00272e-07
3.66736 1.92519e-07
3.69182 1.85627e-07
3.71639 1.79086e-07
3.7411 1.71763e-07
3.76602 1.6632e-07
3.7911 1.5946e-07
3.81637 1.53538e-07
3.8418 1.48567e-07
3.8673 1.42983e-07
3.89298 1.37708e-07
3.91895 1.32476e-07
3.94503 1.2813e-07
3.97125 1.23139e-07
3.99772 1.18268e-07
4.02443 1.13986e-07
4.05121 1.09906e-07
4.07809 1.05983e-07
4.10526 1.02049e-07
4.13259 9.84976e-08
4.16008 9.47285e-08
4.18785 9.11923e-08
4.21573 8.78454e-08
4.24371 8.46172e-08
4.27197 8.11548e-08
4.30044 7.83742e-08
4.32905 7.53784e-08
4.35788 7.26463e-08
4.38688 6.98789e-08
4.41605 6.73004e-08
4.44546 6.5018e-08
4.47509 6.23311e-08
4.50493 6.00962e-08
4.53494 5.80007e-08
4.56506 5.55123e-08
4.59545 5.35435e-08
4.62609 5.1548e-08
4.65691 4.96074e-08
4.68789 4.75603e-08
4.71906 4.59401e-08
4.75048 4.4301e-08
4.78209 4.27006e-08
4.8139 4.09271e-08
4.84595 3.94058e-08
4.87821 3.80055e-08
4.91071 3.64894e-08
4.94338 3.52894e-08
4.97629 3.38659e-08
5.00945 3.25356e-08
5.04276 3.13308e-08
5.07626 3.02426e-08
5.1101 2.90976e-08
5.14418 2.79596e-08
5.1784 2.69105e-08
5.21287 2.59356e-08
5.24757 2.49456e-08
5.2825 2.39951e-08
5.31768 2.31009e-08
5.35308 2.22429e-08
5.38871 2.14197e-08
5.42459 2.06254e-08
5.46071 1.9785e-08
5.49705 1.90229e-08
5.53363 1.83113e-08
5.57046 1.76428e-08
5.60749 1.69697e-08
5.64482 1.63349e-08
5.68244 1.57173e-08
5.72029 1.51186e-08
5.7584 1.45513e-08
5.79671 1.39758e-08
5.83528 1.34526e-08
5.87416 1.29385e-08
5.91325 1.24818e-08
5.95258 1.19921e-08
5.99221 1.15188e-08
6.03213 1.11152e-08
6.07232 1.06926e-08
6.11272 1.02629e-08
6.15341 9.87135e-09
6.1944 9.49532e-09
6.23563 9.12921e-09
6.27716 8.79662e-09
6.31895 8.45487e-09
6.36099 8.13478e-09
6.40334 7.82579e-09
6.44597 7.52682e-09
6.48883 7.2454e-09
6.53202 6.96172e-09
6.57553 6.69692e-09
6.61931 6.43847e-09
6.66339 6.19103e-09
6.70776 5.96786e-09
6.7524 5.72695e-09
6.79737 5.50969e-09
6.84263 5.28867e-09
6.88816 5.09579e-09
6.93399 4.90571e-09
6.98015 4.71828e-09
7.02663 4.53996e-09
7.0734 4.36069e-09
7.12047 4.19678e-09
7.16789 4.04042e-09
7.21564 3.88349e-09
7.26365 3.73369e-09
7.312 3.59276e-09
7.36069 3.45576e-09
7.40968 3.32529e-09
7.459 3.19765e-09
7.50862 3.07318e-09
7.5586 2.96108e-09
7.60894 2.84918e-09
7.65961 2.74024e-09
7.7106 2.63413e-09
7.76192 2.53266e-09
7.81363 2.43521e-09
7.86566 2.34495e-09
7.91801 2.2531e-09
7.97072 2.16954e-09
8.02376 2.08954e-09
8.07717 2.01286e-09
8.13095 1.93456e-09
8.18507 1.86292e-09
8.23956 1.79339e-09
8.29442 1.72589e-09
8.34962 1.66229e-09
8.40521 1.60006e-09
8.46119 1.54126e-09
8.51752 1.48368e-09
8.57417 1.42712e-09
8.63126 1.37616e-09
8.68876 1.32281e-09
8.74657 1.27578e-09
8.80479 1.22624e-09
8.86345 1.18246e-09
8.92244 1.13983e-09
8.98183 1.09896e-09
9.04164 1.05839e-09
9.10181 1.02069e-09
9.1624 9.83919e-10
9.22341 9.49438e-10
9.28477 9.15237e-10
9.34659 8.83052e-10
9.40883 8.53593e-10
9.47148 8.23483e-10
9.53453 7.95111e-10
9.59797 7.68239e-10
9.66188 7.42251e-10
9.72619 7.17363e-10
9.79093 6.94298e-10
9.85612 6.71565e-10
9.92173 6.49975e-10
9.98778 6.29578e-10
10.0543 6.09617e-10
10.1212 5.9068e-10
10.1886 5.72873e-10
10.2564 5.56268e-10
10.3247 5.40408e-10
10.3934 5.24889e-10
10.4626 5.1006e-10
10.5323 4.96185e-10
10.6024 4.83356e-10
10.6729 4.71068e-10
10.7439 4.5782e-10
10.8154 4.41629e-10
10.8874 4.25759e-10
10.9599 4.11031e-10
11.0329 3.96886e-10
11.1063 3.82736e-10
11.1802 3.69578e-10
11.2546 3.56875e-10
11.3296 3.44423e-10
11.405 3.32623e-10
11.4809 3.21115e-10
11.5573 3.10406e-10
11.6343 3.00119e-10
11.7117 2.89587e-10
