# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.020944 8640.11
0.0296192 4562.84
0.036276 2774.88
0.0418879 1816.55
0.0468321 1325.74
0.051302 1049.95
0.0592384 724.866
0.0628319 626.345
0.0662306 500.151
0.0694632 450.396
0.072552 409.443
0.0755145 296.089
0.0783651 264.987
0.0837758 265.54
0.0863541 179.272
0.0888577 148.41
0.0912926 151.985
0.0936642 165.323
0.0959772 114.918
0.0982358 106.129
0.102604 101.809
0.10472 81.4844
0.106794 72.2299
0.108828 62.7237
0.112787 63.5231
0.114715 60.5102
0.118477 57.2355
0.120314 54.5625
0.122123 47.393
0.123906 42.8997
0.125664 34.9063
0.127397 37.1706
0.129107 32.3857
0.132461 21.8189
0.134107 32.3522
0.135732 29.5895
0.137339 26.664
0.138926 29.1699
0.140496 22.2842
0.142049 21.4602
0.145104 5.07775
0.146608 19.1515
0.148096 18.4216
0.14957 19.0982
0.151029 20.6132
0.152474 18.494
0.153906 16.6144
0.15673 13.1117
0.158123 14.5728
0.159504 15.1634
0.160874 11.4317
0.163577 15.0321
0.164913 10.3248
0.167552 10.1331
0.168856 8.88468
0.170149 11.3971
0.171434 9.97727
0.172708 9.39526
0.173974 8.86293
0.17523 10.0349
0.177715 11.3752
0.178945 6.16866
0.180167 7.62115
0.18138 8.59326
0.182585 4.9634
0.183782 6.16495
0.184972 7.70972
0.187328 5.83679
0.188496 7.00423
0.190347 5.11971
0.191954 6.36683
0.193094 4.99985
0.194226 5.84406
0.196472 5.04459
0.197585 5.4097
0.199006 5.78149
0.201976 5.23362
0.203059 3.70489
0.205208 3.76973
0.206274 4.97206
0.207335 3.89303
0.20839 4.27537
0.210326 4.16154
0.211524 5.27095
0.213587 3.06238
0.214612 3.15392
0.215631 3.54129
0.216957 3.42761
0.218661 2.48996
0.219662 3.89077
0.223129 2.53532
0.224599 2.52945
0.22618 2.9084
0.22751 3.45367
0.229429 2.71332
0.230383 2.76187
0.231604 2.55143
0.23416 1.99874
0.235095 2.24996
0.236954 2.72825
0.238108 2.43335
0.239975 2.14468
0.241537 1.77018
0.242444 2.19106
0.244844 1.71386
0.246417 1.73235
0.248401 1.76039
0.249576 1.71554
0.251327 1.43436
0.252777 1.88333
0.254191 1.64792
0.25601 1.57349
0.258214 1.69766
0.2594 1.38953
0.26075 0.914313
0.262904 1.32317
0.265657 1.42567
0.266722 0.953388
0.268622 1.0514
0.269844 1.46979
0.271964 1.23739
0.273543 1.13742
0.275842 1.0539
0.277853 1.10477
0.279641 1.10478
0.28148 1.09307
0.282936 1.03587
0.285198 1.00828
0.286404 0.815305
0.288084 0.90223
0.291553 0.835987
0.292736 0.829744
0.294335 0.80211
0.296659 0.803418
0.298323 0.703749
0.300394 0.81086
0.302928 0.650238
0.304588 0.578212
0.305974 0.60514
0.308578 0.639189
0.310884 0.604164
0.312408 0.599863
0.314799 0.609234
0.317265 0.610176
0.319597 0.526491
0.320771 0.470994
0.3227 0.491445
0.32574 0.488012
0.32795 0.516547
0.330224 0.485959
0.331726 0.405342
0.333831 0.441329
0.336246 0.449472
0.338319 0.446146
0.341157 0.43457
0.343593 0.374667
0.346262 0.376127
0.347842 0.336055
0.350326 0.364813
0.352828 0.325674
0.354442 0.356466
0.356776 0.310927
0.359142 0.323122
0.361681 0.278487
0.363857 0.273505
0.366441 0.270199
0.368657 0.264761
0.371486 0.25117
0.374587 0.237494
