#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.152586E+08   0.152586E+08   0.199490E+08   0.199483E+08   0.152585E+08   0.152586E+08   0.152586E+08   0.152639E+08  -0.539472E+00   0.112810E+08   0.112810E+08   0.613811E-01
   0.798228E-04   0.152584E+08   0.152584E+08   0.198514E+08   0.198504E+08   0.152582E+08   0.152584E+08   0.152584E+08   0.152637E+08  -0.539464E+00   0.112809E+08   0.112809E+08   0.685775E-01
   0.892035E-04   0.152582E+08   0.152582E+08   0.197301E+08   0.197289E+08   0.152578E+08   0.152582E+08   0.152582E+08   0.152634E+08  -0.539453E+00   0.112807E+08   0.112807E+08   0.766127E-01
   0.996866E-04   0.152579E+08   0.152579E+08   0.195796E+08   0.195781E+08   0.152573E+08   0.152579E+08   0.152579E+08   0.152630E+08  -0.539440E+00   0.112805E+08   0.112805E+08   0.855829E-01
   0.111402E-03   0.152575E+08   0.152575E+08   0.193931E+08   0.193912E+08   0.152567E+08   0.152575E+08   0.152575E+08   0.152626E+08  -0.539424E+00   0.112802E+08   0.112802E+08   0.955943E-01
   0.124493E-03   0.152570E+08   0.152570E+08   0.191625E+08   0.191603E+08   0.152559E+08   0.152570E+08   0.152570E+08   0.152620E+08  -0.539403E+00   0.112798E+08   0.112798E+08   0.106764E+00
   0.139124E-03   0.152564E+08   0.152564E+08   0.188782E+08   0.188754E+08   0.152550E+08   0.152564E+08   0.152564E+08   0.152613E+08  -0.539378E+00   0.112794E+08   0.112794E+08   0.119222E+00
   0.155474E-03   0.152557E+08   0.152557E+08   0.185286E+08   0.185252E+08   0.152538E+08   0.152556E+08   0.152557E+08   0.152605E+08  -0.539346E+00   0.112788E+08   0.112788E+08   0.133108E+00
   0.173745E-03   0.152548E+08   0.152548E+08   0.181005E+08   0.180964E+08   0.152523E+08   0.152547E+08   0.152548E+08   0.152594E+08  -0.539306E+00   0.112781E+08   0.112781E+08   0.148579E+00
   0.194163E-03   0.152536E+08   0.152536E+08   0.175789E+08   0.175740E+08   0.152505E+08   0.152535E+08   0.152536E+08   0.152581E+08  -0.539257E+00   0.112773E+08   0.112773E+08   0.165803E+00
