# in Mpc/h Units 
# D1 = 0.917541 
# k P N P(z=0)
0.020944 20380.9 6 24208.8
0.0296192 16389.9 12 19468.2
0.036276 13312 8 15812.2
0.0418879 10743.1 6 12760.8
0.0468321 9459.33 24 11235.9
0.051302 8930.98 24 10608.4
0.0592384 8199.93 12 9740
0.0628319 8203.8 30 9744.59
0.0662306 7081.75 24 8411.8
0.0694632 7267.52 24 8632.47
0.072552 7302.23 8 8673.7
0.0755145 5552.51 24 6595.35
0.0783651 5499.29 48 6532.14
0.0837758 6865.78 6 8155.27
0.0863541 4701.71 48 5584.77
0.0888577 4064.29 36 4827.62
0.0912926 4684.5 24 5564.31
0.0936642 5756.24 24 6837.35
0.0959772 3944.02 48 4684.76
0.0982358 3955.23 24 4698.08
0.102604 4266.33 24 5067.61
0.10472 3593.4 30 4268.3
0.106794 3313.83 72 3936.21
0.108828 3025.28 32 3593.47
0.112787 3345.25 72 3973.54
0.114715 3495.32 48 4151.79
0.118477 3563.99 12 4233.36
0.120314 3492.21 48 4148.1
0.122123 3113.12 48 3697.81
0.123906 2984.78 48 3545.37
0.125664 2453.93 30 2914.81
0.127397 2740.93 24 3255.72
0.129107 2507.95 72 2978.98
0.132461 1807.46 24 2146.92
0.134107 2862.06 96 3399.59
0.135732 2685.56 48 3189.95
0.137339 2449.69 24 2909.77
0.138926 2756.38 24 3274.07
0.140496 2211.49 72 2626.84
0.142049 2211.48 48 2626.83
0.145104 469.26 8 557.394
0.146608 2162.62 54 2568.79
0.148096 2109.82 84 2506.07
0.14957 2318.14 48 2753.52
0.151029 2672.13 24 3174
0.152474 2365.84 72 2810.18
0.153906 2200.99 96 2614.37
0.15673 1771.18 48 2103.84
0.158123 2112.8 48 2509.61
0.159504 2319.57 24 2755.22
0.160874 1674.05 72 1988.46
0.163577 2401.49 72 2852.52
0.164913 1652.88 96 1963.31
0.167552 1675.38 6 1990.04
0.168856 1535.77 96 1824.21
0.170149 2063.42 96 2450.95
0.171434 1830.91 24 2174.78
0.172708 1759.53 48 2090
0.173974 1743.55 96 2071.01
0.17523 2036.06 48 2418.46
0.177715 2328.82 36 2766.21
0.178945 1310.48 48 1556.61
0.180167 1621.14 120 1925.61
0.18138 1867.96 56 2218.79
0.182585 1040.59 24 1236.03
0.183782 1367.04 96 1623.79
0.184972 1814.95 48 2155.82
0.187328 1435.17 24 1704.72
0.188496 1693.8 102 2011.93
0.190347 1290.26 120 1532.59
0.191954 1629.6 48 1935.66
0.193094 1320.92 48 1569.01
0.194226 1604.6 120 1905.97
0.196472 1418.76 24 1685.23
0.197585 1533.78 144 1821.84
0.199006 1677.91 168 1993.05
0.201976 1578.72 48 1875.23
0.203059 1158.98 96 1376.65
0.205208 1188.64 24 1411.89
0.206274 1654.78 48 1965.57
0.207335 1309.81 108 1555.82
0.20839 1420.54 72 1687.33
0.210326 1465.85 198 1741.16
0.211524 1912.17 48 2271.3
0.213587 1172.54 72 1392.76
0.214612 1170.02 96 1389.77
0.215631 1334.09 72 1584.65
0.216957 1324.5 104 1573.26
0.218661 990.615 72 1176.67
0.219662 1570.23 144 1865.14
0.223129 1080.02 192 1282.86
0.224599 1102.15 48 1309.15
0.22618 1273.22 192 1512.35
0.22751 1556.36 72 1848.66
0.229429 1266.56 48 1504.44
0.230383 1313.45 78 1560.14
0.231604 1221.1 168 1450.44
0.23416 990.662 144 1176.72
0.235095 1134.84 144 1347.98
0.236954 1390.28 12 1651.39
0.238108 1282.42 192 1523.28
0.239975 1150.17 168 1366.19
0.241537 980.934 48 1165.17
0.242444 1237.41 168 1469.81
0.244844 1002.27 144 1190.51
0.246417 1027.79 168 1220.82
0.248401 1064.77 144 1264.75
0.249576 1092.79 48 1298.03
0.251327 911.966 30 1083.25
0.252777 1214.45 288 1442.54
0.254191 1073.32 80 1274.91
0.25601 1049.7 288 1246.85
0.258214 1193.58 72 1417.75
0.2594 983.285 240 1167.96
0.26075 655.976 96 779.178
0.262904 982.779 168 1167.36
0.265657 1086.12 216 1290.11
0.266722 737.6 132 876.131
0.268622 841.844 192 999.955
0.269844 1178.76 120 1400.15
0.271964 1013.09 126 1203.36
0.273543 947.821 288 1125.84
0.275842 916.528 312 1088.67
0.277853 949.736 24 1128.11
0.279641 1005.55 264 1194.41
0.28148 1007.18 192 1196.35
0.282936 985.739 192 1170.88
0.285198 975.228 336 1158.39
0.286404 802.531 48 953.258
0.288084 906.483 240 1076.73
0.291553 873.051 296 1037.02
0.292736 868.052 150 1031.08
0.294335 859.659 240 1021.12
0.296659 899.469 228 1068.4
0.298323 799.307 216 949.429
0.300394 938.666 336 1114.96
0.302928 774.218 360 919.627
0.304588 698.81 144 830.057
0.305974 736.932 168 875.338
0.308578 811.599 312 964.029
0.310884 790.63 288 939.122
0.312408 802.975 192 953.786
0.314799 830.022 366 985.912
0.317265 853.757 408 1014.1
0.319597 759.078 168 901.643
0.320771 686.513 336 815.45
0.3227 731.579 240 868.98
0.32574 745.085 380 885.023
0.32795 810.401 384 962.607
0.330224 775.673 240 921.356
0.331726 665.121 360 790.04
0.333831 726.335 198 862.751
0.336246 768.299 384 912.597
0.338319 772.57 384 917.67
0.341157 780.727 432 927.359
0.343593 687.435 528 816.546
0.346262 709.832 288 843.149
0.347842 646.294 288 767.677
0.350326 717.922 456 852.759
0.352828 654.667 360 777.623
0.354442 728.018 180 864.75
0.356776 650.888 486 773.134
0.359142 692.809 504 822.928
0.361681 613.621 512 728.868
0.363857 615.331 264 730.899
0.366441 624.113 600 741.331
0.368657 624.658 288 741.978
0.371486 610.35 672 724.982
0.374587 591.299 408 702.354
0.376839 619.948 462 736.384
0.379079 587.88 600 698.293
0.38178 507.902 504 603.294
0.384712 633.894 324 752.949
0.386663 575.744 744 683.877
0.389313 624.421 456 741.696
0.39167 601.849 432 714.884
0.394428 629.177 720 747.346
0.397811 604.945 534 718.563
0.400019 637.655 536 757.416
0.402781 589.095 624 699.736
0.405015 576.765 600 685.09
0.40766 583.051 696 692.557
0.410865 530.563 456 630.21
0.413244 553.979 732 658.025
0.416084 542.781 600 644.723
0.418986 578.539 702 687.197
0.421544 564.686 672 670.742
0.424534 549.172 768 652.315
0.42751 546.686 768 649.362
0.430034 522.06 408 620.111
0.432751 546.836 1080 649.54
0.436344 484.184 632 575.121
0.438896 536.523 750 637.289
0.44171 482.118 696 572.666
0.444585 513.371 876 609.789
0.447784 519.642 864 617.239
0.45034 478.662 768 568.562
0.453413 481.464 888 571.89
0.456575 479.974 816 570.121
0.459787 496.43 654 589.667
0.462622 484.638 1296 575.66
0.465862 492.787 816 585.34
0.468802 501.354 816 595.515
0.471915 496.945 1088 590.278
0.475472 450.035 1020 534.558
0.478779 478.162 1032 567.968
0.481919 503.635 942 598.225
0.484939 460.749 1032 547.285
0.488502 435.661 1128 517.484
0.491034 444.357 888 527.814
0.494348 451.939 1176 536.819
0.497688 441.893 960 524.887
0.500527 459.812 1110 546.172
0.504331 426.215 1116 506.264
0.507364 449.327 1352 533.717
0.510774 484.005 1200 574.908
0.514275 417.959 1224 496.458
0.517978 426.177 1320 506.22
0.521294 443.726 1128 527.065
0.524822 443.646 1518 526.969
0.527973 414.173 1080 491.96
0.531698 430.319 1524 511.14
0.535226 422.701 1416 502.09
0.539103 389.567 1704 462.733
0.543 385.127 1088 457.46
0.546011 406.365 1446 482.686
0.549827 401.873 1800 477.35
0.55369 397.906 1512 472.638
0.557166 423.603 1392 503.162
0.560475 390.862 1392 464.272
0.564609 372.026 1962 441.897
0.56859 374.549 1776 444.895
0.572441 361.536 1680 429.438
0.5763 380.803 1776 452.323
0.580121 383.418 1544 455.43
0.583625 392.858 1896 466.643
0.587525 374.113 1662 444.376
0.591428 368.378 1908 437.564
0.595301 374.914 2184 445.329
0.599624 361.848 1848 429.808
0.603294 377.039 1848 447.853
0.60771 348.504 2238 413.958
0.611568 370.048 2088 439.549
0.615779 354.436 2192 421.004
0.619303 354.779 1536 421.412
0.623194 358.711 2412 426.083
0.627636 360.174 2262 427.82
0.631826 344.169 2448 408.809
0.635971 345.182 2040 410.012
0.64039 351.794 2976 417.866
0.644956 320.986 2184 381.272
0.649302 336.389 2550 399.568
0.653461 352.913 2396 419.196
0.657644 331.789 2760 394.103
0.662026 330.907 2424 393.056
0.666685 328.676 2832 390.406
0.670916 320.013 2574 380.116
0.675462 351.226 3024 417.192
0.679703 319.297 2484 379.266
0.684292 334.787 3168 397.665
0.688927 317.439 2894 377.058
0.693468 302.335 2856 359.118
0.698026 319.418 3384 379.41
0.702952 312.818 3240 371.569
0.707372 310.351 2856 368.639
0.712317 304.538 3474 361.734
0.716936 306.16 3432 363.661
0.721869 303.374 3552 360.351
0.726964 291.059 3560 345.724
0.73163 309.152 3270 367.215
0.736224 305.016 3552 362.303
0.74119 302.052 3780 358.781
0.746118 295.217 3960 350.663
0.751313 291.004 3696 345.659
0.756133 289.612 3726 344.006
0.761156 279.821 4376 332.376
0.766095 287.31 3648 341.271
0.771205 288.369 4332 342.529
0.776456 273.279 4254 324.604
0.781432 285.086 4296 338.629
0.786733 286.289 4320 340.059
0.791574 279.962 4368 332.543
0.797255 282.702 4826 335.798
0.802676 269.542 5016 320.165
0.808005 275.336 4608 327.048
0.813482 269.489 4824 320.103
0.818759 267.125 4950 317.295
0.824173 256.836 5232 305.074
0.829708 266.496 4980 316.547
0.834919 262.684 4838 312.02
0.840568 260.797 6024 309.778
0.846479 253.168 5520 300.717
0.851948 264.449 5400 314.116
0.857592 252.216 5538 299.586
0.863369 260.267 6456 309.148
0.869182 249.191 5504 295.993
0.874831 248.594 6168 295.283
0.880682 247.03 5910 293.426
0.886294 248.573 6372 295.258
0.892352 249.521 6768 296.384
0.898399 252.328 6294 299.719
0.904229 239.489 6656 284.468
0.910231 243.109 7224 288.769
0.916513 241.204 6708 286.506
0.922651 235.782 7566 280.065
0.92895 241.133 7416 286.421
0.935092 235.045 6984 279.19
0.940995 237.449 7310 282.045
0.947406 228.664 8148 271.61
0.953652 228.5 7632 271.415
0.960017 230.344 8088 273.606
0.966595 223.964 8478 266.027
0.972908 226.351 8112 268.863
0.979222 221.83 8108 263.493
0.985855 217.541 9510 258.398
0.992666 224.25 8472 266.368
0.998881 225.472 8832 267.819
1.00551 217.973 8898 258.912
1.01216 219.42 10008 260.63
1.01908 213.759 9392 253.906
1.02599 212.681 10206 252.625
1.03271 209.923 9528 249.35
1.03948 204.771 10236 243.23
1.04641 209.718 10398 249.107
1.05346 205.261 10784 243.812
1.06036 208.838 10584 248.061
1.0676 206.731 11346 245.558
1.07471 198.41 11400 235.674
1.08175 201.898 11016 239.817
1.08895 201.762 11870 239.656
1.09637 199.212 12516 236.627
1.10369 195.249 11880 231.919
1.11092 197.67 11886 234.796
1.1181 197.264 13104 234.313
