# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 24307.6 6 24307.6
0.0296192 19574.4 12 19574.4
0.036276 15883.7 8 15883.7
0.0418879 12767.1 6 12767.1
0.0468321 11216.5 24 11216.5
0.051302 10597.4 24 10597.4
0.0592384 9716.15 12 9716.15
0.0628319 9801.03 30 9801.03
0.0662306 8373.95 24 8373.95
0.0694632 8656.03 24 8656.03
0.072552 8682.01 8 8682.01
0.0755145 6553.69 24 6553.69
0.0783651 6511.91 48 6511.91
0.0837758 8236.71 6 8236.71
0.0863541 5559.01 48 5559.01
0.0888577 4756.46 36 4756.46
0.0912926 5571.02 24 5571.02
0.0936642 6979.84 24 6979.84
0.0959772 4660 48 4660
0.0982358 4719.37 24 4719.37
0.102604 5072.93 24 5072.93
0.10472 4293.37 30 4293.37
0.106794 3940.08 72 3940.08
0.108828 3603.37 32 3603.37
0.112787 3943.81 72 3943.81
0.114715 4233.37 48 4233.37
0.118477 4273.56 12 4273.56
0.120314 4149.78 48 4149.78
0.122123 3674 48 3674
0.123906 3564.57 48 3564.57
0.125664 2889.54 30 2889.54
0.127397 3224.31 24 3224.31
0.129107 2985 72 2985
0.132461 2164.51 24 2164.51
0.134107 3439.88 96 3439.88
0.135732 3215.61 48 3215.61
0.137339 2896.16 24 2896.16
0.138926 3223.34 24 3223.34
0.140496 2633.07 72 2633.07
0.142049 2636.22 48 2636.22
0.145104 541.819 8 541.819
0.146608 2573.92 54 2573.92
0.148096 2485.65 84 2485.65
0.14957 2778.95 48 2778.95
0.151029 3283.17 24 3283.17
0.152474 2828.85 72 2828.85
0.153906 2654.36 96 2654.36
0.15673 2090.69 48 2090.69
0.158123 2565.88 48 2565.88
0.159504 2860.3 24 2860.3
0.160874 1968.98 72 1968.98
0.163577 2883.86 72 2883.86
0.164913 1967.06 96 1967.06
0.167552 1952.14 6 1952.14
0.168856 1840.18 96 1840.18
0.170149 2499.45 96 2499.45
0.171434 2209.7 24 2209.7
0.172708 2109.96 48 2109.96
0.173974 2130.26 96 2130.26
0.17523 2511.78 48 2511.78
0.177715 2783.3 36 2783.3
0.178945 1605.4 48 1605.4
0.180167 1943.53 120 1943.53
0.18138 2232.09 56 2232.09
0.182585 1190.07 24 1190.07
0.183782 1605.27 96 1605.27
0.184972 2204.76 48 2204.76
0.187328 1755.19 24 1755.19
0.188496 2002.9 102 2002.9
0.190347 1542.71 120 1542.71
0.191954 1926.39 48 1926.39
0.193094 1576.92 48 1576.92
0.194226 1951.78 120 1951.78
0.196472 1711.83 24 1711.83
0.197585 1828.87 144 1828.87
0.199006 2005.71 168 2005.71
0.201976 1870.54 48 1870.54
0.203059 1404.75 96 1404.75
0.205208 1394.25 24 1394.25
0.206274 2023.39 48 2023.39
0.207335 1592.29 108 1592.29
0.20839 1677.77 72 1677.77
0.210326 1782.1 198 1782.1
0.211524 2353.28 48 2353.28
0.213587 1478.15 72 1478.15
0.214612 1396.31 96 1396.31
0.215631 1590.09 72 1590.09
0.216957 1595.75 104 1595.75
0.218661 1203.96 72 1203.96
0.219662 1896.25 144 1896.25
0.223129 1314.57 192 1314.57
0.224599 1338.93 48 1338.93
0.22618 1513.59 192 1513.59
0.22751 1870.5 72 1870.5
0.229429 1539.5 48 1539.5
0.230383 1607.5 78 1607.5
0.231604 1474.97 168 1474.97
0.23416 1192.36 144 1192.36
0.235095 1371.27 144 1371.27
0.236954 1652.28 12 1652.28
0.238108 1559.05 192 1559.05
0.239975 1380.66 168 1380.66
0.241537 1191.42 48 1191.42
0.242444 1527.36 168 1527.36
0.244844 1235.63 144 1235.63
0.246417 1256.3 168 1256.3
0.248401 1289.14 144 1289.14
0.249576 1404.88 48 1404.88
0.251327 1118.63 30 1118.63
0.252777 1487.97 288 1487.97
0.254191 1291.56 80 1291.56
0.25601 1265.81 288 1265.81
0.258214 1506.79 72 1506.79
0.2594 1214.13 240 1214.13
0.26075 802.212 96 802.212
0.262904 1225.83 168 1225.83
0.265657 1334.79 216 1334.79
0.266722 904.395 132 904.395
0.268622 1054.75 192 1054.75
0.269844 1453.06 120 1453.06
0.271964 1230.6 126 1230.6
0.273543 1145.71 288 1145.71
0.275842 1139.9 312 1139.9
0.277853 1090.05 24 1090.05
0.279641 1248.58 264 1248.58
0.28148 1221.28 192 1221.28
0.282936 1238.59 192 1238.59
0.285198 1193.93 336 1193.93
0.286404 977.112 48 977.112
0.288084 1124.17 240 1124.17
0.291553 1080.35 296 1080.35
0.292736 1038.4 150 1038.4
0.294335 1045.04 240 1045.04
0.296659 1140.99 228 1140.99
0.298323 1003.78 216 1003.78
0.300394 1168.26 336 1168.26
0.302928 954.491 360 954.491
0.304588 845.714 144 845.714
0.305974 877.364 168 877.364
0.308578 1010.22 312 1010.22
0.310884 995.696 288 995.696
0.312408 1033.15 192 1033.15
0.314799 1045.28 366 1045.28
0.317265 1064.2 408 1064.2
0.319597 968.663 168 968.663
0.320771 860.694 336 860.694
0.3227 915.752 240 915.752
0.32574 920.574 380 920.574
0.32795 1026.08 384 1026.08
0.330224 950.864 240 950.864
0.331726 837.038 360 837.038
0.333831 871.54 198 871.54
0.336246 970.122 384 970.122
0.338319 948.606 384 948.606
0.341157 984.23 432 984.23
0.343593 866.337 528 866.337
0.346262 899.115 288 899.115
0.347842 823.743 288 823.743
0.350326 894.611 456 894.611
0.352828 824.945 360 824.945
0.354442 921.53 180 921.53
0.356776 803.06 486 803.06
0.359142 868.784 504 868.784
0.361681 766.738 512 766.738
0.363857 768.099 264 768.099
0.366441 802.404 600 802.404
0.368657 785.605 288 785.605
0.371486 756.283 672 756.283
0.374587 747.075 408 747.075
0.376839 778.51 462 778.51
0.379079 730.039 600 730.039
0.38178 649.655 504 649.655
0.384712 791.228 324 791.228
0.386663 744.519 744 744.519
0.389313 795.123 456 795.123
0.39167 755.746 432 755.746
0.394428 785.445 720 785.445
0.397811 770.232 534 770.232
0.400019 781.379 536 781.379
0.402781 736.239 624 736.239
0.405015 732.147 600 732.147
0.40766 721.26 696 721.26
0.410865 676.358 456 676.358
0.413244 689.54 732 689.54
0.416084 701.091 600 701.091
0.418986 727.306 702 727.306
0.421544 718.992 672 718.992
0.424534 695.103 768 695.103
0.42751 691.576 768 691.576
0.430034 665.801 408 665.801
0.432751 684.333 1080 684.333
0.436344 626.493 632 626.493
0.438896 667.226 750 667.226
0.44171 611.985 696 611.985
0.444585 640.138 876 640.138
0.447784 653.276 864 653.276
0.45034 605.932 768 605.932
0.453413 614.469 888 614.469
0.456575 625.753 816 625.753
0.459787 622.595 654 622.595
0.462622 612.699 1296 612.699
0.465862 627.421 816 627.421
0.468802 628.039 816 628.039
0.471915 645.959 1088 645.959
0.475472 568.704 1020 568.704
0.478779 606.98 1032 606.98
0.481919 647.979 942 647.979
0.484939 591.42 1032 591.42
0.488502 555.366 1128 555.366
0.491034 568.048 888 568.048
0.494348 571.784 1176 571.784
0.497688 560.919 960 560.919
0.500527 572.792 1110 572.792
0.504331 546.043 1116 546.043
0.507364 575.144 1352 575.144
0.510774 620.05 1200 620.05
0.514275 518.046 1224 518.046
0.517978 550.381 1320 550.381
0.521294 559.347 1128 559.347
0.524822 589.656 1518 589.656
0.527973 541.49 1080 541.49
0.531698 554.425 1524 554.425
0.535226 540.277 1416 540.277
0.539103 499.227 1704 499.227
0.543 494.014 1088 494.014
0.546011 510.309 1446 510.309
0.549827 518.757 1800 518.757
0.55369 517.21 1512 517.21
0.557166 543.125 1392 543.125
0.560475 497.966 1392 497.966
0.564609 467.693 1962 467.693
0.56859 480.375 1776 480.375
0.572441 462.732 1680 462.732
0.5763 492.62 1776 492.62
0.580121 489.572 1544 489.572
0.583625 508.838 1896 508.838
0.587525 476.238 1662 476.238
0.591428 480.884 1908 480.884
0.595301 479.259 2184 479.259
0.599624 465.716 1848 465.716
0.603294 489.815 1848 489.815
0.60771 455.806 2238 455.806
0.611568 480.81 2088 480.81
0.615779 460.126 2192 460.126
0.619303 459.506 1536 459.506
0.623194 474.759 2412 474.759
0.627636 472.691 2262 472.691
0.631826 443.442 2448 443.442
0.635971 447.976 2040 447.976
0.64039 458.323 2976 458.323
0.644956 425.781 2184 425.781
0.649302 436.678 2550 436.678
0.653461 455.452 2396 455.452
0.657644 433.587 2760 433.587
0.662026 432.754 2424 432.754
0.666685 430.629 2832 430.629
0.670916 409.682 2574 409.682
0.675462 445.42 3024 445.42
0.679703 420.107 2484 420.107
0.684292 428.578 3168 428.578
0.688927 414.372 2894 414.372
0.693468 395.885 2856 395.885
0.698026 418.732 3384 418.732
0.702952 411.252 3240 411.252
0.707372 413.504 2856 413.504
0.712317 395.657 3474 395.657
0.716936 396.595 3432 396.595
0.721869 394.342 3552 394.342
0.726964 392.529 3560 392.529
0.73163 412.457 3270 412.457
0.736224 402.612 3552 402.612
0.74119 404.372 3780 404.372
0.746118 388.381 3960 388.381
0.751313 387.029 3696 387.029
0.756133 376.011 3726 376.011
0.761156 371.157 4376 371.157
0.766095 380.446 3648 380.446
0.771205 379.512 4332 379.512
0.776456 364.617 4254 364.617
0.781432 376.507 4296 376.507
0.786733 383.046 4320 383.046
0.791574 370.322 4368 370.322
0.797255 371.726 4826 371.726
0.802676 352.926 5016 352.926
0.808005 362.842 4608 362.842
0.813482 355.315 4824 355.315
0.818759 356.248 4950 356.248
0.824173 341.743 5232 341.743
0.829708 350.723 4980 350.723
0.834919 346.275 4838 346.275
0.840568 345.47 6024 345.47
0.846479 334.255 5520 334.255
0.851948 346.479 5400 346.479
0.857592 334.417 5538 334.417
0.863369 348.662 6456 348.662
0.869182 332.273 5504 332.273
0.874831 330.346 6168 330.346
0.880682 325.062 5910 325.062
0.886294 333.319 6372 333.319
0.892352 332.987 6768 332.987
0.898399 336.697 6294 336.697
0.904229 320.086 6656 320.086
0.910231 324.161 7224 324.161
0.916513 323.724 6708 323.724
0.922651 317.254 7566 317.254
0.92895 319.982 7416 319.982
0.935092 316.323 6984 316.323
0.940995 315.403 7310 315.403
0.947406 309.442 8148 309.442
0.953652 302.795 7632 302.795
0.960017 307.831 8088 307.831
0.966595 297.769 8478 297.769
0.972908 301.568 8112 301.568
0.979222 295.788 8108 295.788
0.985855 290.86 9510 290.86
0.992666 302.522 8472 302.522
0.998881 294.953 8832 294.953
1.00551 292.533 8898 292.533
1.01216 292.141 10008 292.141
1.01908 293.119 9392 293.119
1.02599 288.987 10206 288.987
1.03271 282.731 9528 282.731
1.03948 277.731 10236 277.731
1.04641 279.414 10398 279.414
1.05346 274.801 10784 274.801
1.06036 280.862 10584 280.862
1.0676 281.765 11346 281.765
1.07471 272.847 11400 272.847
1.08175 272.516 11016 272.516
1.08895 271.35 11870 271.35
1.09637 267.187 12516 267.187
1.10369 265.269 11880 265.269
1.11092 270.112 11886 270.112
1.1181 266.248 13104 266.248
1.12573 264.077 12764 264.077
1.1332 262.754 13446 262.754
1.14081 259.705 13464 259.705
1.14829 256.522 13398 256.522
1.15605 255.194 14628 255.194
1.16374 258.983 14024 258.983
1.1717 254.592 15054 254.592
1.17935 251.283 14496 251.283
1.18713 243.837 15012 243.837
1.195 247.454 15422 247.454
1.20281 247.904 15624 247.904
1.21088 243.425 16146 243.425
1.21904 242.32 17064 242.32
1.22715 237.883 16152 237.883
1.23533 238.356 17510 238.356
1.24354 236.818 17172 236.818
1.25174 234.174 17880 234.174
1.26013 234.653 18030 234.653
1.26845 231.065 18680 231.065
1.27706 227.877 19170 227.877
1.28545 228.603 18720 228.603
1.29387 226.329 19536 226.329
1.3027 229.688 20954 229.688
1.31143 223.164 20328 223.164
1.3202 219.838 20718 219.838
1.32891 218.767 21348 218.767
1.33775 217.903 21534 217.903
1.34663 212.739 22256 212.739
1.35548 216.491 22104 216.491
1.3645 215.714 23178 215.714
1.37362 212.977 23880 212.977
1.38289 209.796 24230 209.796
1.39214 208.266 24468 208.266
1.40146 209.875 25230 209.875
1.41076 206.602 25328 206.602
1.42016 206.016 25818 206.016
1.42955 203.932 26616 203.932
1.43897 202.517 26376 202.517
1.44856 199.308 28034 199.308
1.45815 200.424 27816 200.424
1.46783 195.456 28398 195.456
1.47755 197.52 29652 197.52
1.48753 196.758 30134 196.758
1.4975 193.456 30792 193.456
1.50759 191.024 31218 191.024
1.51744 189.065 30912 189.065
1.52762 187.526 33158 187.526
1.53782 187.352 32772 187.352
1.54798 184.717 33150 184.717
1.55817 183.684 34256 183.684
1.56867 184.269 35562 184.269
1.579 180.509 34992 180.509
1.58955 180.627 37158 180.627
1.60018 180.581 36956 180.581
1.61084 176.406 37950 176.406
1.62148 174.229 38496 174.229
1.63242 174.298 40274 174.298
1.64322 169.895 39264 169.895
1.65411 171.534 41466 171.534
1.66512 170.118 41960 170.118
1.67627 167.641 42702 167.641
1.68736 168.484 43356 168.484
1.69863 167.847 44886 167.847
1.70994 164.377 45248 164.377
1.72135 163.484 46362 163.484
1.73279 162.093 46974 162.093
1.74428 161.833 48236 161.833
1.75588 160.298 48774 160.298
1.76756 157.358 50616 157.358
1.77941 156.156 51050 156.156
1.79124 155.03 52272 155.03
1.80325 153.287 53658 153.287
1.81507 153.39 52640 153.39
1.82722 151.913 57366 151.913
1.83948 152.126 55170 152.126
1.85166 149.069 58544 149.069
1.86408 148.189 58506 148.189
1.87633 145.96 58968 145.96
1.88886 143.344 62366 143.344
1.90144 144.253 61266 144.253
1.914 143.897 63960 143.897
1.92679 143.094 64730 143.094
1.93957 139.432 66360 139.432
1.95256 139.919 67778 139.919
1.96563 138.085 69558 138.085
1.97869 137.205 69660 137.205
1.99179 135.618 71390 135.618
2.00509 134.172 73974 134.172
2.01846 133.362 74196 133.362
2.03193 131.777 76622 131.777
2.04528 131.088 75516 131.088
2.05892 128.76 81510 128.76
2.07279 128.374 80138 128.374
2.0865 128.27 82368 128.27
2.10039 126.483 84098 126.483
2.11443 125.331 86286 125.331
2.12845 123.852 86700 123.852
2.14263 122.413 90014 122.413
2.15695 120.552 90930 120.552
2.17119 120.752 91694 120.752
2.18567 118.767 96228 118.767
2.20036 117.605 97014 117.605
2.21494 117.039 97370 117.039
2.22958 115.392 100656 115.392
2.24445 115.164 102530 115.164
2.25936 114.053 104454 114.053
2.27439 112.779 107196 112.779
2.28969 111.453 110414 111.453
2.30493 110.719 109578 110.719
2.32027 109.773 114974 109.773
2.33573 108.924 114396 108.924
2.35122 107.878 118190 107.878
2.3669 106.426 120498 106.426
2.38266 105.363 122718 105.363
2.39847 104.426 124604 104.426
2.41442 103.559 127950 103.559
2.43055 102.927 130826 102.927
2.44673 101.329 132510 101.329
2.4629 100.769 134180 100.769
2.47932 100.171 140214 100.171
2.4959 98.0876 140018 98.0876
2.51254 97.7727 145650 97.7727
2.52927 96.5849 145350 96.5849
2.54604 95.3473 150188 95.3473
2.56299 94.8117 152214 94.8117
2.58009 93.46 157226 93.46
2.5973 92.4697 158118 92.4697
2.61455 91.4984 162338 91.4984
2.63195 91.0087 165378 91.0087
2.64948 89.4455 169256 89.4455
2.66707 89.3167 170682 89.3167
2.68485 87.6274 177566 87.6274
2.70286 87.5884 179610 87.5884
2.72085 85.5068 182690 85.5068
2.73892 85.1574 185694 85.1574
2.75712 84.3178 190346 84.3178
2.77543 83.8656 192852 83.8656
2.79389 82.5619 198806 82.5619
2.81251 81.3562 201378 81.3562
2.83127 80.5334 207446 80.5334
2.85007 79.6983 207258 79.6983
2.86897 79.2326 215762 79.2326
2.88818 78.6347 219702 78.6347
2.90739 77.3541 221522 77.3541
2.92669 76.3694 227754 76.3694
2.94616 75.9363 231710 75.9363
2.96573 75.1952 235994 75.1952
2.98548 74.6573 242346 74.6573
3.00539 73.5929 246704 73.5929
3.02539 73.0569 250410 73.0569
3.04557 72.2456 258410 72.2456
3.06592 70.9967 261414 70.9967
3.0863 70.4788 265874 70.4788
3.10684 69.9763 273450 69.9763
3.12756 69.1576 276974 69.1576
3.1484 68.4864 284402 68.4864
3.16935 67.4557 287754 67.4557
3.19042 66.5345 295010 66.5345
3.21172 66.1066 302142 66.1066
3.2331 65.3516 304946 65.3516
3.25451 64.6547 311642 64.6547
3.27615 63.9108 319326 63.9108
3.2979 63.5294 323618 63.5294
3.31984 62.4101 333744 62.4101
3.34198 61.6906 337970 61.6906
3.3643 61.3186 348758 61.3186
