# in Mpc/h Units 
# (k P_nu(k))
# a= 0.355105
# nk = 757
0.020944 1489.06
0.0296192 764.131
0.036276 461.306
0.0418879 307.488
0.0468321 226.259
0.051302 178.582
0.0592384 123.489
0.0628319 105.42
0.0662306 87.8758
0.0694632 77.1418
0.072552 68.9237
0.0755145 54.5615
0.0783651 48.0472
0.0837758 42.2066
0.0863541 32.6218
0.0888577 28.2121
0.0912926 26.552
0.0936642 25.9073
0.0959772 20.9568
0.0982358 18.9708
0.102604 17.3014
0.10472 14.7415
0.106794 13.4703
0.108828 12.0766
0.112787 11.6925
0.114715 10.7761
0.118477 10.0691
0.120314 9.71837
0.122123 8.88579
0.123906 8.10343
0.125664 7.19775
0.127397 7.19461
0.129107 6.48976
0.132461 5.06539
0.134107 5.92368
0.135732 5.57677
0.137339 5.24929
0.138926 5.38717
0.140496 4.46113
0.142049 4.20957
0.145104 2.43867
0.146608 3.72031
0.148096 3.61778
0.14957 3.46239
0.151029 3.41247
0.152474 3.34481
0.153906 3.06732
0.15673 2.74248
0.158123 2.64941
0.159504 2.53767
0.160874 2.35704
0.163577 2.52499
0.164913 2.11815
0.167552 1.97727
0.168856 1.87275
0.170149 1.99772
0.171434 1.88449
0.172708 1.79126
0.173974 1.59235
0.17523 1.67823
0.177715 1.88264
0.178945 1.33521
0.180167 1.53074
0.18138 1.58601
0.182585 1.28664
0.183782 1.34986
0.184972 1.37196
0.187328 1.1794
0.188496 1.37693
0.190347 1.11888
0.191954 1.24381
0.193094 1.0224
0.194226 1.07173
0.196472 1.04821
0.197585 1.06261
0.199006 1.07645
0.201976 1.00119
0.203059 0.816336
0.205208 0.797921
0.206274 0.858561
0.207335 0.75939
0.20839 0.83367
0.210326 0.768495
0.211524 0.828398
0.213587 0.608688
0.214612 0.621042
0.215631 0.650469
0.216957 0.619215
0.218661 0.570753
0.219662 0.649062
0.223129 0.515091
0.224599 0.487125
0.22618 0.543813
0.22751 0.575575
0.229429 0.441062
0.230383 0.498803
0.231604 0.480223
0.23416 0.422444
0.235095 0.400343
0.236954 0.456796
0.238108 0.426439
0.239975 0.410021
0.241537 0.360381
0.242444 0.35574
0.244844 0.337581
0.246417 0.31905
0.248401 0.340277
0.249576 0.29151
0.251327 0.269693
0.252777 0.306153
0.254191 0.312854
0.25601 0.304846
0.258214 0.254341
0.2594 0.255938
0.26075 0.200518
0.262904 0.242142
0.265657 0.238906
0.266722 0.2034
0.268622 0.20889
0.269844 0.238473
0.271964 0.21241
0.273543 0.206491
0.275842 0.181946
0.277853 0.23868
0.279641 0.1902
0.28148 0.203136
0.282936 0.166855
0.285198 0.184953
0.286404 0.161144
0.288084 0.161349
0.291553 0.145589
0.292736 0.162448
0.294335 0.146986
0.296659 0.131614
0.298323 0.122639
0.300394 0.130895
0.302928 0.119892
0.304588 0.121887
0.305974 0.129994
0.308578 0.114414
0.310884 0.105143
0.312408 0.0975801
0.314799 0.099771
0.317265 0.10725
0.319597 0.0908891
0.320771 0.0872157
0.3227 0.0913139
0.32574 0.0891565
0.32795 0.0841394
0.330224 0.0848566
0.331726 0.0783439
0.333831 0.0770041
0.336246 0.0726796
0.338319 0.0740038
0.341157 0.0713771
0.343593 0.059856
0.346262 0.0586391
0.347842 0.055686
0.350326 0.0629552
0.352828 0.0505474
0.354442 0.0516962
0.356776 0.0538233
0.359142 0.0515157
0.361681 0.0497816
0.363857 0.0490099
0.366441 0.0437505
0.368657 0.0462813
0.371486 0.0484538
0.374587 0.0388215
0.376839 0.0416449
0.379079 0.0417928
0.38178 0.0357019
0.384712 0.0343572
0.386663 0.0318982
0.389313 0.0336241
0.39167 0.0340272
0.394428 0.0330502
0.397811 0.0296591
0.400019 0.0347621
0.402781 0.0309081
0.405015 0.030005
0.40766 0.0304707
0.410865 0.0259449
0.413244 0.0268969
0.416084 0.0244178
0.418986 0.0245683
0.421544 0.0230351
0.424534 0.0227879
0.42751 0.0192865
0.430034 0.0233028
0.432751 0.0213403
0.436344 0.019182
0.438896 0.0204304
0.44171 0.0182988
0.444585 0.0171222
0.447784 0.0159979
0.45034 0.0156679
0.453413 0.0150243
0.456575 0.0137206
0.459787 0.0144068
0.462622 0.0137652
0.465862 0.0138448
0.468802 0.0128871
0.471915 0.0125093
0.475472 0.01198
0.478779 0.0124507
0.481919 0.0118749
0.484939 0.0108808
0.488502 0.0107472
0.491034 0.010396
0.494348 0.00934766
0.497688 0.0092449
0.500527 0.00990023
0.504331 0.00928302
0.507364 0.00894982
0.510774 0.00828643
0.514275 0.00801564
0.517978 0.0076864
0.521294 0.00738938
0.524822 0.00688143
0.527973 0.0068456
0.531698 0.00673338
0.535226 0.00643493
0.539103 0.00631772
0.543 0.0061883
0.546011 0.00576955
0.549827 0.00547836
0.55369 0.00559615
0.557166 0.00523265
0.560475 0.00539303
0.564609 0.00505218
0.56859 0.00493658
0.572441 0.00471426
0.5763 0.00441076
0.580121 0.00436095
0.583625 0.00429276
0.587525 0.00391558
0.591428 0.00383848
0.595301 0.00368644
0.599624 0.00374883
0.603294 0.00362798
0.60771 0.00327286
0.611568 0.003377
0.615779 0.00325757
0.619303 0.00310426
0.623194 0.00289195
0.627636 0.00287664
0.631826 0.00273414
0.635971 0.0025502
0.64039 0.00272014
0.644956 0.00257284
0.649302 0.00248356
