# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.020944 8159.01
0.0296192 4221.36
0.036276 2531.29
0.0418879 1637.96
0.0468321 1184.97
0.051302 932.143
0.0592384 636.256
0.0628319 547.537
0.0662306 434.535
0.0694632 390.288
0.072552 353.786
0.0755145 254.075
0.0783651 226.903
0.0837758 227.357
0.0863541 152.291
0.0888577 125.529
0.0912926 128.773
0.0936642 140.435
0.0959772 96.8168
0.0982358 89.3637
0.102604 85.5537
0.10472 68.2568
0.106794 60.3335
0.108828 52.2721
0.112787 52.836
0.114715 50.4008
0.118477 47.5443
0.120314 45.2296
0.122123 39.1683
0.123906 35.4388
0.125664 28.7101
0.127397 30.6049
0.129107 26.6297
0.132461 17.8438
0.134107 26.6155
0.135732 24.2924
0.137339 21.8237
0.138926 23.8821
0.140496 18.2186
0.142049 17.5476
0.145104 4.0038
0.146608 15.6246
0.148096 14.9975
0.14957 15.594
0.151029 16.8887
0.152474 15.0712
0.153906 13.5323
0.15673 10.6119
0.158123 11.8598
0.159504 12.3801
0.160874 9.24216
0.163577 12.2189
0.164913 8.34334
0.167552 8.17889
0.168856 7.16712
0.170149 9.23767
0.171434 8.06419
0.172708 7.58873
0.173974 7.18463
0.17523 8.1429
0.177715 9.1921
0.178945 4.96917
0.180167 6.13057
0.18138 6.91982
0.182585 3.95122
0.183782 4.93767
0.184972 6.21696
0.187328 4.69575
0.188496 5.61148
0.190347 4.09908
0.191954 5.09548
0.193094 4.00686
0.194226 4.69688
0.196472 4.03596
0.197585 4.32643
0.199006 4.62443
0.201976 4.17644
0.203059 2.95606
0.205208 3.00023
0.206274 3.98388
0.207335 3.11141
0.20839 3.4028
0.210326 3.32476
0.211524 4.22473
0.213587 2.4536
0.214612 2.51152
0.215631 2.82222
0.216957 2.73256
0.218661 1.97657
0.219662 3.10358
0.223129 2.01539
0.224599 2.01367
0.22618 2.30782
0.22751 2.74721
0.229429 2.16203
0.230383 2.19685
0.231604 2.02448
0.23416 1.58212
0.235095 1.78748
0.236954 2.16193
0.238108 1.93152
0.239975 1.69711
0.241537 1.40214
0.242444 1.7428
0.244844 1.35909
0.246417 1.37389
0.248401 1.39159
0.249576 1.36803
0.251327 1.13768
0.252777 1.4932
0.254191 1.30043
0.25601 1.2409
0.258214 1.35073
0.2594 1.09946
0.26075 0.721587
0.262904 1.04731
0.265657 1.12647
0.266722 0.750873
0.268622 0.830246
0.269844 1.15988
0.271964 0.974865
0.273543 0.894369
0.275842 0.832237
0.277853 0.861368
0.279641 0.871021
0.28148 0.858633
0.282936 0.818649
0.285198 0.792163
0.286404 0.640741
0.288084 0.709311
0.291553 0.657154
0.292736 0.648739
0.294335 0.628345
0.296659 0.633491
0.298323 0.553801
0.300394 0.637218
0.302928 0.509838
