#           k/h    P           
    0.71429E-04    0.21368E+03
    0.79823E-04    0.23799E+03
    0.89203E-04    0.26506E+03
    0.99687E-04    0.29521E+03
    0.11140E-03    0.32879E+03
    0.12449E-03    0.36618E+03
    0.13912E-03    0.40782E+03
    0.15547E-03    0.45419E+03
    0.17374E-03    0.50581E+03
    0.19416E-03    0.56329E+03
    0.21698E-03    0.62727E+03
    0.24248E-03    0.69849E+03
    0.27098E-03    0.77774E+03
    0.30282E-03    0.86593E+03
    0.33841E-03    0.96403E+03
    0.37818E-03    0.10731E+04
    0.42262E-03    0.11944E+04
    0.47229E-03    0.13292E+04
    0.52779E-03    0.14789E+04
    0.58982E-03    0.16450E+04
    0.65913E-03    0.18293E+04
    0.73659E-03    0.20336E+04
    0.82315E-03    0.22597E+04
    0.91989E-03    0.25097E+04
    0.10280E-02    0.27858E+04
    0.11488E-02    0.30902E+04
    0.12838E-02    0.34250E+04
    0.14347E-02    0.37925E+04
    0.16033E-02    0.41948E+04
    0.17917E-02    0.46337E+04
    0.20023E-02    0.51106E+04
    0.22376E-02    0.56266E+04
    0.25005E-02    0.61819E+04
    0.27944E-02    0.67761E+04
    0.31228E-02    0.74074E+04
    0.34898E-02    0.80731E+04
    0.38999E-02    0.87690E+04
    0.43582E-02    0.94893E+04
    0.44069E-02    0.95625E+04
    0.44561E-02    0.96357E+04
    0.45059E-02    0.97092E+04
    0.45562E-02    0.97828E+04
    0.46071E-02    0.98565E+04
    0.46586E-02    0.99304E+04
    0.47107E-02    0.10004E+05
    0.47633E-02    0.10078E+05
    0.48165E-02    0.10153E+05
    0.48703E-02    0.10227E+05
    0.49248E-02    0.10301E+05
    0.49798E-02    0.10376E+05
    0.50354E-02    0.10450E+05
    0.50917E-02    0.10525E+05
    0.51486E-02    0.10600E+05
    0.52061E-02    0.10674E+05
    0.52643E-02    0.10749E+05
    0.53231E-02    0.10824E+05
    0.53826E-02    0.10898E+05
    0.54427E-02    0.10973E+05
    0.55035E-02    0.11048E+05
    0.55650E-02    0.11122E+05
    0.56272E-02    0.11197E+05
    0.56901E-02    0.11271E+05
    0.57536E-02    0.11346E+05
    0.58179E-02    0.11420E+05
    0.58829E-02    0.11494E+05
    0.59487E-02    0.11568E+05
    0.60151E-02    0.11642E+05
    0.60823E-02    0.11716E+05
    0.61503E-02    0.11790E+05
