#           k/h    P           
    0.71429E-04    0.63937E+02
    0.79823E-04    0.71212E+02
    0.89203E-04    0.79313E+02
    0.99687E-04    0.88336E+02
    0.11140E-03    0.98384E+02
    0.12449E-03    0.10957E+03
    0.13912E-03    0.12203E+03
    0.15547E-03    0.13591E+03
    0.17374E-03    0.15136E+03
    0.19416E-03    0.16856E+03
    0.21698E-03    0.18771E+03
    0.24248E-03    0.20903E+03
    0.27098E-03    0.23275E+03
    0.30282E-03    0.25915E+03
    0.33841E-03    0.28852E+03
    0.37818E-03    0.32119E+03
    0.42262E-03    0.35751E+03
    0.47229E-03    0.39787E+03
    0.52779E-03    0.44271E+03
    0.58982E-03    0.49249E+03
    0.65913E-03    0.54772E+03
    0.73659E-03    0.60892E+03
    0.82315E-03    0.67669E+03
    0.91989E-03    0.75164E+03
    0.10280E-02    0.83439E+03
    0.11488E-02    0.92562E+03
    0.12838E-02    0.10260E+04
    0.14347E-02    0.11361E+04
    0.16033E-02    0.12567E+04
    0.17917E-02    0.13882E+04
    0.20023E-02    0.15312E+04
    0.22376E-02    0.16859E+04
    0.25005E-02    0.18524E+04
    0.27944E-02    0.20305E+04
    0.31228E-02    0.22198E+04
    0.34898E-02    0.24195E+04
    0.38999E-02    0.26283E+04
    0.43582E-02    0.28444E+04
    0.44069E-02    0.28664E+04
    0.44561E-02    0.28884E+04
    0.45059E-02    0.29104E+04
    0.45562E-02    0.29325E+04
    0.46071E-02    0.29547E+04
    0.46586E-02    0.29768E+04
    0.47107E-02    0.29991E+04
    0.47633E-02    0.30213E+04
    0.48165E-02    0.30436E+04
    0.48703E-02    0.30659E+04
    0.49248E-02    0.30882E+04
    0.49798E-02    0.31106E+04
    0.50354E-02    0.31330E+04
    0.50917E-02    0.31554E+04
    0.51486E-02    0.31778E+04
    0.52061E-02    0.32002E+04
    0.52643E-02    0.32226E+04
    0.53231E-02    0.32451E+04
    0.53826E-02    0.32675E+04
    0.54427E-02    0.32900E+04
    0.55035E-02    0.33124E+04
    0.55650E-02    0.33348E+04
    0.56272E-02    0.33572E+04
    0.56901E-02    0.33796E+04
    0.57536E-02    0.34020E+04
    0.58179E-02    0.34243E+04
    0.58829E-02    0.34466E+04
    0.59487E-02    0.34689E+04
    0.60151E-02    0.34912E+04
    0.60823E-02    0.35134E+04
    0.61503E-02    0.35356E+04
    0.62190E-02    0.35577E+04
    0.62885E-02    0.35797E+04
    0.63587E-02    0.36017E+04
    0.64298E-02    0.36237E+04
    0.65016E-02    0.36456E+04
    0.65743E-02    0.36674E+04
    0.66477E-02    0.36891E+04
    0.67220E-02    0.37108E+04
    0.67971E-02    0.37324E+04
    0.68731E-02    0.37538E+04
    0.69499E-02    0.37752E+04
    0.70275E-02    0.37965E+04
    0.71060E-02    0.38177E+04
    0.71854E-02    0.38388E+04
    0.72657E-02    0.38597E+04
    0.73469E-02    0.38806E+04
    0.74290E-02    0.39013E+04
    0.75120E-02    0.39219E+04
    0.75959E-02    0.39423E+04
    0.76808E-02    0.39627E+04
    0.77666E-02    0.39828E+04
    0.78534E-02    0.40028E+04
    0.79411E-02    0.40227E+04
