#           k/h    P           
    0.71429E-04    0.22900E+00
    0.79823E-04    0.25506E+00
    0.89203E-04    0.28408E+00
    0.99687E-04    0.31641E+00
    0.11140E-03    0.35241E+00
    0.12449E-03    0.39250E+00
    0.13912E-03    0.43715E+00
    0.15547E-03    0.48688E+00
    0.17374E-03    0.54225E+00
    0.19416E-03    0.60392E+00
    0.21698E-03    0.67259E+00
    0.24248E-03    0.74905E+00
    0.27098E-03    0.83418E+00
    0.30282E-03    0.92896E+00
    0.33841E-03    0.10345E+01
    0.37818E-03    0.11519E+01
    0.42262E-03    0.12825E+01
    0.47229E-03    0.14279E+01
    0.52779E-03    0.15896E+01
    0.58982E-03    0.17694E+01
    0.65913E-03    0.19692E+01
    0.73659E-03    0.21912E+01
    0.82315E-03    0.24376E+01
    0.91989E-03    0.27109E+01
    0.10280E-02    0.30137E+01
    0.11488E-02    0.33488E+01
    0.12838E-02    0.37191E+01
    0.14347E-02    0.41275E+01
    0.16033E-02    0.45768E+01
    0.17917E-02    0.50696E+01
    0.20023E-02    0.56084E+01
    0.22376E-02    0.61949E+01
    0.25005E-02    0.68301E+01
    0.27944E-02    0.75137E+01
    0.31228E-02    0.82444E+01
    0.34898E-02    0.90190E+01
    0.38999E-02    0.98325E+01
    0.43582E-02    0.10678E+02
    0.44069E-02    0.10764E+02
    0.44561E-02    0.10850E+02
    0.45059E-02    0.10937E+02
    0.45562E-02    0.11023E+02
    0.46071E-02    0.11110E+02
    0.46586E-02    0.11197E+02
    0.47107E-02    0.11284E+02
    0.47633E-02    0.11372E+02
    0.48165E-02    0.11459E+02
    0.48703E-02    0.11547E+02
    0.49248E-02    0.11635E+02
    0.49798E-02    0.11723E+02
    0.50354E-02    0.11811E+02
    0.50917E-02    0.11899E+02
    0.51486E-02    0.11987E+02
    0.52061E-02    0.12076E+02
    0.52643E-02    0.12164E+02
    0.53231E-02    0.12252E+02
    0.53826E-02    0.12341E+02
    0.54427E-02    0.12429E+02
    0.55035E-02    0.12518E+02
    0.55650E-02    0.12607E+02
    0.56272E-02    0.12695E+02
    0.56901E-02    0.12784E+02
    0.57536E-02    0.12872E+02
    0.58179E-02    0.12961E+02
    0.58829E-02    0.13049E+02
    0.59487E-02    0.13138E+02
    0.60151E-02    0.13226E+02
    0.60823E-02    0.13314E+02
    0.61503E-02    0.13402E+02
    0.62190E-02    0.13490E+02
    0.62885E-02    0.13578E+02
    0.63587E-02    0.13666E+02
    0.64298E-02    0.13753E+02
    0.65016E-02    0.13841E+02
    0.65743E-02    0.13928E+02
    0.66477E-02    0.14015E+02
    0.67220E-02    0.14101E+02
    0.67971E-02    0.14188E+02
    0.68731E-02    0.14274E+02
    0.69499E-02    0.14360E+02
    0.70275E-02    0.14446E+02
    0.71060E-02    0.14531E+02
    0.71854E-02    0.14616E+02
    0.72657E-02    0.14700E+02
    0.73469E-02    0.14785E+02
    0.74290E-02    0.14869E+02
    0.75120E-02    0.14952E+02
    0.75959E-02    0.15035E+02
    0.76808E-02    0.15118E+02
    0.77666E-02    0.15200E+02
    0.78534E-02    0.15281E+02
    0.79411E-02    0.15363E+02
    0.80298E-02    0.15443E+02
    0.81196E-02    0.15523E+02
    0.82103E-02    0.15602E+02
    0.83020E-02    0.15681E+02
    0.83948E-02    0.15759E+02
    0.84886E-02    0.15837E+02
    0.85834E-02    0.15914E+02
    0.86793E-02    0.15990E+02
    0.87763E-02    0.16065E+02
    0.88743E-02    0.16139E+02
    0.89735E-02    0.16213E+02
    0.90738E-02    0.16286E+02
    0.91751E-02    0.16358E+02
    0.92777E-02    0.16429E+02
    0.93813E-02    0.16499E+02
    0.94861E-02    0.16569E+02
