#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.121003E+08   0.121003E+08   0.158904E+08   0.158898E+08   0.121003E+08   0.121003E+08   0.121003E+08   0.121059E+08  -0.570509E+00   0.104411E+08   0.104411E+08   0.805184E-01
   0.798228E-04   0.121002E+08   0.121002E+08   0.158302E+08   0.158294E+08   0.121000E+08   0.121002E+08   0.121002E+08   0.121057E+08  -0.570500E+00   0.104410E+08   0.104410E+08   0.899625E-01
   0.892035E-04   0.121000E+08   0.121000E+08   0.157552E+08   0.157543E+08   0.120997E+08   0.121000E+08   0.121000E+08   0.121055E+08  -0.570489E+00   0.104408E+08   0.104408E+08   0.100509E+00
   0.996866E-04   0.120998E+08   0.120998E+08   0.156622E+08   0.156610E+08   0.120993E+08   0.120997E+08   0.120998E+08   0.121052E+08  -0.570476E+00   0.104406E+08   0.104406E+08   0.112285E+00
   0.111402E-03   0.120995E+08   0.120995E+08   0.155466E+08   0.155452E+08   0.120988E+08   0.120994E+08   0.120995E+08   0.121049E+08  -0.570459E+00   0.104404E+08   0.104404E+08   0.125431E+00
   0.124493E-03   0.120991E+08   0.120991E+08   0.154035E+08   0.154017E+08   0.120982E+08   0.120991E+08   0.120991E+08   0.121045E+08  -0.570438E+00   0.104400E+08   0.104400E+08   0.140103E+00
   0.139124E-03   0.120986E+08   0.120986E+08   0.152264E+08   0.152242E+08   0.120974E+08   0.120986E+08   0.120986E+08   0.121039E+08  -0.570412E+00   0.104396E+08   0.104396E+08   0.156472E+00
   0.155474E-03   0.120981E+08   0.120981E+08   0.150080E+08   0.150053E+08   0.120964E+08   0.120980E+08   0.120981E+08   0.121033E+08  -0.570380E+00   0.104391E+08   0.104391E+08   0.174726E+00
   0.173745E-03   0.120974E+08   0.120974E+08   0.147394E+08   0.147361E+08   0.120952E+08   0.120973E+08   0.120974E+08   0.121025E+08  -0.570340E+00   0.104385E+08   0.104385E+08   0.195075E+00
   0.194163E-03   0.120965E+08   0.120965E+08   0.144103E+08   0.144063E+08   0.120937E+08   0.120964E+08   0.120965E+08   0.121014E+08  -0.570290E+00   0.104378E+08   0.104378E+08   0.217743E+00
   0.216981E-03   0.120954E+08   0.120954E+08   0.140090E+08   0.140042E+08   0.120918E+08   0.120953E+08   0.120954E+08   0.121002E+08  -0.570227E+00   0.104368E+08   0.104368E+08   0.242978E+00
   0.242480E-03   0.120940E+08   0.120940E+08   0.135227E+08   0.135170E+08   0.120894E+08   0.120939E+08   0.120940E+08   0.120986E+08  -0.570150E+00   0.104356E+08   0.104356E+08   0.271042E+00
