# in Mpc/h Units 
# D1 = 0.103656 
# k P N P(z=0)
0.020944 240.366 6 22370.9
0.0296192 192.371 12 17903.9
0.036276 157.019 8 14613.8
0.0418879 133.868 6 12459
0.0468321 120.219 24 11188.8
0.051302 112.054 24 10428.9
0.0592384 101.981 12 9491.31
0.0628319 97.8472 30 9106.62
0.0662306 92.6303 24 8621.09
0.0694632 88.8566 24 8269.86
0.072552 85.6525 8 7971.66
0.0755145 78.2096 24 7278.95
0.0783651 74.2088 48 6906.6
0.0837758 69.365 6 6455.79
0.0863541 62.3258 48 5800.65
0.0888577 58.5525 36 5449.47
0.0912926 56.3838 24 5247.63
0.0936642 55.2853 24 5145.39
0.0959772 51.0025 48 4746.79
0.0982358 48.8685 24 4548.19
0.102604 47.1168 24 4385.15
0.10472 44.5507 30 4146.32
0.106794 43.3161 72 4031.42
0.108828 41.8239 32 3892.55
0.112787 41.883 72 3898.05
0.114715 40.8395 48 3800.92
0.118477 40.3391 12 3754.35
0.120314 40.1292 48 3734.82
0.122123 39.1356 48 3642.34
0.123906 37.9868 48 3535.43
0.125664 36.6077 30 3407.07
0.127397 36.4862 24 3395.76
0.129107 35.2456 72 3280.3
0.132461 32.459 24 3020.96
0.134107 33.8294 96 3148.49
0.135732 33.0766 48 3078.43
0.137339 32.3451 24 3010.35
0.138926 32.3458 24 3010.41
0.140496 30.1296 72 2804.16
0.142049 29.2788 48 2724.97
0.145104 25.1425 8 2340.01
0.146608 27.5614 54 2565.14
0.148096 27.0903 84 2521.29
0.14957 26.3574 48 2453.08
0.151029 25.9179 24 2412.18
0.152474 25.8796 72 2408.61
0.153906 24.9761 96 2324.52
0.15673 24.1336 48 2246.11
0.158123 23.4331 48 2180.92
0.159504 22.9347 24 2134.53
0.160874 22.5648 72 2100.11
0.163577 22.8442 72 2126.1
0.164913 21.7641 96 2025.58
0.167552 20.8677 6 1942.16
0.168856 21.002 96 1954.65
0.170149 21.1717 96 1970.45
0.171434 20.9581 24 1950.57
0.172708 20.5736 48 1914.78
0.173974 19.6819 96 1831.79
0.17523 19.9727 48 1858.85
0.177715 20.957 36 1950.46
0.178945 19.0508 48 1773.06
0.180167 19.9207 120 1854.02
0.18138 20.0362 56 1864.76
0.182585 19.0799 24 1775.76
0.183782 19.2592 96 1792.45
0.184972 19.0091 48 1769.17
0.187328 18.3262 24 1705.62
0.188496 19.2864 102 1794.98
0.190347 18.0832 120 1683
0.191954 18.4624 48 1718.3
0.193094 17.3062 48 1610.69
0.194226 17.4308 120 1622.28
0.196472 17.5139 24 1630.01
0.197585 17.4104 144 1620.38
0.199006 17.3449 168 1614.29
0.201976 16.7968 48 1563.28
0.203059 15.7977 96 1470.29
0.205208 15.4361 24 1436.63
0.206274 15.632 48 1454.87
0.207335 15.1121 108 1406.48
0.20839 15.464 72 1439.23
0.210326 14.9769 198 1393.9
0.211524 15.1385 48 1408.94
0.213587 13.9702 72 1300.21
0.214612 13.678 96 1273.01
0.215631 13.8768 72 1291.51
0.216957 13.5059 104 1256.99
0.218661 13.4685 72 1253.51
0.219662 13.6492 144 1270.33
0.223129 12.7698 192 1188.48
0.224599 12.5135 48 1164.63
0.22618 12.8693 192 1197.74
0.22751 12.9801 72 1208.06
0.229429 11.7399 48 1092.63
0.230383 12.5335 78 1166.49
0.231604 12.3772 168 1151.95
0.23416 11.9641 144 1113.5
0.235095 11.569 144 1076.72
0.236954 12.0107 12 1117.83
0.238108 11.8662 192 1104.39
0.239975 11.8015 168 1098.36
0.241537 11.3471 48 1056.07
0.242444 11.0817 168 1031.37
0.244844 11.1678 144 1039.39
0.246417 10.9169 168 1016.04
0.248401 11.1379 144 1036.6
0.249576 10.6284 48 989.18
0.251327 10.3356 30 961.929
0.252777 10.5622 288 983.024
0.254191 10.7488 80 1000.38
0.25601 10.6703 288 993.081
0.258214 9.94606 72 925.678
