# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 24162.2 6 24162.2
0.0296192 19577 12 19577
0.036276 15879 8 15879
0.0418879 12758.1 6 12758.1
0.0468321 11206.8 24 11206.8
0.051302 10600.2 24 10600.2
0.0592384 9713.48 12 9713.48
0.0628319 9798.42 30 9798.42
0.0662306 8364.93 24 8364.93
0.0694632 8644.8 24 8644.8
0.072552 8686.46 8 8686.46
0.0755145 6546.29 24 6546.29
0.0783651 6507.88 48 6507.88
0.0837758 8245.67 6 8245.67
0.0863541 5552.08 48 5552.08
0.0888577 4755.18 36 4755.18
0.0912926 5567.51 24 5567.51
0.0936642 6975.74 24 6975.74
0.0959772 4656.78 48 4656.78
0.0982358 4714.72 24 4714.72
0.102604 5068.81 24 5068.81
0.10472 4289.74 30 4289.74
0.106794 3936.24 72 3936.24
0.108828 3603.9 32 3603.9
0.112787 3939.7 72 3939.7
0.114715 4225.47 48 4225.47
0.118477 4269.13 12 4269.13
0.120314 4144.26 48 4144.26
0.122123 3671.06 48 3671.06
0.123906 3563.37 48 3563.37
0.125664 2888.75 30 2888.75
0.127397 3224.14 24 3224.14
0.129107 2980.84 72 2980.84
0.132461 2160.9 24 2160.9
0.134107 3437.12 96 3437.12
0.135732 3214.76 48 3214.76
0.137339 2896.58 24 2896.58
0.138926 3222.16 24 3222.16
0.140496 2628.28 72 2628.28
0.142049 2633.72 48 2633.72
0.145104 539.917 8 539.917
0.146608 2571.68 54 2571.68
0.148096 2483.17 84 2483.17
0.14957 2777.65 48 2777.65
0.151029 3277.5 24 3277.5
0.152474 2827.36 72 2827.36
0.153906 2651.94 96 2651.94
0.15673 2087.56 48 2087.56
0.158123 2565.18 48 2565.18
0.159504 2857.42 24 2857.42
0.160874 1967.64 72 1967.64
0.163577 2883.37 72 2883.37
0.164913 1963.72 96 1963.72
0.167552 1944.94 6 1944.94
0.168856 1837.94 96 1837.94
0.170149 2497.78 96 2497.78
0.171434 2208.57 24 2208.57
0.172708 2107.18 48 2107.18
0.173974 2128.66 96 2128.66
0.17523 2509.12 48 2509.12
0.177715 2781.44 36 2781.44
0.178945 1605.53 48 1605.53
0.180167 1940.32 120 1940.32
0.18138 2231.43 56 2231.43
0.182585 1187.98 24 1187.98
0.183782 1604.53 96 1604.53
0.184972 2201.23 48 2201.23
0.187328 1754.09 24 1754.09
0.188496 2000.09 102 2000.09
0.190347 1539.74 120 1539.74
0.191954 1923.84 48 1923.84
0.193094 1574 48 1574
0.194226 1948.31 120 1948.31
0.196472 1709.8 24 1709.8
0.197585 1826.43 144 1826.43
0.199006 2004.41 168 2004.41
0.201976 1868.81 48 1868.81
0.203059 1402.95 96 1402.95
0.205208 1393.43 24 1393.43
0.206274 2021.91 48 2021.91
0.207335 1590.85 108 1590.85
0.20839 1676.68 72 1676.68
0.210326 1780.37 198 1780.37
0.211524 2349.82 48 2349.82
0.213587 1475.99 72 1475.99
0.214612 1394.55 96 1394.55
0.215631 1588.78 72 1588.78
0.216957 1595.67 104 1595.67
0.218661 1202.2 72 1202.2
0.219662 1893.47 144 1893.47
0.223129 1313.25 192 1313.25
0.224599 1338.52 48 1338.52
0.22618 1512.04 192 1512.04
0.22751 1869.15 72 1869.15
0.229429 1538.91 48 1538.91
0.230383 1604.24 78 1604.24
0.231604 1473.05 168 1473.05
0.23416 1191.14 144 1191.14
0.235095 1369.4 144 1369.4
0.236954 1651.89 12 1651.89
0.238108 1556.33 192 1556.33
0.239975 1379.17 168 1379.17
0.241537 1189.43 48 1189.43
0.242444 1526.35 168 1526.35
0.244844 1233.91 144 1233.91
0.246417 1255.73 168 1255.73
0.248401 1287.46 144 1287.46
0.249576 1401.52 48 1401.52
0.251327 1119.42 30 1119.42
0.252777 1486.01 288 1486.01
0.254191 1291.32 80 1291.32
0.25601 1263.5 288 1263.5
0.258214 1504.56 72 1504.56
0.2594 1212.69 240 1212.69
0.26075 801.554 96 801.554
0.262904 1224.58 168 1224.58
0.265657 1332.99 216 1332.99
0.266722 903.453 132 903.453
0.268622 1053.42 192 1053.42
0.269844 1451.1 120 1451.1
0.271964 1231.08 126 1231.08
0.273543 1144.29 288 1144.29
0.275842 1138.41 312 1138.41
0.277853 1089.37 24 1089.37
0.279641 1245.92 264 1245.92
0.28148 1220.31 192 1220.31
0.282936 1237.34 192 1237.34
0.285198 1192.77 336 1192.77
0.286404 976.756 48 976.756
0.288084 1123.03 240 1123.03
0.291553 1079.29 296 1079.29
0.292736 1037.34 150 1037.34
0.294335 1043.81 240 1043.81
0.296659 1139.92 228 1139.92
0.298323 1001.94 216 1001.94
0.300394 1166.29 336 1166.29
0.302928 953.298 360 953.298
0.304588 844.811 144 844.811
0.305974 875.952 168 875.952
0.308578 1009.07 312 1009.07
0.310884 994.374 288 994.374
0.312408 1030.48 192 1030.48
0.314799 1043.86 366 1043.86
0.317265 1063.18 408 1063.18
0.319597 967.51 168 967.51
0.320771 859.701 336 859.701
0.3227 914.797 240 914.797
0.32574 920.074 380 920.074
0.32795 1024.23 384 1024.23
0.330224 949.394 240 949.394
0.331726 836.191 360 836.191
0.333831 872.001 198 872.001
0.336246 968.859 384 968.859
0.338319 947.523 384 947.523
0.341157 982.659 432 982.659
0.343593 864.828 528 864.828
0.346262 897.524 288 897.524
0.347842 822.593 288 822.593
0.350326 893.164 456 893.164
0.352828 824.386 360 824.386
0.354442 920.97 180 920.97
0.356776 802.221 486 802.221
0.359142 868.093 504 868.093
0.361681 766.012 512 766.012
0.363857 767.933 264 767.933
0.366441 801.032 600 801.032
0.368657 784.63 288 784.63
0.371486 754.984 672 754.984
0.374587 745.823 408 745.823
0.376839 777.174 462 777.174
0.379079 728.763 600 728.763
0.38178 648.869 504 648.869
0.384712 790.069 324 790.069
0.386663 743.567 744 743.567
0.389313 794.198 456 794.198
0.39167 755.109 432 755.109
0.394428 784.368 720 784.368
0.397811 768.999 534 768.999
0.400019 780.105 536 780.105
0.402781 735.657 624 735.657
0.405015 730.653 600 730.653
0.40766 720.642 696 720.642
0.410865 675.327 456 675.327
0.413244 688.748 732 688.748
0.416084 699.836 600 699.836
0.418986 726.106 702 726.106
0.421544 717.841 672 717.841
0.424534 694.151 768 694.151
0.42751 690.735 768 690.735
0.430034 664.776 408 664.776
0.432751 683.75 1080 683.75
0.436344 625.369 632 625.369
0.438896 665.836 750 665.836
0.44171 611.198 696 611.198
0.444585 639.181 876 639.181
0.447784 652.252 864 652.252
0.45034 605.106 768 605.106
0.453413 613.336 888 613.336
0.456575 624.866 816 624.866
0.459787 621.915 654 621.915
0.462622 611.723 1296 611.723
0.465862 626.631 816 626.631
0.468802 627.396 816 627.396
0.471915 644.651 1088 644.651
0.475472 568 1020 568
0.478779 606.379 1032 606.379
0.481919 646.636 942 646.636
0.484939 590.407 1032 590.407
0.488502 554.562 1128 554.562
0.491034 567.202 888 567.202
0.494348 571.331 1176 571.331
0.497688 560.252 960 560.252
0.500527 571.968 1110 571.968
0.504331 545.103 1116 545.103
0.507364 574.239 1352 574.239
0.510774 619.348 1200 619.348
0.514275 517.57 1224 517.57
0.517978 549.306 1320 549.306
0.521294 558.556 1128 558.556
0.524822 588.237 1518 588.237
0.527973 540.729 1080 540.729
0.531698 553.721 1524 553.721
0.535226 539.37 1416 539.37
0.539103 498.566 1704 498.566
0.543 493.385 1088 493.385
0.546011 509.759 1446 509.759
0.549827 518.067 1800 518.067
0.55369 516.621 1512 516.621
0.557166 542.401 1392 542.401
0.560475 497.13 1392 497.13
0.564609 467.057 1962 467.057
0.56859 479.577 1776 479.577
0.572441 462.003 1680 462.003
