#           k/h    P           
   0.714286E-04   0.213511E+03
   0.798228E-04   0.237801E+03
   0.892035E-04   0.264852E+03
   0.996866E-04   0.294977E+03
   0.111402E-03   0.328525E+03
   0.124493E-03   0.365882E+03
   0.139124E-03   0.407479E+03
   0.155474E-03   0.453795E+03
   0.173745E-03   0.505360E+03
   0.194163E-03   0.562763E+03
   0.216981E-03   0.626657E+03
   0.242480E-03   0.697767E+03
   0.270976E-03   0.776890E+03
   0.302821E-03   0.864910E+03
   0.338408E-03   0.962800E+03
   0.378178E-03   0.107163E+04
   0.422621E-03   0.119257E+04
   0.472287E-03   0.132690E+04
   0.527790E-03   0.147603E+04
   0.589815E-03   0.164146E+04
   0.659130E-03   0.182484E+04
   0.736590E-03   0.202792E+04
   0.823153E-03   0.225260E+04
   0.919889E-03   0.250086E+04
   0.102799E-02   0.277483E+04
   0.114880E-02   0.307670E+04
   0.128381E-02   0.340871E+04
   0.143468E-02   0.377313E+04
   0.160328E-02   0.417218E+04
   0.179170E-02   0.460798E+04
   0.200226E-02   0.508246E+04
   0.223756E-02   0.559724E+04
   0.250052E-02   0.615354E+04
   0.279438E-02   0.675200E+04
   0.312277E-02   0.739251E+04
   0.348976E-02   0.807405E+04
   0.389987E-02   0.879440E+04
   0.435818E-02   0.954997E+04
   0.487035E-02   0.103355E+05
   0.492476E-02   0.104154E+05
   0.497979E-02   0.104956E+05
   0.503543E-02   0.105759E+05
   0.509169E-02   0.106565E+05
   0.514858E-02   0.107373E+05
   0.520610E-02   0.108182E+05
   0.526427E-02   0.108993E+05
   0.532309E-02   0.109806E+05
   0.538256E-02   0.110621E+05
   0.544270E-02   0.111437E+05
   0.550352E-02   0.112254E+05
   0.556501E-02   0.113073E+05
   0.562719E-02   0.113892E+05
   0.569006E-02   0.114713E+05
   0.575363E-02   0.115534E+05
   0.581792E-02   0.116357E+05
   0.588292E-02   0.117180E+05
   0.594865E-02   0.118003E+05
   0.601512E-02   0.118827E+05
   0.608233E-02   0.119651E+05
   0.615028E-02   0.120475E+05
   0.621900E-02   0.121300E+05
   0.628849E-02   0.122124E+05
   0.635875E-02   0.122948E+05
   0.642980E-02   0.123771E+05
   0.650164E-02   0.124594E+05
   0.657428E-02   0.125417E+05
   0.664773E-02   0.126238E+05
   0.672201E-02   0.127058E+05
   0.679711E-02   0.127877E+05
   0.687306E-02   0.128695E+05
   0.694985E-02   0.129512E+05
   0.702750E-02   0.130326E+05
   0.710602E-02   0.131139E+05
   0.718542E-02   0.131950E+05
   0.726570E-02   0.132758E+05
   0.734688E-02   0.133564E+05
   0.742897E-02   0.134368E+05
   0.751197E-02   0.135169E+05
   0.759591E-02   0.135967E+05
   0.768078E-02   0.136761E+05
   0.776659E-02   0.137553E+05
   0.785337E-02   0.138340E+05
   0.794112E-02   0.139125E+05
   0.802984E-02   0.139905E+05
   0.811956E-02   0.140681E+05
   0.821028E-02   0.141452E+05
   0.830201E-02   0.142219E+05
   0.839477E-02   0.142981E+05
   0.848857E-02   0.143739E+05
   0.858341E-02   0.144490E+05
   0.867932E-02   0.145237E+05
   0.877629E-02   0.145977E+05
   0.887435E-02   0.146712E+05
   0.897350E-02   0.147440E+05
   0.907376E-02   0.148162E+05
   0.917515E-02   0.148877E+05
   0.927766E-02   0.149585E+05
   0.938132E-02   0.150286E+05
   0.948614E-02   0.150980E+05
   0.959213E-02   0.151665E+05
   0.969930E-02   0.152343E+05
   0.980767E-02   0.153012E+05
   0.991725E-02   0.153673E+05
   0.100281E-01   0.154325E+05
   0.101401E-01   0.154968E+05
   0.102534E-01   0.155601E+05
   0.103680E-01   0.156225E+05
   0.104838E-01   0.156839E+05
   0.106009E-01   0.157442E+05
   0.107194E-01   0.158035E+05
   0.108392E-01   0.158617E+05
   0.109603E-01   0.159188E+05
   0.110827E-01   0.159748E+05
   0.112065E-01   0.160296E+05
   0.113318E-01   0.160831E+05
   0.114584E-01   0.161354E+05
   0.115864E-01   0.161865E+05
   0.117159E-01   0.162362E+05
   0.118468E-01   0.162847E+05
   0.119791E-01   0.163317E+05
   0.121130E-01   0.163774E+05
   0.122483E-01   0.164216E+05
   0.123852E-01   0.164643E+05
   0.125235E-01   0.165056E+05
   0.126635E-01   0.165454E+05
   0.128049E-01   0.165835E+05
   0.129480E-01   0.166201E+05
   0.130927E-01   0.166551E+05
   0.132390E-01   0.166884E+05
   0.133869E-01   0.167200E+05
   0.135365E-01   0.167499E+05
   0.136877E-01   0.167781E+05
   0.138406E-01   0.168044E+05
   0.139953E-01   0.168290E+05
   0.141517E-01   0.168517E+05
   0.143098E-01   0.168725E+05
   0.144697E-01   0.168914E+05
   0.146313E-01   0.169083E+05
   0.147948E-01   0.169233E+05
   0.149601E-01   0.169362E+05
   0.151273E-01   0.169471E+05
   0.152963E-01   0.169560E+05
   0.154672E-01   0.169627E+05
   0.156400E-01   0.169673E+05
   0.158147E-01   0.169698E+05
   0.159914E-01   0.169700E+05
   0.161701E-01   0.169681E+05
   0.163508E-01   0.169639E+05
   0.165335E-01   0.169574E+05
   0.167182E-01   0.169486E+05
   0.169050E-01   0.169376E+05
   0.170939E-01   0.169242E+05
   0.172849E-01   0.169084E+05
   0.174780E-01   0.168902E+05
   0.176733E-01   0.168696E+05
   0.178707E-01   0.168466E+05
   0.180704E-01   0.168212E+05
   0.182723E-01   0.167933E+05
   0.184765E-01   0.167629E+05
   0.186829E-01   0.167301E+05
   0.188917E-01   0.166947E+05
   0.191027E-01   0.166568E+05
   0.193162E-01   0.166164E+05
   0.195320E-01   0.165735E+05
   0.197502E-01   0.165280E+05
   0.199709E-01   0.164799E+05
   0.201940E-01   0.164294E+05
   0.204197E-01   0.163763E+05
   0.206478E-01   0.163206E+05
   0.208785E-01   0.162624E+05
   0.211118E-01   0.162017E+05
   0.213477E-01   0.161384E+05
   0.215862E-01   0.160726E+05
   0.218274E-01   0.160043E+05
   0.220713E-01   0.159336E+05
   0.223179E-01   0.158603E+05
   0.225672E-01   0.157846E+05
   0.228194E-01   0.157065E+05
   0.230743E-01   0.156259E+05
   0.233321E-01   0.155430E+05
   0.235928E-01   0.154578E+05
   0.238564E-01   0.153702E+05
   0.241230E-01   0.152804E+05
   0.243925E-01   0.151883E+05
   0.246650E-01   0.150941E+05
   0.249406E-01   0.149977E+05
   0.252193E-01   0.148992E+05
   0.255011E-01   0.147986E+05
   0.257860E-01   0.146961E+05
   0.260741E-01   0.145916E+05
   0.263654E-01   0.144853E+05
   0.266600E-01   0.143771E+05
   0.269579E-01   0.142672E+05
   0.272591E-01   0.141557E+05
   0.275637E-01   0.140425E+05
   0.278716E-01   0.139278E+05
   0.281830E-01   0.138117E+05
   0.284979E-01   0.136942E+05
   0.288163E-01   0.135754E+05
   0.291383E-01   0.134555E+05
   0.294639E-01   0.133344E+05
   0.297931E-01   0.132123E+05
   0.301260E-01   0.130893E+05
   0.304626E-01   0.129654E+05
   0.308029E-01   0.128409E+05
   0.311471E-01   0.127157E+05
   0.314951E-01   0.125899E+05
   0.318470E-01   0.124638E+05
   0.322028E-01   0.123373E+05
   0.325626E-01   0.122107E+05
   0.329264E-01   0.120839E+05
   0.332943E-01   0.119571E+05
   0.336663E-01   0.118304E+05
   0.340425E-01   0.117040E+05
   0.344228E-01   0.115778E+05
   0.348075E-01   0.114521E+05
   0.351964E-01   0.113270E+05
   0.355896E-01   0.112025E+05
   0.359873E-01   0.110787E+05
   0.363893E-01   0.109558E+05
   0.367959E-01   0.108338E+05
   0.372070E-01   0.107129E+05
   0.376228E-01   0.105931E+05
   0.380431E-01   0.104746E+05
   0.384682E-01   0.103575E+05
   0.388980E-01   0.102418E+05
   0.393326E-01   0.101276E+05
   0.397721E-01   0.100151E+05
   0.402164E-01   0.990429E+04
   0.406658E-01   0.979526E+04
   0.411201E-01   0.968807E+04
   0.415796E-01   0.958279E+04
   0.420442E-01   0.947948E+04
   0.425139E-01   0.937818E+04
   0.429889E-01   0.927896E+04
   0.434693E-01   0.918186E+04
   0.439549E-01   0.908692E+04
   0.444460E-01   0.899417E+04
   0.449426E-01   0.890363E+04
   0.454448E-01   0.881531E+04
   0.459526E-01   0.872921E+04
   0.464660E-01   0.864531E+04
   0.469851E-01   0.856362E+04
   0.475101E-01   0.848411E+04
   0.480409E-01   0.840676E+04
   0.485777E-01   0.833155E+04
   0.491205E-01   0.825844E+04
   0.496693E-01   0.818740E+04
   0.502243E-01   0.811836E+04
   0.507854E-01   0.805124E+04
   0.513529E-01   0.798596E+04
   0.519266E-01   0.792239E+04
   0.525068E-01   0.786044E+04
   0.530935E-01   0.779998E+04
   0.536867E-01   0.774089E+04
   0.542865E-01   0.768306E+04
   0.548931E-01   0.762636E+04
   0.555064E-01   0.757065E+04
   0.561266E-01   0.751580E+04
   0.570084E-01   0.743994E+04
   0.578902E-01   0.736609E+04
   0.587721E-01   0.729367E+04
   0.596539E-01   0.722218E+04
   0.605357E-01   0.715117E+04
   0.614176E-01   0.708021E+04
   0.622994E-01   0.700891E+04
   0.631812E-01   0.693693E+04
   0.640631E-01   0.686393E+04
   0.649449E-01   0.678964E+04
   0.658268E-01   0.671383E+04
   0.667086E-01   0.663631E+04
   0.675904E-01   0.655695E+04
   0.684723E-01   0.647566E+04
   0.693541E-01   0.639239E+04
   0.702359E-01   0.630714E+04
   0.711178E-01   0.621994E+04
   0.719996E-01   0.613086E+04
   0.728814E-01   0.603998E+04
   0.737633E-01   0.594742E+04
   0.746451E-01   0.585337E+04
   0.755269E-01   0.575802E+04
   0.764088E-01   0.566159E+04
   0.772906E-01   0.556430E+04
   0.781724E-01   0.546640E+04
   0.790543E-01   0.536813E+04
   0.799361E-01   0.526975E+04
