#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.177444E+08   0.177444E+08   0.231107E+08   0.231098E+08   0.000000E+00   0.177444E+08   0.177444E+08   0.177527E+08  -0.502068E+00   0.108667E+08   0.108667E+08   0.486768E-01
   0.798228E-04   0.177441E+08   0.177441E+08   0.229756E+08   0.229745E+08   0.000000E+00   0.177441E+08   0.177441E+08   0.177523E+08  -0.502058E+00   0.108666E+08   0.108666E+08   0.543816E-01
   0.892035E-04   0.177438E+08   0.177438E+08   0.228080E+08   0.228066E+08   0.000000E+00   0.177438E+08   0.177438E+08   0.177519E+08  -0.502044E+00   0.108663E+08   0.108663E+08   0.607507E-01
   0.996866E-04   0.177433E+08   0.177433E+08   0.226002E+08   0.225984E+08   0.000000E+00   0.177433E+08   0.177433E+08   0.177513E+08  -0.502028E+00   0.108660E+08   0.108660E+08   0.678597E-01
   0.111402E-03   0.177427E+08   0.177427E+08   0.223431E+08   0.223410E+08   0.000000E+00   0.177427E+08   0.177427E+08   0.177507E+08  -0.502007E+00   0.108657E+08   0.108657E+08   0.757922E-01
   0.124493E-03   0.177420E+08   0.177420E+08   0.220259E+08   0.220233E+08   0.000000E+00   0.177420E+08   0.177420E+08   0.177498E+08  -0.501981E+00   0.108652E+08   0.108652E+08   0.846405E-01
   0.139124E-03   0.177411E+08   0.177411E+08   0.216355E+08   0.216323E+08   0.000000E+00   0.177411E+08   0.177411E+08   0.177488E+08  -0.501949E+00   0.108647E+08   0.108647E+08   0.945059E-01
   0.155474E-03   0.177400E+08   0.177400E+08   0.211570E+08   0.211532E+08   0.000000E+00   0.177400E+08   0.177400E+08   0.177475E+08  -0.501909E+00   0.108640E+08   0.108640E+08   0.105499E+00
   0.173745E-03   0.177386E+08   0.177386E+08   0.205732E+08   0.205685E+08   0.000000E+00   0.177386E+08   0.177386E+08   0.177459E+08  -0.501860E+00   0.108631E+08   0.108631E+08   0.117741E+00
   0.194163E-03   0.177368E+08   0.177368E+08   0.198650E+08   0.198595E+08   0.000000E+00   0.177368E+08   0.177368E+08   0.177439E+08  -0.501798E+00   0.108621E+08   0.108621E+08   0.131362E+00
   0.216981E-03   0.177347E+08   0.177347E+08   0.190123E+08   0.190058E+08   0.000000E+00   0.177347E+08   0.177347E+08   0.177415E+08  -0.501723E+00   0.108607E+08   0.108607E+08   0.146502E+00
   0.242480E-03   0.177320E+08   0.177320E+08   0.179953E+08   0.179877E+08   0.000000E+00   0.177320E+08   0.177320E+08   0.177384E+08  -0.501629E+00   0.108591E+08   0.108591E+08   0.163310E+00
   0.270976E-03   0.177287E+08   0.177287E+08   0.167963E+08   0.167878E+08   0.000000E+00   0.177287E+08   0.177287E+08   0.177347E+08  -0.501514E+00   0.108570E+08   0.108570E+08   0.181943E+00
   0.302821E-03   0.177246E+08   0.177246E+08   0.154040E+08   0.153946E+08   0.000000E+00   0.177246E+08   0.177246E+08   0.177301E+08  -0.501372E+00   0.108545E+08   0.108545E+08   0.202564E+00
   0.338408E-03   0.177195E+08   0.177195E+08   0.138177E+08   0.138077E+08   0.000000E+00   0.177195E+08   0.177195E+08   0.177244E+08  -0.501199E+00   0.108513E+08   0.108513E+08   0.225339E+00
   0.378178E-03   0.177133E+08   0.177133E+08   0.120541E+08   0.120440E+08   0.000000E+00   0.177133E+08   0.177133E+08   0.177176E+08  -0.500989E+00   0.108475E+08   0.108475E+08   0.250437E+00
   0.422621E-03   0.177056E+08   0.177056E+08   0.101543E+08   0.101448E+08   0.000000E+00   0.177056E+08   0.177056E+08   0.177092E+08  -0.500734E+00   0.108427E+08   0.108427E+08   0.278026E+00
   0.472287E-03   0.176962E+08   0.176962E+08   0.819019E+07   0.818228E+07   0.000000E+00   0.176962E+08   0.176962E+08   0.176991E+08  -0.500427E+00   0.108369E+08   0.108369E+08   0.308271E+00
   0.527790E-03   0.176848E+08   0.176847E+08   0.626697E+07   0.626161E+07   0.000000E+00   0.176848E+08   0.176848E+08   0.176870E+08  -0.500061E+00   0.108298E+08   0.108298E+08   0.341341E+00
   0.589815E-03   0.176709E+08   0.176708E+08   0.451639E+07   0.451436E+07   0.000000E+00   0.176709E+08   0.176709E+08   0.176725E+08  -0.499625E+00   0.108212E+08   0.108212E+08   0.377408E+00
   0.659130E-03   0.176541E+08   0.176541E+08   0.307536E+07   0.307680E+07   0.000000E+00   0.176541E+08   0.176541E+08   0.176552E+08  -0.499110E+00   0.108107E+08   0.108107E+08   0.416662E+00
   0.736590E-03   0.176340E+08   0.176339E+08   0.204702E+07   0.205100E+07   0.000000E+00   0.176340E+08   0.176340E+08   0.176347E+08  -0.498505E+00   0.107982E+08   0.107982E+08   0.459328E+00
   0.823153E-03   0.176100E+08   0.176099E+08   0.145113E+07   0.145555E+07   0.000000E+00   0.176099E+08   0.176099E+08   0.176105E+08  -0.497797E+00   0.107833E+08   0.107833E+08   0.505678E+00
   0.919889E-03   0.175814E+08   0.175813E+08   0.118874E+07   0.119105E+07   0.000000E+00   0.175814E+08   0.175814E+08   0.175818E+08  -0.496970E+00   0.107657E+08   0.107657E+08   0.556047E+00
   0.102799E-02   0.175477E+08   0.175476E+08   0.106243E+07   0.106129E+07   0.000000E+00   0.175477E+08   0.175477E+08   0.175481E+08  -0.496004E+00   0.107448E+08   0.107448E+08   0.610827E+00
   0.114880E-02   0.175081E+08   0.175079E+08   0.880746E+06   0.877656E+06   0.000000E+00   0.175081E+08   0.175081E+08   0.175084E+08  -0.494874E+00   0.107204E+08   0.107204E+08   0.670442E+00
   0.128381E-02   0.174617E+08   0.174615E+08   0.600952E+06   0.599557E+06   0.000000E+00   0.174617E+08   0.174617E+08   0.174619E+08  -0.493554E+00   0.106918E+08   0.106918E+08   0.735324E+00
   0.143468E-02   0.174075E+08   0.174073E+08   0.359541E+06   0.361384E+06   0.000000E+00   0.174075E+08   0.174075E+08   0.174076E+08  -0.492016E+00   0.106586E+08   0.106586E+08   0.805901E+00
   0.160328E-02   0.173446E+08   0.173442E+08   0.277747E+06   0.279300E+06   0.000000E+00   0.173445E+08   0.173445E+08   0.173446E+08  -0.490229E+00   0.106199E+08   0.106199E+08   0.882631E+00
   0.179170E-02   0.172716E+08   0.172712E+08   0.257098E+06   0.255514E+06   0.000000E+00   0.172715E+08   0.172715E+08   0.172716E+08  -0.488163E+00   0.105751E+08   0.105751E+08   0.966034E+00
   0.200226E-02   0.171874E+08   0.171869E+08   0.164107E+06   0.163597E+06   0.000000E+00   0.171873E+08   0.171873E+08   0.171874E+08  -0.485779E+00   0.105235E+08   0.105235E+08   0.105667E+01
   0.223756E-02   0.170905E+08   0.170899E+08   0.103488E+06   0.104921E+06   0.000000E+00   0.170904E+08   0.170904E+08   0.170905E+08  -0.483038E+00   0.104641E+08   0.104641E+08   0.115513E+01
   0.250052E-02   0.169796E+08   0.169789E+08   0.101792E+06   0.100021E+06   0.000000E+00   0.169795E+08   0.169795E+08   0.169795E+08  -0.479900E+00   0.103962E+08   0.103962E+08   0.126201E+01
   0.279438E-02   0.168530E+08   0.168521E+08   0.556317E+05   0.542829E+05   0.000000E+00   0.168529E+08   0.168529E+08   0.168529E+08  -0.476320E+00   0.103186E+08   0.103186E+08   0.137799E+01
