#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.240914E+06   0.240913E+06   0.321150E+06   0.321142E+06   0.000000E+00   0.240913E+06   0.240913E+06   0.250434E+06  -0.604536E+00   0.239812E+06   0.239812E+06   0.264067E+01
   0.798228E-04   0.240913E+06   0.240912E+06   0.321132E+06   0.321122E+06   0.000000E+00   0.240913E+06   0.240913E+06   0.250432E+06  -0.604533E+00   0.239812E+06   0.239811E+06   0.295099E+01
   0.892035E-04   0.240912E+06   0.240911E+06   0.321109E+06   0.321096E+06   0.000000E+00   0.240912E+06   0.240912E+06   0.250431E+06  -0.604529E+00   0.239811E+06   0.239810E+06   0.329776E+01
   0.996866E-04   0.240911E+06   0.240910E+06   0.321081E+06   0.321065E+06   0.000000E+00   0.240910E+06   0.240910E+06   0.250428E+06  -0.604523E+00   0.239809E+06   0.239809E+06   0.368529E+01
   0.111402E-03   0.240909E+06   0.240908E+06   0.321046E+06   0.321026E+06   0.000000E+00   0.240909E+06   0.240909E+06   0.250426E+06  -0.604517E+00   0.239808E+06   0.239808E+06   0.411835E+01
   0.124493E-03   0.240907E+06   0.240906E+06   0.321002E+06   0.320977E+06   0.000000E+00   0.240907E+06   0.240907E+06   0.250422E+06  -0.604508E+00   0.239806E+06   0.239806E+06   0.460228E+01
   0.139124E-03   0.240905E+06   0.240903E+06   0.320947E+06   0.320916E+06   0.000000E+00   0.240904E+06   0.240904E+06   0.250418E+06  -0.604498E+00   0.239804E+06   0.239803E+06   0.514307E+01
   0.155474E-03   0.240902E+06   0.240900E+06   0.320878E+06   0.320840E+06   0.000000E+00   0.240901E+06   0.240901E+06   0.250413E+06  -0.604485E+00   0.239801E+06   0.239800E+06   0.574738E+01
   0.173745E-03   0.240898E+06   0.240895E+06   0.320793E+06   0.320745E+06   0.000000E+00   0.240898E+06   0.240898E+06   0.250407E+06  -0.604468E+00   0.239797E+06   0.239796E+06   0.642267E+01
   0.194163E-03   0.240893E+06   0.240890E+06   0.320686E+06   0.320626E+06   0.000000E+00   0.240893E+06   0.240893E+06   0.250399E+06  -0.604448E+00   0.239792E+06   0.239792E+06   0.717726E+01
   0.216981E-03   0.240888E+06   0.240884E+06   0.320553E+06   0.320478E+06   0.000000E+00   0.240887E+06   0.240887E+06   0.250389E+06  -0.604422E+00   0.239786E+06   0.239786E+06   0.802046E+01
   0.242480E-03   0.240880E+06   0.240875E+06   0.320386E+06   0.320294E+06   0.000000E+00   0.240879E+06   0.240879E+06   0.250376E+06  -0.604391E+00   0.239779E+06   0.239778E+06   0.896266E+01
   0.270976E-03   0.240871E+06   0.240865E+06   0.320178E+06   0.320063E+06   0.000000E+00   0.240870E+06   0.240870E+06   0.250360E+06  -0.604351E+00   0.239770E+06   0.239769E+06   0.100154E+02
   0.302821E-03   0.240860E+06   0.240852E+06   0.319919E+06   0.319775E+06   0.000000E+00   0.240859E+06   0.240859E+06   0.250341E+06  -0.604301E+00   0.239759E+06   0.239757E+06   0.111917E+02
   0.338408E-03   0.240846E+06   0.240836E+06   0.319595E+06   0.319416E+06   0.000000E+00   0.240844E+06   0.240844E+06   0.250316E+06  -0.604239E+00   0.239745E+06   0.239742E+06   0.125059E+02
   0.378178E-03   0.240828E+06   0.240816E+06   0.319192E+06   0.318967E+06   0.000000E+00   0.240826E+06   0.240826E+06   0.250286E+06  -0.604162E+00   0.239727E+06   0.239724E+06   0.139742E+02
   0.422621E-03   0.240806E+06   0.240791E+06   0.318688E+06   0.318408E+06   0.000000E+00   0.240804E+06   0.240804E+06   0.250247E+06  -0.604065E+00   0.239705E+06   0.239702E+06   0.156145E+02
   0.472287E-03   0.240778E+06   0.240760E+06   0.318060E+06   0.317712E+06   0.000000E+00   0.240775E+06   0.240775E+06   0.250200E+06  -0.603945E+00   0.239678E+06   0.239673E+06   0.174468E+02
   0.527790E-03   0.240744E+06   0.240721E+06   0.317277E+06   0.316844E+06   0.000000E+00   0.240740E+06   0.240740E+06   0.250141E+06  -0.603795E+00   0.239644E+06   0.239638E+06   0.194934E+02
   0.589815E-03   0.240701E+06   0.240673E+06   0.316302E+06   0.315762E+06   0.000000E+00   0.240697E+06   0.240697E+06   0.250067E+06  -0.603607E+00   0.239601E+06   0.239594E+06   0.217789E+02
   0.659130E-03   0.240648E+06   0.240612E+06   0.315088E+06   0.314417E+06   0.000000E+00   0.240642E+06   0.240642E+06   0.249974E+06  -0.603374E+00   0.239547E+06   0.239539E+06   0.243310E+02
   0.736590E-03   0.240581E+06   0.240536E+06   0.313577E+06   0.312744E+06   0.000000E+00   0.240574E+06   0.240574E+06   0.249859E+06  -0.603082E+00   0.239481E+06   0.239470E+06   0.271801E+02
   0.823153E-03   0.240498E+06   0.240442E+06   0.311700E+06   0.310665E+06   0.000000E+00   0.240489E+06   0.240489E+06   0.249716E+06  -0.602720E+00   0.239398E+06   0.239384E+06   0.303600E+02
   0.919889E-03   0.240394E+06   0.240324E+06   0.309368E+06   0.308088E+06   0.000000E+00   0.240383E+06   0.240383E+06   0.249538E+06  -0.602268E+00   0.239294E+06   0.239277E+06   0.339080E+02
   0.102799E-02   0.240265E+06   0.240178E+06   0.306478E+06   0.304895E+06   0.000000E+00   0.240250E+06   0.240250E+06   0.249317E+06  -0.601706E+00   0.239165E+06   0.239144E+06   0.378651E+02
   0.114880E-02   0.240104E+06   0.239995E+06   0.302901E+06   0.300951E+06   0.000000E+00   0.240086E+06   0.240086E+06   0.249041E+06  -0.601008E+00   0.239004E+06   0.238977E+06   0.422764E+02
   0.128381E-02   0.239903E+06   0.239768E+06   0.298485E+06   0.296089E+06   0.000000E+00   0.239881E+06   0.239881E+06   0.248700E+06  -0.600141E+00   0.238804E+06   0.238770E+06   0.471910E+02
   0.143468E-02   0.239654E+06   0.239485E+06   0.293049E+06   0.290118E+06   0.000000E+00   0.239626E+06   0.239626E+06   0.248278E+06  -0.599066E+00   0.238554E+06   0.238512E+06   0.526624E+02
   0.160328E-02   0.239344E+06   0.239133E+06   0.286381E+06   0.282814E+06   0.000000E+00   0.239309E+06   0.239309E+06   0.247756E+06  -0.597736E+00   0.238244E+06   0.238192E+06   0.587479E+02
   0.179170E-02   0.238959E+06   0.238696E+06   0.278238E+06   0.273927E+06   0.000000E+00   0.238916E+06   0.238916E+06   0.247112E+06  -0.596095E+00   0.237858E+06   0.237793E+06   0.655088E+02
   0.200226E-02   0.238483E+06   0.238154E+06   0.268351E+06   0.263185E+06   0.000000E+00   0.238429E+06   0.238429E+06   0.246321E+06  -0.594074E+00   0.237379E+06   0.237298E+06   0.730095E+02
   0.223756E-02   0.237893E+06   0.237484E+06   0.256433E+06   0.250308E+06   0.000000E+00   0.237826E+06   0.237826E+06   0.245354E+06  -0.591596E+00   0.236785E+06   0.236685E+06   0.813166E+02
   0.250052E-02   0.237166E+06   0.236655E+06   0.242197E+06   0.235033E+06   0.000000E+00   0.237082E+06   0.237082E+06   0.244175E+06  -0.588568E+00   0.236051E+06   0.235926E+06   0.904975E+02
   0.279438E-02   0.236272E+06   0.235635E+06   0.225385E+06   0.217154E+06   0.000000E+00   0.236167E+06   0.236167E+06   0.242749E+06  -0.584891E+00   0.235145E+06   0.234990E+06   0.100618E+03
   0.312277E-02   0.235175E+06   0.234382E+06   0.205820E+06   0.196579E+06   0.000000E+00   0.235045E+06   0.235045E+06   0.241035E+06  -0.580452E+00   0.234030E+06   0.233838E+06   0.111740E+03
   0.348976E-02   0.233837E+06   0.232849E+06   0.183476E+06   0.173412E+06   0.000000E+00   0.233675E+06   0.233675E+06   0.238992E+06  -0.575138E+00   0.232663E+06   0.232425E+06   0.123918E+03
   0.389987E-02   0.232212E+06   0.230983E+06   0.158565E+06   0.148046E+06   0.000000E+00   0.232011E+06   0.232011E+06   0.236584E+06  -0.568836E+00   0.230995E+06   0.230700E+06   0.137195E+03
   0.435818E-02   0.230252E+06   0.228724E+06   0.131653E+06   0.121266E+06   0.000000E+00   0.230001E+06   0.230001E+06   0.233778E+06  -0.561451E+00   0.228971E+06   0.228607E+06   0.151597E+03
   0.487035E-02   0.227905E+06   0.226007E+06   0.103760E+06   0.943191E+05   0.000000E+00   0.227594E+06   0.227594E+06   0.230556E+06  -0.552912E+00   0.226531E+06   0.226083E+06   0.167129E+03
   0.492476E-02   0.227648E+06   0.225708E+06   0.100972E+06   0.916773E+05   0.000000E+00   0.227330E+06   0.227330E+06   0.230210E+06  -0.551993E+00   0.226262E+06   0.225804E+06   0.168744E+03
   0.497979E-02   0.227385E+06   0.225403E+06   0.981901E+05   0.890525E+05   0.000000E+00   0.227060E+06   0.227060E+06   0.229860E+06  -0.551062E+00   0.225988E+06   0.225521E+06   0.170370E+03
