# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 27346.3 6 27346.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 22963.7 12 22963.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 18978.8 8 18978.8
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 15381.1 6 15381.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 13602.5 24 13602.5
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 12870.8 24 12870.8
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 11857.3 12 11857.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 12092.5 30 12092.5
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 10300.1 24 10300.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 10742.1 24 10742.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 10762.7 8 10762.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 8145.05 24 8145.05
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 8082.07 48 8082.07
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 10485.8 6 10485.8
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 6964.06 48 6964.06
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 5917.01 36 5917.01
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 7029.55 24 7029.55
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 8954.96 24 8954.96
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 5864.96 48 5864.96
0 0 0 0
0 0 0 0
0.0982358 6008 24 6008
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 6398.71 24 6398.71
0 0 0 0
0 0 0 0
0.10472 5469.92 30 5469.92
0 0 0 0
0 0 0 0
0.106794 5000.18 72 5000.18
0 0 0 0
0 0 0 0
0.108828 4576.6 32 4576.6
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 4975.98 72 4975.98
0 0 0 0
0 0 0 0
0.114715 5444.72 48 5444.72
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 5440.21 12 5440.21
0 0 0 0
0.120314 5247.48 48 5247.48
0 0 0 0
0.122123 4645.17 48 4645.17
0 0 0 0
0.123906 4571.88 48 4571.88
0 0 0 0
0 0 0 0
0.125664 3665.75 30 3665.75
0 0 0 0
0.127397 4085.49 24 4085.49
0 0 0 0
0.129107 3811.92 72 3811.92
0 0 0 0
0 0 0 0
0.132461 2806.02 24 2806.02
0 0 0 0
0.134107 4429.63 96 4429.63
0 0 0 0
0.135732 4143.04 48 4143.04
0 0 0 0
0.137339 3696 24 3696
0 0 0 0
0.138926 4038.45 24 4038.45
0.140496 3370.62 72 3370.62
0 0 0 0
0.142049 3364.2 48 3364.2
0 0 0 0
0 0 0 0
0.145104 697.049 8 697.049
0 0 0 0
0.146608 3324.11 54 3324.11
0.148096 3168.61 84 3168.61
0 0 0 0
0.14957 3603 48 3603
0.151029 4371.22 24 4371.22
0 0 0 0
0.152474 3663.85 72 3663.85
0.153906 3458.97 96 3458.97
0 0 0 0
0 0 0 0
0.15673 2691.74 48 2691.74
0.158123 3391.48 48 3391.48
0.159504 3790.46 24 3790.46
0 0 0 0
0.160874 2510.24 72 2510.24
0 0 0 0
0.163577 3734.35 72 3734.35
0 0 0 0
0.164913 2525.82 96 2525.82
0 0 0 0
0.167552 2422.73 6 2422.73
0.168856 2401.58 96 2401.58
0.170149 3268.44 96 3268.44
0.171434 2889.53 24 2889.53
0.172708 2728.27 48 2728.27
0 0 0 0
0.173974 2797.37 96 2797.37
0.17523 3355.78 48 3355.78
0 0 0 0
0.177715 3573.36 36 3573.36
0.178945 2137.35 48 2137.35
0.180167 2529.92 120 2529.92
0.18138 2911.93 56 2911.93
0.182585 1467.31 24 1467.31
0.183782 2060.73 96 2060.73
0.184972 2895.84 48 2895.84
0 0 0 0
0.187328 2343.79 24 2343.79
0.188496 2568.41 102 2568.41
0.190347 1998.05 120 1998.05
0.191954 2486.79 48 2486.79
0.193094 2046.17 48 2046.17
0.194226 2575.1 120 2575.1
0 0 0 0
0.196472 2275.74 24 2275.74
0.197585 2368.36 144 2368.36
0.199006 2614.49 168 2614.49
0 0 0 0
0.201976 2432.41 48 2432.41
0.203059 1863.4 96 1863.4
0.205208 1795.05 24 1795.05
0.206274 2711.83 48 2711.83
0.207335 2108 108 2108
0.20839 2182.02 72 2182.02
0.210326 2363.99 198 2363.99
0.211524 3121.41 48 3121.41
0.213587 2049.53 72 2049.53
0.214612 1820.54 96 1820.54
0.215631 2059.83 72 2059.83
0.216957 2092.44 104 2092.44
0.218661 1621.76 72 1621.76
0.219662 2468.45 144 2468.45
0 0 0 0
0.223129 1760.02 192 1760.02
0.224599 1780.2 48 1780.2
0.22618 1954.78 192 1954.78
0.22751 2419.74 72 2419.74
0.229429 2040.72 48 2040.72
0.230383 2153.27 78 2153.27
0.231604 1948.84 168 1948.84
0.23416 1579.25 144 1579.25
0.235095 1808.3 144 1808.3
0.236954 2139.72 12 2139.72
0.238108 2049.6 192 2049.6
0.239975 1816.46 168 1816.46
0.241537 1567.82 48 1567.82
0.242444 2052.58 168 2052.58
0.244844 1664.45 144 1664.45
0.246417 1676.78 168 1676.78
0.248401 1709.95 144 1709.95
0.249576 1989.07 48 1989.07
0.251327 1492.89 30 1492.89
0.252777 1983.11 288 1983.11
0.254191 1698.26 80 1698.26
0.25601 1668.56 288 1668.56
0.258214 2061.67 72 2061.67
0.2594 1637.43 240 1637.43
0.26075 1088.66 96 1088.66
0.262904 1670.09 168 1670.09
0.265657 1797.4 216 1797.4
0.266722 1226.39 132 1226.39
0.268622 1454.79 192 1454.79
0.269844 1957.56 120 1957.56
0.271964 1652.68 126 1652.68
0.273543 1517.55 288 1517.55
0.275842 1549.45 312 1549.45
0.277853 1402.98 24 1402.98
0.279641 1697.44 264 1697.44
0.28148 1625.48 192 1625.48
0.282936 1692.31 192 1692.31
0.285198 1603.51 336 1603.51
0.286404 1323.99 48 1323.99
0.288084 1531.43 240 1531.43
0.291553 1463.16 296 1463.16
0.292736 1371.69 150 1371.69
0.294335 1393.74 240 1393.74
0.296659 1578.46 228 1578.46
0.298323 1385.51 216 1385.51
0.300394 1589.19 336 1589.19
0.302928 1285.47 360 1285.47
0.304588 1131.11 144 1131.11
0.305974 1165.9 168 1165.9
0.308578 1384.79 312 1384.79
0.310884 1377.43 288 1377.43
0.312408 1448.96 192 1448.96
0.314799 1454.15 366 1454.15
0.317265 1464.84 408 1464.84
0.319597 1357.45 168 1357.45
0.320771 1200.78 336 1200.78
0.3227 1257.86 240 1257.86
0.32574 1259.78 380 1259.78
0.32795 1433.59 384 1433.59
0.330224 1290.08 240 1290.08
0.331726 1172.05 360 1172.05
0.333831 1145.58 198 1145.58
0.336246 1345.28 384 1345.28
0.338319 1291.46 384 1291.46
0.341157 1366.77 432 1366.77
0.343593 1196.69 528 1196.69
0.346262 1247.18 288 1247.18
0.347842 1154.89 288 1154.89
0.350326 1223.12 456 1223.12
0.352828 1139.24 360 1139.24
0.354442 1277.25 180 1277.25
0.356776 1094.12 486 1094.12
0.359142 1199.23 504 1199.23
0.361681 1061.72 512 1061.72
0.363857 1067.57 264 1067.57
0.366441 1139.75 600 1139.75
0.368657 1102.69 288 1102.69
0.371486 1052.77 672 1052.77
0.374587 1041.87 408 1041.87
0.376839 1078.74 462 1078.74
0.379079 1005.36 600 1005.36
0.38178 914.001 504 914.001
0.384712 1082.67 324 1082.67
0.386663 1065.94 744 1065.94
0.389313 1114.1 456 1114.1
0.39167 1058.64 432 1058.64
0.394428 1077.61 720 1077.61
0.397811 1075.26 534 1075.26
0.400019 1058.09 536 1058.09
0.402781 1020.4 624 1020.4
0.405015 1030.62 600 1030.62
0.40766 993.565 696 993.565
0.410865 962.807 456 962.807
0.413244 954.329 732 954.329
0.416084 1003.91 600 1003.91
0.418986 1011.98 702 1011.98
0.421544 1014.26 672 1014.26
0.424534 974.607 768 974.607
0.42751 965.385 768 965.385
0.430034 953.979 408 953.979
0.432751 952.042 1080 952.042
0.436344 893.03 632 893.03
0.438896 929.346 750 929.346
0.44171 865.551 696 865.551
0.444585 889.942 876 889.942
0.447784 906.768 864 906.768
0.45034 850.292 768 850.292
0.453413 867.315 888 867.315
0.456575 899.599 816 899.599
0.459787 863.936 654 863.936
0.462622 853.242 1296 853.242
0.465862 884.72 816 884.72
0.468802 864.913 816 864.913
0.471915 922.288 1088 922.288
0.475472 792.997 1020 792.997
0.478779 861.023 1032 861.023
0.481919 916.625 942 916.625
0.484939 835.407 1032 835.407
0.488502 786.346 1128 786.346
0.491034 803.929 888 803.929
0.494348 803.163 1176 803.163
0.497688 787.499 960 787.499
0.500527 793.437 1110 793.437
0.504331 776.543 1116 776.543
0.507364 810.042 1352 810.042
0.510774 865.737 1200 865.737
0.514275 710.736 1224 710.736
0.517978 783.995 1320 783.995
0.521294 775.392 1128 775.392
0.524822 854.163 1518 854.163
0.527973 784.872 1080 784.872
0.531698 785.671 1524 785.671
0.535226 758.948 1416 758.948
0.539103 712.865 1704 712.865
0.543 704.781 1088 704.781
0.546011 706.059 1446 706.059
0.549827 738.762 1800 738.762
0.55369 738.062 1512 738.062
0.557166 755.912 1392 755.912
0.560475 707.799 1392 707.799
0.564609 655.713 1962 655.713
0.56859 678.966 1776 678.966
0.572441 651.142 1680 651.142
0.5763 696.835 1776 696.835
0.580121 682.706 1544 682.706
0.583625 721.305 1896 721.305
0.587525 667.532 1662 667.532
0.591428 689.933 1908 689.933
0.595301 671.789 2184 671.789
0.599624 662.69 1848 662.69
0.603294 690.962 1848 690.962
0.60771 656.053 2238 656.053
0.611568 685.043 2088 685.043
0.615779 656.306 2192 656.306
0.619303 650.208 1536 650.208
0.623194 680.453 2412 680.453
0.627636 677.762 2262 677.762
0.631826 628.824 2448 628.824
0.635971 629.354 2040 629.354
0.64039 655.795 2976 655.795
0.644956 613.904 2184 613.904
0.649302 629.473 2550 629.473
0.653461 639.532 2396 639.532
0.657644 623.758 2760 623.758
0.662026 622.629 2424 622.629
0.666685 619.157 2832 619.157
0.670916 584.188 2574 584.188
0.675462 618.973 3024 618.973
0.679703 605.472 2484 605.472
0.684292 600.409 3168 600.409
0.688927 591.405 2894 591.405
0.693468 568.465 2856 568.465
0.698026 597.491 3384 597.491
0.702952 591.081 3240 591.081
0.707372 596.776 2856 596.776
0.712317 560.587 3474 560.587
0.716936 570.962 3432 570.962
0.721869 557.553 3552 557.553
0.726964 574.254 3560 574.254
0.73163 593.153 3270 593.153
0.736224 578.024 3552 578.024
0.74119 579.519 3780 579.519
0.746118 557.595 3960 557.595
0.751313 559.636 3696 559.636
0.756133 534.737 3726 534.737
0.761156 538.375 4376 538.375
0.766095 544.503 3648 544.503
0.771205 543.539 4332 543.539
0.776456 533.607 4254 533.607
0.781432 537.633 4296 537.633
0.786733 549.93 4320 549.93
0.791574 535.529 4368 535.529
0.797255 528.849 4826 528.849
0.802676 503.021 5016 503.021
0.808005 519.303 4608 519.303
0.813482 502.229 4824 502.229
0.818759 518.351 4950 518.351
0.824173 503.229 5232 503.229
0.829708 498.639 4980 498.639
0.834919 494.099 4838 494.099
0.840568 493.762 6024 493.762
0.846479 481.891 5520 481.891
0.851948 493.701 5400 493.701
0.857592 481.35 5538 481.35
0.863369 500.579 6456 500.579
0.869182 474.535 5504 474.535
0.874831 475.971 6168 475.971
0.880682 464.31 5910 464.31
0.886294 480.033 6372 480.033
0.892352 469.444 6768 469.444
0.898399 485.521 6294 485.521
0.904229 456.386 6656 456.386
0.910231 463.544 7224 463.544
0.916513 467.554 6708 467.554
0.922651 454.489 7566 454.489
0.92895 460.814 7416 460.814
0.935092 459.917 6984 459.917
0.940995 445.203 7310 445.203
0.947406 451.068 8148 451.068
0.953652 435.24 7632 435.24
0.960017 443.636 8088 443.636
0.966595 430.431 8478 430.431
0.972908 432.32 8112 432.32
0.979222 421.516 8108 421.516
0.985855 424.132 9510 424.132
0.992666 439.451 8472 439.451
0.998881 416.947 8832 416.947
1.00551 417.858 8898 417.858
1.01216 409.994 10008 409.994
1.01908 421.616 9392 421.616
1.02599 412.366 10206 412.366
1.03271 406.259 9528 406.259
1.03948 402.987 10236 402.987
1.04641 397.583 10398 397.583
1.05346 388.338 10784 388.338
1.06036 403.542 10584 403.542
1.0676 408.952 11346 408.952
1.07471 398.743 11400 398.743
1.08175 393.471 11016 393.471
1.08895 393.029 11870 393.029
1.09637 380.605 12516 380.605
1.10369 382.54 11880 382.54
1.11092 385.217 11886 385.217
1.1181 380.372 13104 380.372
1.12573 372.29 12764 372.29
1.1332 368.051 13446 368.051
1.14081 373.96 13464 373.96
1.14829 368.644 13398 368.644
1.15605 361.6 14628 361.6
1.16374 370.976 14024 370.976
1.1717 363.805 15054 363.805
1.17935 361.524 14496 361.524
1.18713 357.217 15012 357.217
1.195 356.166 15422 356.166
1.20281 351.504 15624 351.504
1.21088 350.713 16146 350.713
1.21904 351.615 17064 351.615
1.22715 346.027 16152 346.027
1.23533 340.685 17510 340.685
1.24354 336.911 17172 336.911
1.25174 337.295 17880 337.295
1.26013 336.051 18030 336.051
1.26845 337.109 18680 337.109
1.27706 327.86 19170 327.86
1.28545 326.434 18720 326.434
1.29387 326.749 19536 326.749
1.3027 326.803 20954 326.803
1.31143 323.024 20328 323.024
1.3202 319.865 20718 319.865
1.32891 317.86 21348 317.86
1.33775 316.345 21534 316.345
1.34663 309.883 22256 309.883
1.35548 310.327 22104 310.327
1.3645 310.936 23178 310.936
1.37362 305.739 23880 305.739
1.38289 299.29 24230 299.29
1.39214 302.761 24468 302.761
1.40146 300.506 25230 300.506
1.41076 292.604 25328 292.604
1.42016 297.293 25818 297.293
1.42955 290.673 26616 290.673
1.43897 292.943 26376 292.943
1.44856 286.867 28034 286.867
1.45815 288.156 27816 288.156
1.46783 279.693 28398 279.693
1.47755 282.494 29652 282.494
1.48753 278.734 30134 278.734
1.4975 278.474 30792 278.474
1.50759 275.309 31218 275.309
1.51744 274.151 30912 274.151
1.52762 268.027 33158 268.027
1.53782 264.89 32772 264.89
1.54798 264.748 33150 264.748
1.55817 259.833 34256 259.833
1.56867 261.121 35562 261.121
1.579 258.982 34992 258.982
1.58955 259.914 37158 259.914
1.60018 257.452 36956 257.452
1.61084 251.474 37950 251.474
1.62148 247.429 38496 247.429
1.63242 249.036 40274 249.036
1.64322 244.49 39264 244.49
1.65411 245.292 41466 245.292
1.66512 241.829 41960 241.829
1.67627 239.265 42702 239.265
1.68736 239.745 43356 239.745
1.69863 238.711 44886 238.711
1.70994 231.996 45248 231.996
1.72135 232.884 46362 232.884
1.73279 231.035 46974 231.035
1.74428 227.562 48236 227.562
1.75588 227.401 48774 227.401
1.76756 225.755 50616 225.755
1.77941 220.642 51050 220.642
1.79124 219.949 52272 219.949
1.80325 219.868 53658 219.868
1.81507 216.127 52640 216.127
1.82722 213.941 57366 213.941
1.83948 215.144 55170 215.144
1.85166 210.767 58544 210.767
1.86408 210.321 58506 210.321
1.87633 206.739 58968 206.739
1.88886 202.031 62366 202.031
1.90144 202.372 61266 202.372
1.914 201.412 63960 201.412
1.92679 200.376 64730 200.376
1.93957 197.353 66360 197.353
1.95256 198.653 67778 198.653
1.96563 194.509 69558 194.509
1.97869 192.577 69660 192.577
1.99179 191.134 71390 191.134
2.00509 189.78 73974 189.78
2.01846 187.659 74196 187.659
2.03193 185.771 76622 185.771
2.04528 186.497 75516 186.497
2.05892 181.319 81510 181.319
2.07279 180.505 80138 180.505
2.0865 179.957 82368 179.957
2.10039 175.347 84098 175.347
2.11443 175.712 86286 175.712
2.12845 174.46 86700 174.46
2.14263 171.558 90014 171.558
2.15695 170.049 90930 170.049
2.17119 169.975 91694 169.975
2.18567 167.114 96228 167.114
2.20036 166.286 97014 166.286
2.21494 164.656 97370 164.656
2.22958 160.76 100656 160.76
2.24445 161.672 102530 161.672
2.25936 158.985 104454 158.985
2.27439 158.506 107196 158.506
2.28969 156.534 110414 156.534
